# Melissa Graham, gal_sds.ipynb 
# UTC = Tue, 12 Apr 2022 18:50:30 +0000 
# 
# Columns 
#  0 candidate id 
#  1 object id 
#  2 object ra 
#  3 object dec 
#  4 object MJD 
#  5 object filter 
#  6 object magnitude 
#  7 object magnitude error 
#  8 object real/bogus score 
# 
DC22gfeir 15925940  115.17377656296  -26.22080999695 59486.36342985 z 19.346  0.030  0.326 
DC22gfeir 15926699  115.17389911378  -26.22080812377 59486.36411493 g 21.594  0.056  0.961 
DC22gfeir 15928101  115.17387418171  -26.22078539091 59486.36785075 g 21.496  0.055  0.905 
DC22gfeir 15929212  115.17387536132  -26.22080682699 59486.37155148 g 21.625  0.063  0.967 
DC22gfeir 15929915  115.17388682319  -26.22077765277 59486.37525944 g 21.609  0.067  0.980 
DC22gfeir 15930883  115.17387724431  -26.22079371515 59489.35845432 g 21.586  0.077  0.977 
DC22gfeir 15931635  115.17385998367  -26.22080464635 59489.36148170 z 19.284  0.041  0.869 
DC22gfeir 15931606  115.17389364053  -26.22078474997 59489.36217016 g 21.490  0.078  0.867 
DC22gfeir 15932332  115.17385395044  -26.22080381613 59489.36518186 z 19.355  0.054  0.855 
DC22gfeir 15932456  115.17386378172  -26.22083164148 59489.36587149 g 21.395  0.103  0.825 
DC22gfeir 15933086  115.17386015633  -26.22079548141 59489.36730517 r 20.257  0.075  0.627 
DC22gfeir 15933608  115.17386033435  -26.22081978688 59489.36890582 z 19.350  0.059  0.774 
DC22gfeir 15933482  115.17386349264  -26.22081112410 59489.36958886 g 21.546  0.110  0.917 
DC22gfeir 15933874  115.17385251555  -26.22080703774 59489.37105653 r 20.291  0.071  0.670 
DC22gfeir 15934187  115.17387373281  -26.22082032341 59489.37265988 z 19.268  0.058  0.792 
DC22gfeir 15934393  115.17389323959  -26.22082208538 59489.37335534 g 21.505  0.094  0.922 
DC22gfeir 15934747  115.17386757397  -26.22082351535 59489.37479874 r 20.309  0.066  0.714 
DC22gfeir 15934892  115.17386464019  -26.22079712773 59489.37570474 i 19.623  0.125  0.841 
DC22gfeir 15934971  115.17384516786  -26.22081787704 59489.37637873 z 19.382  0.069  0.879 
DC22gfeir 15935474  115.17386856155  -26.22078960104 59489.37850684 r 20.256  0.100  0.687 
DC22gfeir 15935767  115.17387428814  -26.22078515348 59489.37941543 i 19.746  0.069  0.702 
DC22gfeir 15935977  115.17390215097  -26.22078477267 59492.36288351 g 21.538  0.048  0.973 
DC22gfeir 15938460  115.17388177824  -26.22080127831 59492.37030838 g 21.543  0.042  0.830 
DC22gfeir 15939536  115.17385164671  -26.22079523579 59492.37333112 g 21.576  0.046  0.815 
DC22gfeir 15942106  115.17393188525  -26.22078720318 59492.37871185 g 21.503  0.041  0.471 
