# Melissa Graham, source_detection_summary.ipynb 
# UTC = Tue, 12 Apr 2022 21:07:57 +0000 
# 
# Columns 
#  0 candidate id 
#  1 object id 
#  2 object ra 
#  3 object dec 
#  4 object MJD 
#  5 object filter 
#  6 object magnitude 
#  7 object magnitude error 
#  8 object real/bogus score 
# 
DC21nfxk  1554490     6.85782570722  -43.64107611061 59367.37729945 g 22.544  0.129  0.067 
DC21nfxk  1578532     6.85787719873  -43.64105067479 59367.39451198 g 22.361  0.100  0.035 
DC21nfxk  10882034    6.85792814407  -43.64099617570 59483.20015317 g 22.576  0.118  0.128 
DC21nfxk  10883547    6.85784888050  -43.64102926004 59483.20250368 i 22.684  0.108  0.279 
DC21nfxk  10885104    6.85798106621  -43.64102866408 59483.20855146 g 22.402  0.109  0.591 
DC21nfxk  10886632    6.85801811231  -43.64103159915 59483.20959376 r 22.668  0.100  0.210 
DC21nfxk  10888746    6.85798380192  -43.64098441011 59483.21696141 g 22.204  0.087  0.884 
DC21nfxk  10889699    6.85802438182  -43.64103108515 59483.21799035 r 23.127  0.141  0.881 
DC21nfxk  10926925    6.85795259902  -43.64101625397 59486.19197095 g 22.222  0.066  0.899 
DC21nfxk  10928372    6.85786704486  -43.64106044182 59486.19433624 i 23.049  0.139  0.091 
DC21nfxk  10929329    6.85803383750  -43.64099988330 59486.20036051 g 22.485  0.066  0.625 
DC21nfxk  10934414    6.85791199858  -43.64108518493 59486.20982277 r 23.057  0.102  0.601 
DC21nfxk  10935608    6.85785953572  -43.64106466471 59486.21114767 i 22.926  0.107  0.083 
DC21nfxk  10936891    6.85804256620  -43.64099294436 59486.21714363 g 22.844  0.094  0.891 
DC21nfxk  10941138    6.85795155312  -43.64098895480 59486.22551583 g 22.697  0.089  0.992 
DC21nfxk  10941814    6.85794995309  -43.64105795157 59486.22654226 r 23.089  0.117  0.533 
DC21nfxk  10942828    6.85783247426  -43.64100902445 59486.22786703 i 22.818  0.104  0.753 
DC21nfxk  10954800    6.85809163901  -43.64101739945 59489.19743436 g 22.635  0.068  0.975 
DC21nfxk  10957544    6.85805340857  -43.64103655772 59489.20583052 g 22.743  0.077  0.839 
DC21nfxk  10958597    6.85804868794  -43.64106680123 59489.20686818 r 23.171  0.106  0.262 
DC21nfxk  10961128    6.85801882867  -43.64102092677 59489.21423190 g 22.718  0.075  0.991 
DC21nfxk  10962216    6.85799080750  -43.64112980835 59489.21526212 r 23.161  0.106  0.814 
DC21nfxk  10964796    6.85800163257  -43.64102670713 59489.22259345 g 22.532  0.069  0.991 
DC21nfxk  10965578    6.85796423341  -43.64114722064 59489.22361534 r 23.060  0.104  0.199 
DC21nfxk  10969174    6.85797731595  -43.64110750553 59489.23202378 r 23.098  0.108  0.712 
DC21nfxk  10984408    6.85786546350  -43.64104533404 59492.19751508 i 22.824  0.090  0.004 
DC21nfxk  10985606    6.85804027557  -43.64102168860 59492.20353629 g 22.775  0.079  0.277 
DC21nfxk  10987047    6.85792879046  -43.64104987260 59492.20455565 r 23.137  0.101  0.101 
DC21nfxk  10987834    6.85784750766  -43.64107762230 59492.20588308 i 22.783  0.083  0.005 
DC21nfxk  10989935    6.85796303005  -43.64099343033 59492.21202342 g 22.431  0.058  0.121 
DC21nfxk  10989855    6.85797182751  -43.64102754563 59492.21305100 r 23.034  0.089  0.859 
DC21nfxk  10994122    6.85797183392  -43.64098446958 59492.22143159 r 23.213  0.101  0.644 
DC21nfxk  10994894    6.85782582696  -43.64100588649 59492.22274938 i 22.749  0.078  0.886 
DC21nfxk  10996540    6.85800108882  -43.64099673517 59492.22875013 g 22.672  0.074  0.995 
DC21nfxk  10998538    6.85789564370  -43.64107361904 59492.23110277 i 22.945  0.102  0.007 
DC21nfxk  11022661    6.85805427537  -43.64103342380 59498.20514581 g 22.651  0.104  0.187 
DC21nfxk  11025221    6.85798161586  -43.64098973821 59498.21357036 g 22.341  0.074  0.539 
DC21nfxk  11027300    6.85788453583  -43.64105170214 59498.21591814 i 22.809  0.152  0.049 
DC21nfxk  11028758    6.85793307701  -43.64098246245 59498.22192798 g 22.354  0.082  0.644 
DC21nfxk  11041816    6.85803588970  -43.64103787888 59501.19068664 g 22.518  0.104  0.409 
DC21nfxk  11042224    6.85805449316  -43.64103424382 59501.19908369 g 22.639  0.112  0.873 
DC21nfxk  11049731    6.85810385999  -43.64102850892 59501.21582399 g 22.441  0.099  0.903 
DC21nfxk  11183852    6.85800522771  -43.64098494184 59512.19109051 g 22.237  0.118  0.973 
DC21nfxk  11193046    6.85807912463  -43.64103025407 59512.21634608 g 22.099  0.123  0.755 
DC21nfxk  11195762    6.85792284069  -43.64092808701 59512.22581996 r 22.676  0.138  0.877 
DC21nfxk  11995386    6.85801759903  -43.64104557370 59516.20501768 r 22.651  0.097  0.201 
DC21nfxk  11997836    6.85809948180  -43.64101374780 59516.21240954 g 22.429  0.064  0.967 
DC21nfxk  12000341    6.85812367990  -43.64104348065 59516.22090186 g 21.468  0.060  0.458 
DC21nfxk  11247972    6.85806336783  -43.64104122496 59519.19459825 g 22.327  0.075  0.753 
DC21nfxk  11250252    6.85805604759  -43.64096570529 59519.20299148 g 22.619  0.104  0.928 
DC21nfxk  11252156    6.85815564466  -43.64102636264 59519.21142492 g 22.561  0.100  0.980 
DC21nfxk  11265311    6.85800604036  -43.64113403195 59522.18835803 r 23.068  0.108  0.573 
DC21nfxk  11268482    6.85793401497  -43.64107329300 59522.19676199 r 23.042  0.110  0.239 
