# Name,    RA,              Dec,              z,                 z_err,                 Type
DC21baet, 149.094259217575, 2.78345499157596, 2.632691325341588, 0.00012017834859672683, QSO: 2
DC21bcdmd, 150.644339815613, 2.84331729515011, 0.0006188993175861679, 8.29210137908245e-06, STAR: 2
DC21bcdqp, 149.967502736229, 3.85635594667013, 1.2983483988492508, 0.00017253344931859353, QSO: 2
DC21bcefe, 150.659636869261, 3.1460604793805, 1.6981948632746144, 0.000246859238360811, QSO: 2
DC21bci, 150.527285609704, 1.37571214628976, 0.0006143562462862225, 1.2408569351831444e-06, STAR: 3
DC21bciai, 149.810443264776, 3.35822780700354, 2.780014245426609, 3.8090331918965636e-05, QSO: 5
DC21bcjux, 150.025839207785, 3.67221164178587, 0.669398262815248, 4.260985116285089e-05, GALAXY: 1
DC21bckq, 149.761502887475, 2.31843899850549, 0.3454198973667932, 1.2994101893550781e-05, QSO: 2
DC21bcmhv, 150.258984727825, 1.33015309733835, 2.1535802351062667, 8.86334289007435e-05, QSO: 4
DC21bcrs, 150.720290930814, 2.90746403014669, 0.7956997944308224, 1.316675159482905e-05, QSO: 1
DC21bdkw, 149.602049410723, 2.39268365978621, 1.851663053492553, 8.485778407995381e-05, QSO: 2
DC21bdxz, 150.657956891264, 2.78354193401442, 0.21225962037062368, 7.838019678709847e-06, QSO: 3
DC21bekk, 148.761601304729, 1.66768522251324, 1.68114364609322, 0.000270341317512183, QSO: 1
DC21ber, 150.286191832256, 0.958540566239019, 2.0407916345498465, 4.2243940221479275e-05, QSO: 5
DC21bezt, 150.944904423512, 2.64578500391993, 1.6377770513152372, 5.9322177751569186e-05, QSO: 4
DC21bgjz, 149.69950857851, 2.39654597599951, 0.354945922220734, 7.66382688947705e-05, GALAXY: 1
DC21bhq, 150.762184791578, 1.86904066229835, 1.802411604062265, 4.349876114208722e-05, QSO: 4
DC21bicz, 149.216427694018, 1.64463369951687, 0.0007898499223488028, 2.3894430426334442e-05, STAR: 2
DC21bisrl, 148.970017917359, 1.28442070570308, 0.616863194414068, 8.09043024275065e-05, QSO: 1
DC21biupl, 151.369262945697, 1.95534558491091, 0.770779823706477, 1.3577478730803501e-05, GALAXY: 1
DC21bjlc, 150.832948868519, 2.16428994036399, 1.169714493986214, 8.775269399948456e-05, QSO: 2
DC21bjvj, 151.543690520195, 1.77819854239105, 2.501672093039314, 9.545437683870631e-05, QSO: 4
DC21bkbx, 151.46864749612, 1.47942863116497, 3.5336357983850983, 5.485755433090971e-05, QSO: 5
DC21bkrj, 150.04338738725, 3.47677619684669, 0.21756148354465135, 1.068772814304538e-05, GALAXY: 2
DC21bkup, 149.092651137234, 2.84114947915019, 0.4256658467877161, 2.119883206245768e-05, QSO: 2
DC21bkzg, 150.371872120485, 1.44310234055021, 4.119435165017535, 5.322957848380311e-05, QSO: 4
DC21blkp, 149.564591478031, 1.82306027338255, 1.5065951129851318, 3.2277498483689306e-05, QSO: 1
DC21bln, 149.142307142378, 1.27275759917078, 2.2238814766544857, 0.00012125660696844421, QSO: 2
