# Melissa Graham, source_detection_summary.ipynb 
# UTC = Mon, 06 Jun 2022 06:45:10 +0000 
# 
# Columns 
#  0 field 
#  1 exposure calendar date 
#  2 filename base 
#  3 exposure identifier 
#  4 modified julian date 
#  5 filter 
#  6 mean limiting magnitude (over all subtractions) 
#  7 mean seeing (over all subtractions) 
#  8 mean sky background (over all subtractions) 
#  9 total number of objects 
# 10 total number of objects with R/B>0.6 
# 11 airmass 
# 
COSMOS    210319   c4d_210319_002356_ori      2 59292.01663136 g 23.118 2.133    4.285    836     52 1.490 
COSMOS    210319   c4d_210319_002525_ori      3 59292.01765883 r 23.376 1.573    7.927   2348    353 1.480 
COSMOS    210319   c4d_210319_002721_ori   1848 59292.01899468 i 23.171 1.529   14.528   1153     73 1.470 
COSMOS    210319   c4d_210319_003000_ori      5 59292.02084011 g 22.953 2.400    4.261    736     21 1.490 
COSMOS    210319   c4d_210319_003128_ori      6 59292.02186182 r 23.228 1.794    7.844   1955    253 1.480 
COSMOS    210319   c4d_210319_003322_ori   1851 59292.02318110 i 23.019 1.741   14.591   1203     65 1.480 
COSMOS    210319   c4d_210319_003604_ori      8 59292.02505577 g 23.261 1.914    4.241   1391    211 1.470 
COSMOS    210319   c4d_210319_003732_ori      9 59292.02607443 r 23.328 1.690    7.828   2275    347 1.470 
COSMOS    210319   c4d_210319_003928_ori   1853 59292.02740814 i 23.235 1.487   14.249   1320     74 1.460 
COSMOS    210319   c4d_210319_004207_ori     11 59292.02925032 g 23.368 1.760    4.169   1043    116 1.410 
COSMOS    210319   c4d_210319_004336_ori     12 59292.03028317 r 23.485 1.504    7.598   2772    572 1.400 
COSMOS    210319   c4d_210319_004532_ori   1857 59292.03162581 i 23.243 1.537   13.728   1254    112 1.390 
COSMOS    210319   c4d_210319_004810_ori     14 59292.03345840 g 23.405 1.726    4.147   1246    130 1.410 
COSMOS    210319   c4d_210319_004940_ori     15 59292.03450028 r 23.468 1.553    7.539   2331    401 1.400 
COSMOS    210319   c4d_210319_005134_ori   1858 59292.03581772 i 23.269 1.528   13.482   1330     85 1.400 
COSMOS    210319   c4d_210319_022133_ori     18 59292.09830012 g 23.720 1.519    3.376   1825    376 1.210 
