# Accumulated photometry of sn2015V 
# Photometry is in the natural system NOT Landolt 
# MJD          Mag       Err       LimMag    Passband  Telescope Filename  
57187.40       15.84     0.02      nan       R         kait4     unk       
57187.40       15.43     0.03      nan       I         kait4     unk       
57187.40       15.80     0.02      nan       clear     kait4     unk       
57188.37       15.82     0.02      nan       clear     kait4     unk       
57189.39       15.82     0.03      nan       clear     kait4     unk       
57190.43       17.34     0.10      nan       B         kait4     unk       
57190.43       16.24     0.04      nan       V         kait4     unk       
57190.43       15.82     0.02      nan       R         kait4     unk       
57190.43       15.46     0.03      nan       I         kait4     unk       
57190.43       15.89     0.03      nan       clear     kait4     unk       
57191.34       15.82     0.02      nan       clear     kait4     unk       
57192.34       15.82     0.03      nan       clear     kait4     unk       
57193.41       17.48     0.19      nan       B         kait4     unk       
57193.41       16.27     0.08      nan       V         kait4     unk       
57193.41       15.85     0.05      nan       R         kait4     unk       
57193.41       15.48     0.06      nan       I         kait4     unk       
57193.41       15.81     0.03      nan       clear     kait4     unk       
57194.35       15.81     0.02      nan       clear     kait4     unk       
57195.34       15.91     0.03      nan       clear     kait4     unk       
57196.41       17.35     0.09      nan       B         kait4     unk       
57196.41       16.28     0.03      nan       V         kait4     unk       
57196.41       15.86     0.03      nan       R         kait4     unk       
57196.41       15.48     0.03      nan       I         kait4     unk       
57196.41       15.84     0.03      nan       clear     kait4     unk       
57197.35       15.92     0.02      nan       clear     kait4     unk       
57198.32       15.88     0.03      nan       clear     kait4     unk       
57199.35       17.30     0.11      nan       B         kait4     unk       
57199.35       16.33     0.04      nan       V         kait4     unk       
57199.35       15.94     0.03      nan       R         kait4     unk       
57199.35       15.51     0.03      nan       I         kait4     unk       
57199.35       15.91     0.03      nan       clear     kait4     unk       
57200.38       17.14     0.29      nan       B         kait4     unk       
57200.38       16.51     0.20      nan       V         kait4     unk       
57200.38       15.99     0.15      nan       R         kait4     unk       
57200.38       15.53     0.15      nan       I         kait4     unk       
57200.38       15.88     0.06      nan       clear     kait4     unk       
57204.38       17.66     0.24      nan       B         kait4     unk       
57204.38       16.36     0.05      nan       V         kait4     unk       
57204.38       15.95     0.03      nan       R         kait4     unk       
57204.38       15.51     0.04      nan       I         kait4     unk       
57207.34       17.43     0.13      nan       B         kait4     unk       
57207.34       16.47     0.05      nan       V         kait4     unk       
57207.34       15.98     0.03      nan       R         kait4     unk       
57207.34       15.61     0.03      nan       I         kait4     unk       
57207.34       15.97     0.02      nan       clear     kait4     unk       
57208.28       16.00     0.02      nan       clear     kait4     unk       
