# Melissa Graham & Midori Rollins, fit_potential_snia_sncosmos.ipynb 
# UTC = Sun, 26 Nov 2023 23:40:44 +0000 
# 
# Columns 
#  0 id -- candidate identifier 
#  1 estimated redshift 
#  2 redshift lower boundry intput to fit 
#  3 redshift upper boundry intput to fit 
#  4 fit redshift 
#  5 error in fit redshift 
#  6 fit t0 
#  7 error in fit t0 
#  8 fit x0 
#  9 error in fit x0 
# 10 fit x1 
# 11 error in fit x1 
# 12 fit c 
# 13 error in fit c 
# 14 fit peak magnitude in bessel B 
# 15 fit peak magnitude in sdss g 
# 16 fit peak magnitude in sdss r 
# 17 fit peak magnitude in sdss i 
# 
DC21drcmp      0.287 0.137 0.437   0.162 0.008 59552.96  0.20   5.0933E-05   9.2634E-07    -0.3963     0.2863     0.0642     0.0229    21.2342    21.2709    21.2763    21.8222 
DC21driax      0.468 0.318 0.618   0.543 0.079 59562.69  0.65   1.3556E-05   9.3976E-07    -0.4900     0.8054     0.0163     0.1937    22.6719    22.7231    22.7836    23.3482 
DC21dslz       0.331 0.181 0.481   0.455 0.038 59326.72  0.70   2.5629E-05   8.1936E-07     1.0259     0.5024    -0.2019     0.0269    21.9768    22.0922    22.4408    23.1173 
DC21dsocp      0.189 0.050 0.350   0.125 0.011 59572.36  0.19   1.1804E-04   1.4748E-06     0.6386     0.1919    -0.0092     0.0137    20.3204    20.3788    20.4900    21.0796 
DC21dtwb       0.340 0.190 0.490   0.271 0.019 59326.48  0.43   3.0564E-05   8.1772E-07     0.5780     0.4142     0.0090     0.0307    21.7875    21.8405    21.9290    22.5101 
DC21eoo        0.138 0.050 0.350   0.174 0.000 59305.31  0.00   1.6630E-04   6.0530E-06     9.3533     0.5261     0.1498     0.0328    19.7110    19.7263    19.8786    20.1616 
DC21eqq        0.404 0.254 0.554   0.326 0.022 59292.29  3.00   2.1376E-05   1.6249E-06     0.7500     1.4072    -0.0143     0.0915    22.1754    22.2353    22.3547    22.9479 
DC21eqtm       0.462 0.312 0.612   0.368 0.016 59329.68  0.89   1.3367E-05   7.3790E-07     2.5512     1.0578     0.1639     0.0461    22.6765    22.6803    22.6279    23.1647 
DC21esjb       0.395 0.245 0.545   0.329 0.025 60020.96  0.81   2.4007E-05   1.0062E-06     2.1835     0.9241    -0.0452     0.0674    22.0451    22.1123    22.2971    22.9198 
DC21fber       0.322 0.172 0.472   0.279 0.020 59331.82  0.39   3.0729E-05   1.2549E-06     0.2557     0.4420     0.0200     0.0403    21.7822    21.8321    21.9016    22.4740 
DC21fmlu       0.243 0.093 0.393   0.202 0.015 60068.51  0.43   5.6227E-05   3.9491E-06    -0.3728     0.7953     0.2544     0.0572    21.1230    21.1017    20.8840    21.3515 
DC21frjc       0.366 0.216 0.516   0.216 0.004 59963.62  0.49   2.8740E-05   1.1351E-06     6.5978     0.7429    -0.0606     0.0328    21.7427    21.8286    22.1613    22.6591 
DC21gocx       0.087 0.050 0.350   0.212 0.001 59335.04  0.06   1.8557E-04   2.0682E-06    27.9226     0.4644     0.6284     0.0129    18.7632    18.6046    18.2600    18.2512 
DC21grk        0.170 0.050 0.350   0.294 0.011 59326.11  0.30   7.2754E-05   2.8117E-06     1.7847     0.3476    -0.7543     0.0250    20.8197    21.0935    22.1318    23.0590 
DC21hpdc       0.368 0.218 0.518   0.329 0.006 59334.47  1.36   2.4112E-05   1.0739E-06     8.7057     1.2673    -0.0986     0.0360    21.8387    21.9366    22.3656    22.7766 
DC21ijs        0.202 0.052 0.352   0.309 0.004 59324.83  0.17   3.0236E-05   1.0681E-06    19.8009     0.9523     0.5215     0.0180    21.0365    20.9140    20.6784    20.7337 
DC21jfcb       0.330 0.180 0.480   0.335 0.010 59360.52  0.33   3.5001E-05   9.8321E-07     1.1816     0.4315    -0.1686     0.0345    21.6385    21.7439    22.0555    22.7197 
DC21jof        0.380 0.230 0.530   0.354 0.024 59289.31  2.26   2.5902E-05   2.3510E-06     1.5155     0.8949    -0.0900     0.0733    21.9650    22.0466    22.2709    22.9056 
DC21ktp        0.292 0.142 0.442   0.237 0.011 59297.75  0.36   4.9759E-05   1.9460E-06     1.3456     0.4421    -0.0802     0.0227    21.2567    21.3356    21.5448    22.1733 
DC21kue        0.000 0.000 0.000   -99.900 -99.900   -99.90 -99.90  -9.9900E+01  -9.9900E+01   -99.9000   -99.9000   -99.9000   -99.9000     0.0000     0.0000     0.0000     0.0000 
DC21kxb        0.406 0.256 0.556   0.328 0.006 59303.48  1.09   1.4477E-05   8.1526E-07     9.1543     0.9849     0.2537     0.0383    22.3699    22.3529    22.3853    22.6269 
DC21lvlb       0.436 0.286 0.586   0.315 0.008 59497.60  0.53   1.2409E-05   7.7487E-07    17.3770     1.7689    -0.0924     0.0289    22.1258    22.1965    22.6606    22.9876 
DC21mjrj       0.483 0.333 0.633   0.373 0.060 59468.18  3.12   1.5981E-05   3.9550E-06     2.6769     1.9615    -0.0682     0.2268    22.4844    22.5578    22.7804    23.4177 
DC21mvh        0.245 0.095 0.395   0.389 0.019 59335.43  0.63   2.8481E-05   2.4893E-06    19.3620     3.6614    -0.1336     0.0373    21.1379    21.2193    21.7359    22.0736 
