# Melissa Graham, source_detection_summary.ipynb 
# UTC = Tue, 19 Apr 2022 20:15:59 +0000 
# 
# Columns 
#  0 field 
#  1 exposure calendar date 
#  2 filename base 
#  3 exposure identifier 
#  4 modified julian date 
#  5 filter 
#  6 mean limiting magnitude (over all subtractions) 
#  7 mean seeing (over all subtractions) 
#  8 mean sky background (over all subtractions) 
#  9 total number of objects 
# 10 total number of objects with R/B>0.6 
# 
COSMOS    210322   c4d_210322_014957_ori   1870 59295.07636294 i 23.554 1.000   16.282   1296    155 
COSMOS    210322   c4d_210322_015236_ori     55 59295.07820591 g 23.440 1.223    6.115   1480    154 
COSMOS    210322   c4d_210322_015405_ori     56 59295.07923083 r 23.616 1.224    8.822   2777    241 
COSMOS    210322   c4d_210322_015559_ori   1871 59295.08054656 i 23.501 1.071   16.190   1575    141 
COSMOS    210322   c4d_210322_015839_ori     58 59295.08240253 g 23.450 1.190    6.174   1680    346 
COSMOS    210322   c4d_210322_020008_ori     59 59295.08342980 r 23.602 1.222    8.906   2821    248 
COSMOS    210322   c4d_210322_020203_ori   1872 59295.08476148 i 23.462 1.101   16.334   1375    134 
COSMOS    210322   c4d_210322_020442_ori     61 59295.08659852 g 23.408 1.269    6.065   1324    192 
COSMOS    210322   c4d_210322_020610_ori     62 59295.08761867 r 23.561 1.248    8.765   3068    181 
COSMOS    210322   c4d_210322_020805_ori   1873 59295.08895058 i 23.387 1.164   16.168   2408    126 
COSMOS    210322   c4d_210322_024919_ori     65 59295.11759201 g 23.577 1.122    5.742   1609    164 
COSMOS    210322   c4d_210322_025048_ori     66 59295.11861382 r 23.828 1.022    8.275   3091    274 
COSMOS    210322   c4d_210322_025243_ori   1874 59295.11995135 i 23.646 0.986   14.990   1253    143 
COSMOS    210322   c4d_210322_025532_ori     68 59295.12190024 g 23.483 1.219    5.785   1669    317 
COSMOS    210322   c4d_210322_025702_ori     69 59295.12294212 r 23.819 1.032    8.334   3186    368 
COSMOS    210322   c4d_210322_025857_ori   1875 59295.12427352 i 23.682 0.939   15.009    603    117 
COSMOS    210322   c4d_210322_030144_ori     71 59295.12621454 g 23.517 1.197    5.686   1365    237 
COSMOS    210322   c4d_210322_030314_ori     72 59295.12724610 r 23.752 1.138    8.213   3426    194 
COSMOS    210322   c4d_210322_030509_ori   1876 59295.12858243 i 23.602 1.023   14.856   1238    154 
COSMOS    210322   c4d_210322_030751_ori     74 59295.13045975 g 23.600 1.132    5.576   1682    169 
COSMOS    210322   c4d_210322_030920_ori     75 59295.13148811 r 23.799 1.081    8.103   3199    275 
COSMOS    210322   c4d_210322_031114_ori   2049 59295.13280266 i 23.624 1.024   14.629   1295    147 
COSMOS    210322   c4d_210322_031353_ori     77 59295.13464324 g 23.409 1.347    5.598   1658    300 
COSMOS    210322   c4d_210322_031521_ori     78 59295.13566856 r 23.737 1.125    8.195   3083    338 
COSMOS    210322   c4d_210322_031715_ori   1878 59295.13698778 i 23.622 1.023   14.747    910    151 
COSMOS    210324   c4d_210324_000054_ori     80 59297.00063388 g 22.956 1.027   10.803    865    104 
COSMOS    210324   c4d_210324_000223_ori     81 59297.00165763 r 23.358 0.889   14.261   2149    160 
COSMOS    210324   c4d_210324_000418_ori   1879 59297.00298999 i 23.422 0.860   20.779    615    123 
COSMOS    210324   c4d_210324_000656_ori     83 59297.00482060 g 22.955 1.064   10.629   1070    101 
COSMOS    210324   c4d_210324_000825_ori     84 59297.00585498 r 23.145 1.099   14.058   2191    193 
COSMOS    210324   c4d_210324_001020_ori   1880 59297.00718366 i 23.023 1.253   20.662    989    112 
COSMOS    210324   c4d_210324_001258_ori     86 59297.00901532 g 22.835 1.166   10.747   1109    209 
COSMOS    210324   c4d_210324_001429_ori     87 59297.01005823 r 23.181 1.061   14.332   2212    201 
