angDist,TIC,RAJ2000,DEJ2000,errHalfMaj,errHalfMin,errPosAng,HIP,TYC,UCAC4,2MASS,objID,WISEA,GAIA,APASS,KIC,S/G,Ref,r_Pos,pmRA,e_pmRA,pmDE,e_pmDE,r_pm,Plx,e_Plx,r_Plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,q_2MASS,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,e_W3mag,W4mag,e_W4mag,Gmag,e_Gmag,Tmag,e_Tmag,f_Tmag,Flag,Teff,s_Teff,logg,s_logg,[M/H],e_[M/H],Rad,s_Rad,Mass,s_Mass,rho,s_rho,LClass,Lum,s_Lum,Dist,s_Dist,E(B-V),s_E(B-V),Ncont,Rcont,Disp,m_TIC,Prior,e_E(B-V),E_E(B-V),f_E(B-V),e_Mass,E_Mass,e_Rad,E_Rad,e_rho,E_rho,e_logg,E_logg,e_Lum,E_Lum,e_Dist,E_Dist,r_Dist,e_Teff,E_Teff,r_Teff,BPmag,e_BPmag,RPmag,e_RPmag,q_Gaia,r_Vmag,r_Bmag,Clist,e_RAJ2000,e_DEJ2000,RAOdeg,DEOdeg,e_RAOdeg,e_DEOdeg,RadFl,WDFl,ID,col1,col2,col3
2.233480,616442030,7.36047317477,-43.21406085593,7.360,-43.214,90,,,,,,,4992667450286986496,,,STAR,gaia2,gaia2,-0.110,0.294,-0.040,0.349,gaia2,0.4478,0.2563,gaia2,,,18.914,0.047,,,,,,,,,,,,,,,,,,,,,,,,,,18.860300,0.004451,18.633,0.013,rered,gaia2,,,,,,,,,,,,,DWARF,,,1599.5800,560.4400,0.0068,0.0000,,,,,,0.0000,0.0000,schlegel,,,,,,,,,,,426.0200,694.8600,bj2018,,,,18.982901,0.046376,18.546301,0.028368,1,gaia2,,,4.89762434454,5.41213233159,7.36047252641,-43.21406102662,0.18174747885,0.18670342443,1,1,509494954,DC22ibvrq,7.359627007,-43.21412873
3.992465,842056223,150.87573618121,3.32829536150,150.876,3.328,90,,,,,1237654600490025492,,3836809394935841152,,,STAR,gaia2,gaia2,,,,,,,,,,,21.366,0.378,30.000,50.000,22.172,0.098,20.793,0.046,19.401,0.020,18.571,0.029,,,,,,,,,,,,,,,,20.466400,0.017144,19.468,0.125,gbprp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.090000,0.473115,18.853399,0.078628,,gaia2,,,2.33656378123,3.03309615619,150.87573618121,3.32829536150,2.33656378123,3.03309615619,,0,139794404,DC23jqqgs,150.8766755,3.328887456
1.746318,842032121,148.42587088956,1.64640145405,148.426,1.646,90,,,,,1237651753459646821,,3834669088177986432,,,STAR,gaia2,gaia2,,,,,,,,,,,20.435,0.150,20.453,0.064,20.048,0.020,19.877,0.022,19.682,0.026,19.587,0.101,,,,,,,,,,,,,,,,20.208200,0.013946,19.653,0.056,gbprp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.223700,0.315681,19.143999,0.199420,,gaia2,,,3.25834489407,6.97528226593,148.42587088956,1.64640145405,3.25834489407,6.97528226593,,0,139322268,DC23kiazt,148.4256306,1.646822903
