angDist,main_id,ra,dec,coo_err_maj,coo_err_min,coo_err_angle,nbref,ra_sexa,dec_sexa,coo_qual,coo_bibcode,main_type,other_types,radvel,radvel_err,redshift,redshift_err,sp_type,morph_type,plx,plx_err,pmra,pmdec,pm_err_maj,pm_err_min,pm_err_pa,size_maj,size_min,size_angle,B,V,R,J,H,K,u,g,r,i,z,col1,col2,col3
4.880154,COSMOS2015 588589,149.8759583333,2.1959166667,,,172,3,09 59 30.23,+02 11 45.3,C,2007ApJS..172...99C,Galaxy,G|NIR,274683.163,,3.7832000,,,,,,,,,,,,,,26.485,26.317,25.170,24.440,23.980,22.978,,,,,,DC22guywa,149.8758423,2.194566036
3.701231,COSMOS2015 449510,149.9058750000,1.9804444444,,,172,3,09 59 37.41,+01 58 49.6,C,2007ApJS..172...99C,Galaxy,G|NIR,193119.559,,1.1496000,,,,,,,,,,,,,,25.480,25.040,24.890,23.200,22.840,22.370,,,,,,DC22hisau,149.9060121,1.979425496
4.222513,COSMOS2015 449454,149.9065416667,1.9804722222,,,172,3,09 59 37.57,+01 58 49.7,C,2007ApJS..172...99C,Galaxy,G|NIR,187232.738,,1.0801000,,,,,,,,,,,,,,26.003,26.142,25.600,22.990,22.720,22.370,,,,,,DC22hisau,149.9060121,1.979425496
4.297737,COSMOS2015 448966,149.9070900000,1.9799400000,,,172,3,09 59 37.70,+01 58 47.8,C,2013A&A...556A..55I,Galaxy,G|NIR,243835.272,,2.1169000,,,,,,,,,,,,,,25.510,25.300,25.140,24.090,23.990,23.830,,,,,,DC22hisau,149.9060121,1.979425496
2.209042,DES J002926.51-431250.6,7.3604580000,-43.2140300000,,,172,1,00 29 26.510,-43 12 50.51,C,2017AJ....153..107T,QSO,QSO,174435.615,,0.9450000,,,,,,,,,,,,,,,,,17.750,17.625,16.776,,18.992,18.902,19.008,18.909,DC22ibvrq,7.359627007,-43.21412873
1.159963,COSMOS2015 375161,149.8536666667,1.8614166667,,,172,4,09 59 24.88,+01 51 41.1,C,2007ApJS..172...99C,Galaxy,G|NIR,105682.435,,0.4453000,,,,,,,,,,,0.009667,0.009667,0,23.400,22.770,22.690,22.380,22.350,22.460,,,,,,DC23jsner,149.853385,1.861573409
4.918344,COSMOS2015 281152,150.6906666667,1.7105000000,,,172,0,10 02 45.76,+01 42 37.8,C,2007ApJS..172...99C,Galaxy,G,149629.690,,0.7300000,,,,,,,,,,,,,,23.790,22.570,,,,19.696,,,,,,DC23jtnhx,150.6917693,1.711307344
2.815410,COSMOS2015 276547,150.1194583333,1.7054166667,,,172,1,10 00 28.67,+01 42 19.5,C,2007ApJS..172...99C,Galaxy,G,131369.729,,0.6000000,,,,,,,,,,,,,,25.790,25.500,24.950,24.810,23.980,22.782,,,,,,DC23jwksq,150.1201194,1.704998345
1.777241,3XMM J095342.2+013846,148.4258685340,1.6463902921,0.001,0.001,90,13,09 53 42.20845,+01 38 47.0051,A,2020yCat.1350....0G,Seyfert_1,*|AGN|Opt|QSO|Sy1|X,118886.926,29.979,0.5213000,0.0001000,,,,,0.756,1.979,1.290,1.138,90,,,,,,,,,,20.503,20.107,19.953,19.789,19.664,DC23kiazt,148.4256306,1.646822903
4.921378,COSMOS2015 892134,150.0532500000,2.6543333333,,,172,1,10 00 12.78,+02 39 15.6,C,2007ApJS..172...99C,Galaxy,G,137285.705,,0.6400000,,,,,,,,,,,,,,25.750,25.260,24.840,24.030,23.910,24.060,26.033,25.720,24.992,24.523,24.412,DC23kpyed,150.054321,2.653482309
1.146734,COSMOS2015 920244,149.6187916667,2.6975833333,,,172,1,09 58 28.51,+02 41 51.3,C,2007ApJS..172...99C,Galaxy,G,125169.638,,0.5600000,,,,,,,,,,,,,,26.050,26.017,25.530,24.470,24.880,24.580,,,,,,DC23kpzki,149.6185155,2.697742603
3.745495,[NHM2017] 26156,150.1466990000,2.5084670000,,,172,1,10 00 35.208,+02 30 30.48,C,2017ApJS..228....7N,Galaxy,G,232180.457,,1.8050000,,,,,,,,,,,,,,,,,,25.556,,,,,,,DC23krcjl,150.1457382,2.508065633
4.810599,[NHM2017] 26089,150.1444720000,2.5076350000,,,172,1,10 00 34.673,+02 30 27.49,C,2017ApJS..228....7N,Galaxy,G,89382.254,,0.3600000,,,,,,,,,,,,,,,,,,25.193,,,,,,,DC23krcjl,150.1457382,2.508065633
4.892314,[NHM2017] 26233,150.1454420000,2.5093920000,,,172,1,10 00 34.906,+02 30 33.81,C,2017ApJS..228....7N,Galaxy,G,182910.589,,1.0322000,,,,,,,,,,,,,,,,,,25.851,,,,,,,DC23krcjl,150.1457382,2.508065633
2.635344,COSMOS2015 232711,150.3987083333,1.6345277778,,,172,3,10 01 35.69,+01 38 04.3,C,2007ApJS..172...99C,Galaxy,G|NIR,119764.368,,0.5266000,,,,,,,,,,,,,,25.310,24.670,24.140,23.730,23.310,23.050,,,,,,DC23krtlg,150.3982174,1.635070975
