 100-104 F5.2   mag     1mBmag   ? LCOGT 1m B band magnitude
 106-109 F4.2   mag   e_1mBmag   ? Uncertainty in 1mBmag 
 111-115 F5.2   mag     1mVmag   ? LCOGT 1m V band magnitude
 117-120 F4.2   mag   e_1mVmag   ? Uncertainty in 1mVmag
 122-126 F5.2   mag     1mRmag   ? LCOGT 1m R band magnitude
 128-131 F4.2   mag   e_1mRmag   ? Uncertainty in 1mRmag 
 133-137 F5.2   mag     1mImag   ? LCOGT 1m I band magnitude
 139-142 F4.2   mag   e_1mImag   ? Uncertainty in 1mImag
--------------------------------------------------------------------------------
2013 06 04 99.99 9.99 99.99 9.99 99.99 9.99 20.22 0.13 18.64 0.07 19.55 0.12 99.99 9.99 99.99 9.99 20.46 0.11 19.88 0.13 99.99 9.99 99.99 9.99
2013 06 05 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 20.61 0.19 20.01 0.14 99.99 9.99 99.99 9.99
2013 06 06 99.99 9.99 99.99 9.99 99.99 9.99 20.16 0.13 18.66 0.07 19.52 0.09 99.99 9.99 99.99 9.99 20.40 0.12 99.99 9.99 99.99 9.99 99.99 9.99
2013 06 08 99.99 9.99 99.99 9.99 99.99 9.99 20.21 0.14 18.66 0.06 19.67 0.08 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99
2013 06 09 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 18.42 0.55 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99
2013 06 11 99.99 9.99 99.99 9.99 99.99 9.99 20.19 0.13 18.65 0.07 19.53 0.09 99.99 9.99 99.99 9.99 20.41 0.11 20.05 0.19 99.99 9.99 99.99 9.99
2013 06 13 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 20.35 0.12 20.00 0.34 99.99 9.99 99.99 9.99
2013 06 15 99.99 9.99 99.99 9.99 99.99 9.99 20.21 0.11 18.64 0.10 19.56 0.09 99.99 9.99 99.99 9.99 20.60 0.11 20.01 0.17 99.99 9.99 99.99 9.99
2013 06 19 99.99 9.99 99.99 9.99 99.99 9.99 20.16 0.14 18.67 0.06 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 20.11 0.13 99.99 9.99 99.99 9.99
2013 06 23 99.99 9.99 99.99 9.99 99.99 9.99 20.16 0.16 18.72 0.08 19.72 0.12 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99
2013 06 25 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 18.65 0.09 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99
2013 07 01 99.99 9.99 99.99 9.99 99.99 9.99 20.32 0.14 18.72 0.06 19.52 0.13 99.99 9.99 99.99 9.99 20.56 0.26 20.14 0.18 99.99 9.99 99.99 9.99
2013 07 02 99.99 9.99 99.99 9.99 99.99 9.99 20.30 0.11 18.76 0.07 19.63 0.11 99.99 9.99 99.99 9.99 99.99 9.99 20.20 0.11 99.99 9.99 99.99 9.99
2013 07 06 99.99 9.99 99.99 9.99 99.99 9.99 20.22 0.25 18.71 0.21 19.60 0.15 99.99 9.99 99.99 9.99 20.73 0.29 20.06 0.33 99.99 9.99 99.99 9.99
2013 07 08 99.99 9.99 99.99 9.99 99.99 9.99 20.24 0.17 18.75 0.07 19.60 0.13 99.99 9.99 99.99 9.99 20.68 0.21 20.12 0.20 99.99 9.99 99.99 9.99
2013 07 10 99.99 9.99 99.99 9.99 99.99 9.99 20.18 0.13 18.69 0.09 19.51 0.10 99.99 9.99 99.99 9.99 20.71 0.17 20.16 0.24 99.99 9.99 99.99 9.99
2013 07 12 99.99 9.99 99.99 9.99 99.99 9.99 20.28 0.11 18.74 0.06 19.64 0.10 99.99 9.99 99.99 9.99 20.39 0.11 20.13 0.18 99.99 9.99 99.99 9.99
2013 07 13 99.99 9.99 99.99 9.99 99.99 9.99 20.26 0.15 18.74 0.27 19.46 0.13 99.99 9.99 99.99 9.99 20.63 0.14 20.05 0.13 99.99 9.99 99.99 9.99
2013 07 14 99.99 9.99 99.99 9.99 99.99 9.99 20.26 0.11 18.82 0.07 19.66 0.07 99.99 9.99 99.99 9.99 20.64 0.13 20.08 0.17 99.99 9.99 99.99 9.99
2013 07 16 99.99 9.99 99.99 9.99 99.99 9.99 20.29 0.16 18.78 0.09 19.67 0.12 99.99 9.99 99.99 9.99 20.82 0.14 20.16 0.18 99.99 9.99 99.99 9.99
2013 07 17 99.99 9.99 99.99 9.99 99.99 9.99 20.17 0.15 18.74 0.07 19.68 0.12 99.99 9.99 99.99 9.99 20.46 0.12 20.10 0.18 99.99 9.99 99.99 9.99
2013 07 18 99.99 9.99 99.99 9.99 99.99 9.99 20.21 0.11 18.78 0.09 19.73 0.12 99.99 9.99 99.99 9.99 99.99 9.99 20.08 0.11 99.99 9.99 99.99 9.99
2013 07 24 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 18.81 0.11 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99
2013 07 25 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 18.74 0.09 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99
2013 07 29 99.99 9.99 99.99 9.99 99.99 9.99 20.43 0.15 18.79 0.07 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99
2013 07 30 99.99 9.99 99.99 9.99 99.99 9.99 20.32 0.12 18.79 0.06 19.70 0.11 99.99 9.99 99.99 9.99 20.59 0.15 20.05 0.18 99.99 9.99 99.99 9.99
2013 07 31 99.99 9.99 99.99 9.99 99.99 9.99 20.32 0.17 18.77 0.08 99.99 9.99 99.99 9.99 99.99 9.99 20.68 0.13 20.04 0.31 99.99 9.99 99.99 9.99
2013 08 03 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 20.81 0.12 20.12 0.19 99.99 9.99 99.99 9.99
2013 08 04 99.99 9.99 99.99 9.99 99.99 9.99 20.14 0.13 18.75 0.07 19.76 0.10 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99
2013 08 08 99.99 9.99 99.99 9.99 99.99 9.99 20.34 0.11 18.87 0.09 19.79 0.09 99.99 9.99 99.99 9.99 20.48 0.16 20.05 0.25 99.99 9.99 99.99 9.99
2013 08 09 99.99 9.99 99.99 9.99 99.99 9.99 20.60 0.15 18.94 0.11 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99
2013 08 10 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 20.44 0.12 20.13 0.14 99.99 9.99 99.99 9.99
2013 08 12 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 18.74 0.05 19.77 0.12 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99
2013 08 14 99.99 9.99 99.99 9.99 99.99 9.99 20.37 0.14 18.89 0.08 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 20.15 0.12 99.99 9.99 99.99 9.99
2013 08 16 99.99 9.99 99.99 9.99 99.99 9.99 20.31 0.16 18.91 0.07 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 20.01 0.14 99.99 9.99 99.99 9.99
2013 08 20 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 18.89 0.13 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99
2013 08 21 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 18.87 0.10 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99
2013 08 24 99.99 9.99 99.99 9.99 99.99 9.99 20.14 0.15 18.87 0.08 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99
2013 08 26 99.99 9.99 99.99 9.99 99.99 9.99 20.41 0.16 18.91 0.05 19.84 0.12 99.99 9.99 99.99 9.99 99.99 9.99 20.32 0.10 99.99 9.99 99.99 9.99
2013 08 28 99.99 9.99 99.99 9.99 99.99 9.99 20.39 0.13 18.92 0.06 19.88 0.10 99.99 9.99 99.99 9.99 20.73 0.19 99.99 9.99 99.99 9.99 99.99 9.99
2013 08 30 99.99 9.99 99.99 9.99 99.99 9.99 20.35 0.12 18.86 0.09 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99
2013 08 31 99.99 9.99 99.99 9.99 99.99 9.99 20.39 0.71 18.88 0.54 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99
2013 09 02 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 20.29 0.19 99.99 9.99 99.99 9.99
2013 09 04 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 20.37 0.13 99.99 9.99 99.99 9.99
2013 09 05 99.99 9.99 99.99 9.99 99.99 9.99 20.35 0.14 18.89 0.10 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99
2013 09 06 99.99 9.99 99.99 9.99 99.99 9.99 20.41 0.13 18.95 0.14 20.05 0.11 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99
2013 09 09 99.99 9.99 99.99 9.99 99.99 9.99 20.45 0.12 18.93 0.05 19.82 0.12 99.99 9.99 99.99 9.99 20.35 0.13 99.99 9.99 99.99 9.99 99.99 9.99
2013 09 11 99.99 9.99 99.99 9.99 99.99 9.99 20.22 0.13 18.93 0.11 99.99 9.99 99.99 9.99 99.99 9.99 20.52 0.59 99.99 9.99 99.99 9.99 99.99 9.99
2013 09 13 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 18.93 0.12 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99
2013 09 23 99.99 9.99 99.99 9.99 99.99 9.99 20.44 0.13 19.05 0.07 20.02 0.19 99.99 9.99 99.99 9.99 99.99 9.99 20.54 0.13 99.99 9.99 99.99 9.99
2013 09 27 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 20.84 0.18 20.59 0.15 99.99 9.99 99.99 9.99
2013 09 28 99.99 9.99 99.99 9.99 99.99 9.99 20.50 0.11 19.08 0.05 20.06 0.10 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99
2013 09 30 99.99 9.99 99.99 9.99 99.99 9.99 20.37 0.13 18.99 0.10 19.97 0.12 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99
2013 10 07 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 19.00 0.12 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99
2013 10 09 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 21.01 0.14 99.99 9.99 99.99 9.99 99.99 9.99
2013 10 14 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 19.06 0.09 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99
2013 10 19 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 19.04 0.07 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99
2013 10 25 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 19.04 0.06 99.99 9.99 99.99 9.99 99.99 9.99 20.93 0.13 99.99 9.99 99.99 9.99 99.99 9.99
