 100-104 F5.2   mag     1mBmag   ? LCOGT 1m B band magnitude
 106-109 F4.2   mag   e_1mBmag   ? Uncertainty in 1mBmag 
 111-115 F5.2   mag     1mVmag   ? LCOGT 1m V band magnitude
 117-120 F4.2   mag   e_1mVmag   ? Uncertainty in 1mVmag
 122-126 F5.2   mag     1mRmag   ? LCOGT 1m R band magnitude
 128-131 F4.2   mag   e_1mRmag   ? Uncertainty in 1mRmag 
 133-137 F5.2   mag     1mImag   ? LCOGT 1m I band magnitude
 139-142 F4.2   mag   e_1mImag   ? Uncertainty in 1mImag
--------------------------------------------------------------------------------
2012 10 11 13.76 0.03 13.80 0.02 14.04 0.03 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99
2012 10 12 13.74 0.06 13.78 0.06 14.01 0.03 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99
2012 10 13 13.73 0.07 13.77 0.06 14.00 0.03 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99
2012 10 14 13.77 0.07 13.79 0.05 14.00 0.03 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99
2012 10 15 13.83 0.07 13.83 0.06 14.05 0.04 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99
2012 10 17 13.99 0.07 13.96 0.06 14.15 0.03 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99
2012 10 18 14.06 0.21 14.01 0.23 14.22 0.03 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99
2012 10 19 14.14 0.06 14.09 0.06 14.28 0.03 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99
2012 10 20 14.18 0.08 14.13 0.07 14.32 0.03 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99
2012 10 21 99.99 9.99 99.99 9.99 14.34 0.03 14.20 0.07 14.16 0.05 14.31 0.05 14.36 0.05 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99
2012 10 22 14.30 0.03 14.20 0.03 14.40 0.01 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99
2012 10 23 14.34 0.09 14.25 0.06 14.43 0.03 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99
2012 10 24 14.41 0.11 14.32 0.09 14.49 0.03 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99
2012 10 25 14.51 0.12 14.39 0.10 14.57 0.03 14.55 0.15 14.42 0.09 14.54 0.07 14.66 0.11 99.99 9.99 99.99 9.99 99.99 9.99 14.23 0.12 99.99 9.99
2012 10 26 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 15.09 0.86 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99
2012 10 27 99.99 9.99 99.99 9.99 14.85 0.27 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99
2012 10 28 99.99 9.99 99.99 9.99 14.95 0.04 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99
2012 10 29 99.99 9.99 99.99 9.99 99.99 9.99 14.93 0.09 14.77 0.07 14.89 0.15 14.94 0.07 99.99 9.99 15.32 0.07 14.92 0.06 14.60 0.10 14.48 0.05
2012 10 30 15.12 0.08 14.90 0.07 15.07 0.03 15.06 0.09 14.87 0.05 15.03 0.19 15.02 0.11 99.99 9.99 15.42 0.04 15.04 0.08 15.04 0.73 14.58 0.10
2012 10 31 15.07 0.08 14.86 0.08 15.06 0.03 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99
2012 11 02 14.88 0.08 14.75 0.07 14.97 0.01 14.97 0.10 14.83 0.06 14.94 0.11 14.93 0.05 15.00 0.14 15.28 0.03 14.90 0.03 14.60 0.03 14.49 0.05
2012 11 03 14.82 0.11 14.71 0.09 14.91 0.01 14.89 0.10 14.78 0.06 14.96 0.22 14.88 0.05 14.93 0.18 15.18 0.05 14.84 0.14 14.54 0.06 14.44 0.09
2012 11 04 14.79 0.06 14.68 0.06 14.86 0.03 14.86 0.15 14.70 0.06 14.83 0.14 14.88 0.20 14.83 0.12 15.13 0.05 14.83 0.12 14.52 0.04 14.39 0.09
2012 11 05 14.87 0.11 14.71 0.09 14.90 0.04 14.89 0.14 14.77 0.11 14.90 0.13 14.88 0.07 15.01 0.19 15.19 0.09 14.86 0.13 14.55 0.08 14.42 0.12
2012 11 06 14.94 0.12 14.79 0.11 14.98 0.09 14.95 0.08 14.81 0.05 14.91 0.13 14.88 0.05 15.02 0.13 15.26 0.06 14.90 0.11 14.59 0.04 14.45 0.08
2012 11 07 99.99 9.99 99.99 9.99 99.99 9.99 15.04 0.10 14.87 0.04 14.98 0.07 15.00 0.05 99.99 9.99 15.38 0.06 14.98 0.02 14.66 0.04 14.52 0.08
2012 11 08 99.99 9.99 99.99 9.99 99.99 9.99 15.16 0.12 14.94 0.05 15.03 0.14 15.08 0.05 15.33 0.10 15.51 0.06 15.10 0.09 14.74 0.03 14.62 0.07
2012 11 09 15.32 0.45 15.06 0.39 15.27 0.07 15.46 0.25 15.18 0.14 15.30 0.08 15.26 0.11 15.47 0.18 15.76 0.14 15.34 0.16 15.01 0.18 14.86 0.19
2012 11 10 15.47 0.08 15.14 0.08 15.34 0.03 15.61 0.17 15.34 0.14 15.45 0.15 15.38 0.15 15.88 0.22 15.99 0.17 15.51 0.15 15.14 0.15 15.00 0.21
2012 11 11 15.54 0.06 15.23 0.06 15.42 0.03 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99
2012 11 12 99.99 9.99 99.99 9.99 99.99 9.99 15.72 0.08 15.38 0.04 15.48 0.10 15.46 0.07 16.09 0.13 16.17 0.06 15.59 0.02 15.19 0.02 15.04 0.05
2012 11 13 99.99 9.99 99.99 9.99 99.99 9.99 15.78 0.10 15.43 0.04 15.54 0.11 15.48 0.05 16.30 0.10 16.24 0.06 15.67 0.04 15.27 0.05 15.14 0.12
2012 11 14 99.99 9.99 99.99 9.99 99.99 9.99 15.79 0.10 15.52 0.15 15.61 0.19 15.50 0.10 16.30 0.08 16.27 0.04 15.66 0.13 15.23 0.12 15.14 0.07
2012 11 15 99.99 9.99 99.99 9.99 99.99 9.99 15.80 0.10 15.44 0.09 15.57 0.17 15.51 0.07 16.37 0.07 16.29 0.02 15.69 0.03 15.28 0.03 15.12 0.05
2012 11 16 99.99 9.99 99.99 9.99 99.99 9.99 15.81 0.07 15.48 0.05 15.58 0.10 15.57 0.07 16.25 0.13 16.29 0.04 15.69 0.03 15.29 0.05 15.15 0.07
2012 11 17 99.99 9.99 99.99 9.99 15.68 0.03 15.86 0.12 15.49 0.08 15.61 0.13 15.54 0.06 16.26 0.03 16.34 0.05 15.74 0.03 15.32 0.02 15.15 0.05
2012 11 18 15.90 0.04 15.55 0.04 15.68 0.02 15.97 0.10 15.56 0.07 15.67 0.15 15.62 0.07 16.43 0.11 16.46 0.02 15.79 0.05 15.36 0.05 15.18 0.01
2012 11 19 99.99 9.99 99.99 9.99 15.76 0.02 16.03 0.12 15.62 0.09 15.71 0.17 15.65 0.08 16.65 0.10 16.57 0.07 15.91 0.04 15.42 0.07 15.24 0.04
2012 11 20 16.10 0.03 15.68 0.02 15.79 0.02 16.21 0.08 15.73 0.05 15.77 0.10 15.74 0.05 16.78 0.13 16.70 0.09 15.98 0.02 15.50 0.04 15.32 0.09
2012 11 21 16.26 0.03 15.73 0.02 15.79 0.02 16.26 0.08 15.73 0.07 15.77 0.15 15.76 0.06 99.99 9.99 16.78 0.05 16.01 0.10 15.54 0.03 15.34 0.07
2012 11 22 16.75 0.46 99.99 9.99 15.90 0.19 16.30 0.07 15.78 0.08 15.83 0.11 15.75 0.07 16.93 0.08 16.86 0.05 16.09 0.03 15.58 0.03 15.36 0.08
2012 11 23 99.99 9.99 99.99 9.99 99.99 9.99 16.39 0.08 15.85 0.05 15.87 0.11 15.86 0.05 16.97 0.14 16.90 0.08 16.15 0.06 15.65 0.07 15.40 0.11
2012 11 24 99.99 9.99 99.99 9.99 15.92 0.02 16.42 0.11 15.87 0.05 15.87 0.13 15.79 0.07 17.00 0.15 16.92 0.05 16.16 0.03 15.66 0.04 15.41 0.10
2012 11 25 99.99 9.99 99.99 9.99 15.92 0.02 16.43 0.10 15.86 0.06 15.89 0.10 15.80 0.07 17.13 0.12 16.97 0.13 16.20 0.05 15.68 0.05 15.42 0.11
2012 11 26 99.99 9.99 99.99 9.99 99.99 9.99 16.45 0.06 15.89 0.05 15.88 0.13 15.84 0.06 99.99 9.99 17.08 0.09 16.20 0.11 15.66 0.08 15.43 0.08
2012 11 27 99.99 9.99 99.99 9.99 99.99 9.99 16.50 0.06 15.92 0.04 15.91 0.13 15.84 0.05 17.21 0.14 17.06 0.07 16.25 0.04 15.72 0.04 15.45 0.08
2012 11 29 99.99 9.99 99.99 9.99 99.99 9.99 16.57 0.06 15.97 0.04 15.95 0.06 15.88 0.05 99.99 9.99 17.13 0.08 16.32 0.07 15.77 0.08 15.50 0.14
2012 11 30 99.99 9.99 99.99 9.99 99.99 9.99 16.64 0.12 16.00 0.05 15.96 0.07 15.95 0.07 17.30 0.17 17.15 0.08 16.33 0.05 15.77 0.06 15.50 0.11
2012 12 01 16.58 0.09 15.95 0.08 15.98 0.03 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99
2012 12 02 16.62 0.12 15.94 0.10 15.99 0.03 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99
2012 12 03 99.99 9.99 99.99 9.99 99.99 9.99 16.71 0.07 16.04 0.04 16.01 0.12 15.89 0.06 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99
2012 12 04 16.74 0.08 16.04 0.07 16.07 0.03 16.86 0.07 16.14 0.05 16.10 0.08 16.01 0.10 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99
2012 12 05 16.93 0.11 16.12 0.10 16.12 0.03 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99
2012 12 06 17.07 0.10 16.20 0.08 16.21 0.03 17.19 0.06 16.28 0.05 16.20 0.11 16.13 0.06 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99
2012 12 07 17.27 0.14 16.33 0.13 16.28 0.03 17.36 0.09 16.41 0.06 16.31 0.08 16.20 0.08 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99
2012 12 08 17.37 0.08 16.35 0.07 16.37 0.03 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99
2012 12 10 99.99 9.99 99.99 9.99 99.99 9.99 17.71 0.09 16.68 0.05 16.62 0.08 16.46 0.07 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99
2012 12 11 17.70 0.09 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99
2012 12 12 17.97 0.10 16.86 0.10 17.02 0.03 18.15 0.07 17.04 0.05 17.13 0.08 16.84 0.14 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99
2012 12 13 18.20 0.07 17.04 0.05 17.26 0.03 18.30 0.09 17.21 0.06 17.31 0.09 17.05 0.15 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99
2012 12 14 18.31 0.13 17.24 0.11 99.99 9.99 18.45 0.11 17.35 0.08 17.54 0.07 17.30 0.10 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99
2012 12 15 99.99 9.99 99.99 9.99 99.99 9.99 18.52 0.13 17.41 0.08 17.59 0.08 17.19 0.10 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99
2012 12 16 99.99 9.99 99.99 9.99 99.99 9.99 18.60 0.08 17.45 0.06 17.67 0.09 17.62 0.13 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99
2012 12 17 18.59 0.12 17.32 0.10 17.66 0.03 18.52 0.12 17.41 0.06 17.61 0.12 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99
2012 12 23 18.60 0.11 17.41 0.10 17.75 0.03 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99
2012 12 24 99.99 9.99 17.41 0.10 17.76 0.05 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99
2012 12 29 99.99 9.99 17.42 0.04 17.82 0.04 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99
2012 12 31 99.99 9.99 17.50 0.05 17.86 0.05 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99
2013 04 02 99.99 9.99 99.99 9.99 99.99 9.99 19.62 0.14 18.16 0.06 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99
2013 04 04 99.99 9.99 99.99 9.99 99.99 9.99 19.59 0.08 18.18 0.08 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99
2013 04 05 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 18.19 0.08 18.89 0.14 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99
2013 04 06 99.99 9.99 99.99 9.99 99.99 9.99 19.53 0.13 18.16 0.07 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99
2013 04 10 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 18.19 0.08 18.85 0.17 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99
2013 04 11 99.99 9.99 99.99 9.99 99.99 9.99 19.64 0.14 18.19 0.07 18.86 0.09 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99
2013 04 12 99.99 9.99 99.99 9.99 99.99 9.99 19.59 0.09 18.18 0.07 18.71 0.13 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99
2013 04 16 99.99 9.99 99.99 9.99 99.99 9.99 19.57 0.11 18.18 0.09 18.91 0.08 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99
2013 04 17 99.99 9.99 99.99 9.99 99.99 9.99 19.56 0.12 18.22 0.06 18.96 0.08 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99
2013 04 18 99.99 9.99 99.99 9.99 99.99 9.99 19.56 0.10 18.19 0.08 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99
2013 04 19 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 18.23 0.06 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99
2013 04 20 99.99 9.99 99.99 9.99 99.99 9.99 19.61 0.11 18.21 0.05 18.86 0.09 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99
2013 04 21 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 18.25 0.08 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99
2013 04 22 99.99 9.99 99.99 9.99 99.99 9.99 19.69 0.08 18.13 0.13 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99
2013 04 24 99.99 9.99 99.99 9.99 99.99 9.99 19.57 0.15 18.23 0.11 19.04 0.10 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99
2013 04 25 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 18.29 0.10 18.90 0.17 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99
2013 04 26 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 18.26 0.13 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99
2013 04 28 99.99 9.99 99.99 9.99 99.99 9.99 19.78 0.17 18.32 0.07 19.03 0.11 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99
2013 04 29 99.99 9.99 99.99 9.99 99.99 9.99 19.57 0.14 18.31 0.13 18.92 0.14 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99
2013 05 02 99.99 9.99 99.99 9.99 99.99 9.99 19.81 0.22 18.37 0.16 19.07 0.26 99.99 9.99 99.99 9.99 19.90 0.13 19.48 0.27 99.99 9.99 99.99 9.99
2013 05 03 99.99 9.99 99.99 9.99 99.99 9.99 19.70 0.12 18.41 0.07 19.10 0.09 99.99 9.99 99.99 9.99 20.24 0.13 19.67 0.28 99.99 9.99 99.99 9.99
2013 05 05 99.99 9.99 99.99 9.99 99.99 9.99 19.84 0.11 18.35 0.08 19.17 0.10 99.99 9.99 99.99 9.99 20.34 0.21 19.71 0.11 99.99 9.99 99.99 9.99
2013 05 06 99.99 9.99 99.99 9.99 99.99 9.99 19.70 0.14 99.99 9.99 19.23 0.06 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99
2013 05 08 99.99 9.99 99.99 9.99 99.99 9.99 19.87 0.15 18.33 0.06 19.25 0.13 99.99 9.99 99.99 9.99 20.23 0.26 19.62 0.17 99.99 9.99 99.99 9.99
2013 05 10 99.99 9.99 99.99 9.99 99.99 9.99 19.86 0.15 18.42 0.07 19.26 0.07 99.99 9.99 99.99 9.99 20.23 0.13 19.69 0.17 99.99 9.99 99.99 9.99
2013 05 15 99.99 9.99 99.99 9.99 99.99 9.99 19.99 0.12 18.45 0.09 19.35 0.09 99.99 9.99 99.99 9.99 20.27 0.12 19.74 0.08 99.99 9.99 99.99 9.99
2013 06 02 99.99 9.99 99.99 9.99 99.99 9.99 20.18 0.11 18.63 0.07 19.44 0.08 99.99 9.99 99.99 9.99 20.80 0.13 19.87 0.11 99.99 9.99 99.99 9.99
2013 06 03 99.99 9.99 99.99 9.99 99.99 9.99 20.17 0.12 18.61 0.16 19.45 0.08 99.99 9.99 99.99 9.99 20.47 0.12 19.92 0.17 99.99 9.99 99.99 9.99
