# fnm 	 exptime
c4d_210929_072915_ori	15.0
c4d_210929_051603_ori	130.0
c4d_210929_064532_ori	50.0
c4d_211002_052803_ori	86.0
c4d_211002_061516_ori	50.0
c4d_211005_044058_ori	60.0
c4d_211005_053052_ori	86.0
c4d_211005_064121_ori	50.0
c4d_211005_081114_ori	50.0
c4d_210917_020919_ori	50.0
c4d_210610_234406_ori	80.0
c4d_210322_003428_ori	130.0
c4d_210328_030147_ori	30.0
c4d_210403_011125_ori	130.0
c4d_210406_010040_ori	130.0
c4d_210409_004602_ori	130.0
c4d_210409_025043_ori	130.0
c4d_210412_003112_ori	130.0
c4d_210415_011207_ori	130.0
c4d_210415_010605_ori	130.0
c4d_210328_014032_ori	30.0
c4d_210331_023404_ori	130.0
c4d_210427_025108_ori	130.0
c4d_210917_043057_ori	50.0
c4d_210429_024526_ori	130.0
c4d_210429_010619_ori	130.0
c4d_210506_031018_ori	130.0
c4d_210509_023610_ori	130.0
c4d_210512_021636_ori	130.0
c4d_210917_030321_ori	60.0
c4d_210605_000211_ori	90.0
c4d_210918_071137_ori	240.0
c4d_210920_030713_ori	130.0
c4d_210920_015602_ori	50.0
c4d_210920_045530_ori	50.0
c4d_210920_071249_ori	50.0
c4d_210921_074129_ori	50.0
c4d_210923_015744_ori	60.0
c4d_210923_033801_ori	130.0
c4d_210923_040140_ori	50.0
c4d_210923_061534_ori	50.0
c4d_210924_082132_ori	50.0
c4d_210926_055242_ori	50.0
c4d_210926_085536_ori	50.0
c4d_210917_080122_ori	15.0
c4d_210920_072457_ori	15.0
c4d_210923_014652_ori	15.0
c4d_210924_050338_ori	15.0
c4d_210925_043255_ori	15.0
c4d_210926_072852_ori	15.0
c4d_210929_043329_ori	15.0
c4d_210929_072956_ori	15.0
c4d_210929_051841_ori	60.0
c4d_210929_064651_ori	50.0
c4d_211002_052956_ori	130.0
c4d_211002_061637_ori	50.0
c4d_211005_044229_ori	86.0
c4d_211005_053247_ori	130.0
c4d_210917_021037_ori	50.0
c4d_210610_234553_ori	80.0
c4d_210322_004029_ori	130.0
c4d_210328_030246_ori	30.0
c4d_210403_011729_ori	130.0
c4d_210406_014014_ori	130.0
c4d_210409_005204_ori	130.0
c4d_210412_011248_ori	130.0
c4d_210415_011809_ori	130.0
c4d_210418_003503_ori	130.0
c4d_210328_032247_ori	30.0
c4d_210406_005438_ori	130.0
c4d_210427_025714_ori	130.0
c4d_210429_011221_ori	130.0
c4d_210503_022826_ori	130.0
c4d_210506_004613_ori	130.0
c4d_210506_004011_ori	130.0
c4d_210509_024238_ori	130.0
c4d_210512_030248_ori	130.0
c4d_210515_024829_ori	130.0
c4d_210605_001142_ori	90.0
c4d_210917_043216_ori	50.0
c4d_210917_030645_ori	130.0
c4d_210918_071605_ori	240.0
c4d_210920_030952_ori	60.0
c4d_210920_015724_ori	50.0
c4d_210920_045649_ori	50.0
c4d_210920_071409_ori	50.0
c4d_210921_074247_ori	50.0
c4d_210923_015914_ori	86.0
c4d_210923_033437_ori	60.0
c4d_210923_040302_ori	50.0
c4d_210923_061653_ori	50.0
c4d_210924_082316_ori	50.0
c4d_210926_055401_ori	50.0
c4d_210926_085655_ori	50.0
c4d_210917_080205_ori	15.0
c4d_210920_072540_ori	15.0
c4d_210923_014736_ori	15.0
c4d_210924_050422_ori	15.0
c4d_210925_073316_ori	15.0
c4d_210926_072934_ori	15.0
c4d_210929_043411_ori	15.0
c4d_210929_074414_ori	15.0
c4d_210929_052010_ori	86.0
c4d_210929_064811_ori	50.0
c4d_211002_053237_ori	60.0
c4d_211002_061755_ori	50.0
c4d_211005_044425_ori	130.0
c4d_210917_021157_ori	50.0
c4d_210610_234742_ori	70.0
c4d_210322_004631_ori	130.0
c4d_210328_030344_ori	30.0
c4d_210403_012331_ori	130.0
c4d_210406_014616_ori	130.0
c4d_210409_013100_ori	130.0
c4d_210412_011853_ori	130.0
c4d_210415_012412_ori	130.0
c4d_210418_004110_ori	130.0
c4d_210425_030246_ori	130.0
c4d_210427_001136_ori	130.0
c4d_210427_030317_ori	130.0
c4d_210429_022717_ori	130.0
c4d_210503_023429_ori	130.0
c4d_210509_024839_ori	130.0
c4d_210512_030850_ori	130.0
c4d_210515_025433_ori	130.0
c4d_210605_001341_ori	90.0
c4d_210917_043335_ori	50.0
c4d_210917_031056_ori	86.0
c4d_210918_072033_ori	240.0
c4d_210920_031121_ori	86.0
c4d_210920_015842_ori	50.0
c4d_210920_045809_ori	50.0
c4d_210920_071528_ori	50.0
c4d_210921_074407_ori	50.0
c4d_210923_020110_ori	130.0
c4d_210923_034038_ori	60.0
c4d_210923_040422_ori	50.0
c4d_210923_061832_ori	50.0
c4d_210924_082436_ori	50.0
c4d_210926_062900_ori	50.0
c4d_210926_085816_ori	50.0
c4d_210918_082313_ori	15.0
c4d_210920_072623_ori	15.0
c4d_210923_014819_ori	15.0
c4d_210924_050505_ori	15.0
c4d_210925_073359_ori	15.0
c4d_210926_073043_ori	15.0
c4d_210929_053726_ori	15.0
c4d_210929_074457_ori	15.0
c4d_210929_052204_ori	130.0
c4d_210929_054219_ori	50.0
c4d_210929_064929_ori	50.0
c4d_211002_044418_ori	60.0
c4d_211002_053406_ori	86.0
c4d_211002_061927_ori	50.0
c4d_211005_044703_ori	60.0
c4d_210917_021315_ori	50.0
c4d_210322_005233_ori	130.0
c4d_210328_030810_ori	30.0
c4d_210403_012934_ori	130.0
c4d_210406_015218_ori	130.0
c4d_210409_013703_ori	130.0
c4d_210412_012456_ori	130.0
c4d_210415_013056_ori	130.0
c4d_210418_004711_ori	130.0
c4d_210917_043614_ori	50.0
c4d_210427_001737_ori	130.0
c4d_210917_030450_ori	86.0
c4d_210429_023320_ori	130.0
c4d_210509_025442_ori	130.0
c4d_210512_031454_ori	130.0
c4d_210515_030035_ori	130.0
c4d_210918_072501_ori	240.0
c4d_210920_031315_ori	130.0
c4d_210920_020002_ori	50.0
c4d_210920_045928_ori	50.0
c4d_210920_071647_ori	50.0
c4d_210921_074526_ori	50.0
c4d_210923_020348_ori	60.0
c4d_210923_034208_ori	86.0
c4d_210923_040545_ori	50.0
c4d_210923_061952_ori	50.0
c4d_210924_082558_ori	50.0
c4d_210926_063020_ori	50.0
c4d_210926_085934_ori	50.0
c4d_210918_082356_ori	15.0
c4d_210920_072705_ori	15.0
c4d_210923_014938_ori	15.0
c4d_210924_050548_ori	15.0
c4d_210925_073441_ori	15.0
c4d_210926_073127_ori	15.0
c4d_210929_053810_ori	15.0
c4d_210929_074539_ori	15.0
c4d_210929_052444_ori	60.0
c4d_210929_054339_ori	50.0
c4d_210929_065049_ori	50.0
c4d_211002_044547_ori	86.0
c4d_211002_053603_ori	130.0
c4d_211002_062044_ori	50.0
c4d_211005_044832_ori	86.0
c4d_211005_053525_ori	60.0
c4d_211005_064239_ori	50.0
c4d_211005_081257_ori	50.0
c4d_211002_043730_ori	15.0
c4d_211002_073732_ori	15.0
c4d_210917_021435_ori	50.0
c4d_210610_234921_ori	70.0
c4d_210322_014354_ori	130.0
c4d_210328_030907_ori	30.0
c4d_210403_024155_ori	130.0
c4d_210406_015824_ori	130.0
c4d_210409_014304_ori	130.0
c4d_210412_013104_ori	130.0
c4d_210415_013700_ori	130.0
c4d_210418_005313_ori	130.0
c4d_210403_003434_ori	130.0
c4d_210427_002342_ori	130.0
c4d_210428_234243_ori	130.0
c4d_210429_023923_ori	130.0
c4d_210512_001736_ori	130.0
c4d_210512_032056_ori	130.0
c4d_210515_030636_ori	130.0
c4d_210607_231045_ori	90.0
c4d_210917_043455_ori	50.0
c4d_210918_072929_ori	240.0
c4d_210920_031633_ori	60.0
c4d_210920_020121_ori	50.0
c4d_210920_050051_ori	50.0
c4d_210920_071806_ori	50.0
c4d_210921_074648_ori	50.0
c4d_210923_020518_ori	86.0
c4d_210923_034403_ori	130.0
c4d_210923_040704_ori	50.0
c4d_210923_062144_ori	50.0
c4d_210924_082717_ori	50.0
c4d_210926_063142_ori	50.0
c4d_210917_023729_ori	15.0
c4d_210918_082438_ori	15.0
c4d_210920_072813_ori	15.0
c4d_210923_015020_ori	15.0
c4d_210924_065630_ori	15.0
c4d_210926_041834_ori	15.0
c4d_210926_075452_ori	15.0
c4d_210929_053934_ori	15.0
c4d_210929_043626_ori	60.0
c4d_210929_052613_ori	86.0
c4d_210929_054508_ori	50.0
c4d_210929_065207_ori	50.0
c4d_211002_044742_ori	130.0
c4d_211002_053841_ori	60.0
c4d_211002_064310_ori	50.0
c4d_211005_045027_ori	130.0
c4d_211005_053654_ori	86.0
c4d_211005_064400_ori	50.0
c4d_210917_021553_ori	50.0
c4d_210322_014957_ori	130.0
c4d_210328_031004_ori	30.0
c4d_210403_024758_ori	130.0
c4d_210406_020426_ori	130.0
c4d_210409_014906_ori	130.0
c4d_210412_013708_ori	130.0
c4d_210415_014301_ori	130.0
c4d_210418_005917_ori	130.0
c4d_210406_004231_ori	130.0
c4d_210427_002944_ori	130.0
c4d_210428_234846_ori	130.0
c4d_210917_044012_ori	50.0
c4d_210512_002337_ori	130.0
c4d_210512_032701_ori	130.0
c4d_210518_001245_ori	90.0
c4d_210512_002940_ori	130.0
c4d_210917_031250_ori	130.0
c4d_210918_073359_ori	240.0
c4d_210920_031803_ori	86.0
c4d_210920_020253_ori	50.0
c4d_210920_050210_ori	50.0
c4d_210920_071927_ori	50.0
c4d_210921_074806_ori	50.0
c4d_210923_020714_ori	130.0
c4d_210923_034642_ori	60.0
c4d_210923_040825_ori	50.0
c4d_210923_062303_ori	50.0
c4d_210926_043604_ori	60.0
c4d_210926_063302_ori	50.0
c4d_210917_023812_ori	15.0
c4d_210918_082520_ori	15.0
c4d_210920_072855_ori	15.0
c4d_210923_015102_ori	15.0
c4d_210924_065714_ori	15.0
c4d_210926_041918_ori	15.0
c4d_210926_075535_ori	15.0
c4d_210929_053852_ori	15.0
c4d_210929_043755_ori	86.0
c4d_210929_052807_ori	130.0
c4d_210929_054628_ori	50.0
c4d_210929_065332_ori	50.0
c4d_211002_045021_ori	60.0
c4d_211002_054010_ori	86.0
c4d_211002_064429_ori	50.0
c4d_211005_045305_ori	60.0
c4d_211005_053849_ori	130.0
c4d_211005_064518_ori	50.0
c4d_211005_081416_ori	50.0
c4d_210917_021713_ori	50.0
c4d_210322_015559_ori	130.0
c4d_210328_031427_ori	30.0
c4d_210403_025401_ori	130.0
c4d_210406_024400_ori	130.0
c4d_210409_015509_ori	130.0
c4d_210412_020227_ori	130.0
c4d_210415_014910_ori	130.0
c4d_210418_013847_ori	130.0
c4d_210425_030849_ori	130.0
c4d_210427_010649_ori	130.0
c4d_210917_043732_ori	50.0
c4d_210429_025130_ori	130.0
c4d_210917_031852_ori	130.0
c4d_210514_235001_ori	130.0
c4d_210518_001443_ori	90.0
c4d_210607_232147_ori	90.0
c4d_210918_073828_ori	240.0
c4d_210920_031957_ori	130.0
c4d_210920_020413_ori	50.0
c4d_210920_050333_ori	50.0
c4d_210920_072046_ori	50.0
c4d_210921_075006_ori	50.0
c4d_210923_020953_ori	60.0
c4d_210923_034812_ori	86.0
c4d_210923_040944_ori	50.0
c4d_210923_062450_ori	50.0
c4d_210926_043734_ori	86.0
c4d_210926_063423_ori	50.0
c4d_210917_023855_ori	15.0
c4d_210918_082822_ori	30.0
c4d_210920_072938_ori	15.0
c4d_210923_015145_ori	15.0
c4d_210924_065757_ori	15.0
c4d_210926_042001_ori	15.0
c4d_210926_075617_ori	15.0
c4d_210929_070005_ori	15.0
c4d_210929_043950_ori	130.0
c4d_210929_053045_ori	60.0
c4d_210929_054747_ori	50.0
c4d_210929_065450_ori	50.0
c4d_211002_045150_ori	86.0
c4d_211002_054204_ori	130.0
c4d_211002_064550_ori	50.0
c4d_211005_045433_ori	86.0
c4d_211005_043505_ori	50.0
c4d_211005_064649_ori	50.0
c4d_211005_081535_ori	50.0
c4d_211002_054523_ori	15.0
c4d_210610_235457_ori	10.0
c4d_210917_022418_ori	50.0
c4d_210322_020203_ori	130.0
c4d_210328_031526_ori	30.0
c4d_210403_030003_ori	130.0
c4d_210406_025003_ori	130.0
c4d_210412_020830_ori	130.0
c4d_210415_015513_ori	130.0
c4d_210418_014450_ori	130.0
c4d_210425_032058_ori	130.0
c4d_210427_011250_ori	130.0
c4d_210502_233923_ori	130.0
c4d_210512_003546_ori	130.0
c4d_210518_002412_ori	90.0
c4d_210515_014122_ori	130.0
c4d_210917_043853_ori	50.0
c4d_210917_032130_ori	60.0
c4d_210918_074257_ori	240.0
c4d_210920_032236_ori	60.0
c4d_210920_020543_ori	50.0
c4d_210920_050452_ori	50.0
c4d_210920_072206_ori	50.0
c4d_210921_075124_ori	50.0
c4d_210923_021123_ori	86.0
c4d_210923_035008_ori	130.0
c4d_210923_041127_ori	50.0
c4d_210923_062608_ori	50.0
c4d_210926_043929_ori	130.0
c4d_210926_063543_ori	50.0
c4d_210917_025733_ori	15.0
c4d_210918_082923_ori	30.0
c4d_210920_073020_ori	15.0
c4d_210923_015325_ori	15.0
c4d_210924_065839_ori	15.0
c4d_210926_042156_ori	15.0
c4d_210926_075700_ori	15.0
c4d_210929_065923_ori	15.0
c4d_210929_044228_ori	60.0
c4d_210929_053213_ori	86.0
c4d_210929_054907_ori	50.0
c4d_210929_065611_ori	50.0
c4d_211002_045345_ori	130.0
c4d_211002_044040_ori	50.0
c4d_211002_064710_ori	50.0
c4d_211005_045628_ori	130.0
c4d_211005_043624_ori	50.0
c4d_211005_064807_ori	50.0
c4d_211005_081653_ori	50.0
c4d_211002_054606_ori	15.0
c4d_210917_021833_ori	50.0
c4d_210322_020805_ori	130.0
c4d_210328_031624_ori	30.0
c4d_210403_030604_ori	130.0
c4d_210406_025604_ori	130.0
c4d_210415_024102_ori	130.0
c4d_210917_044411_ori	50.0
c4d_210429_000052_ori	130.0
c4d_210502_234525_ori	130.0
c4d_210512_004148_ori	130.0
c4d_210518_002611_ori	90.0
c4d_210515_024227_ori	130.0
c4d_210917_032259_ori	86.0
c4d_210918_074725_ori	240.0
c4d_210920_032405_ori	86.0
c4d_210920_020702_ori	50.0
c4d_210920_050615_ori	50.0
c4d_210920_072325_ori	50.0
c4d_210921_075247_ori	50.0
c4d_210923_021318_ori	130.0
c4d_210923_005229_ori	50.0
c4d_210923_041245_ori	50.0
c4d_210923_062733_ori	50.0
c4d_210926_044209_ori	60.0
c4d_210926_063705_ori	50.0
c4d_210917_025815_ori	15.0
c4d_210918_083024_ori	30.0
c4d_210920_073103_ori	15.0
c4d_210923_015408_ori	15.0
c4d_210924_065951_ori	15.0
c4d_210926_042240_ori	15.0
c4d_210929_041718_ori	15.0
c4d_210929_070047_ori	15.0
c4d_210929_044357_ori	86.0
c4d_210929_053408_ori	130.0
c4d_210929_055029_ori	50.0
c4d_210929_065730_ori	50.0
c4d_211002_045623_ori	60.0
c4d_211002_043920_ori	50.0
c4d_211002_064829_ori	50.0
c4d_211005_045907_ori	60.0
c4d_211005_043742_ori	50.0
c4d_211005_064956_ori	50.0
c4d_211002_042251_ori	25.0
c4d_211002_054647_ori	15.0
c4d_211002_073841_ori	15.0
c4d_211005_042904_ori	15.0
c4d_211005_070621_ori	15.0
c4d_211005_080550_ori	15.0
c4d_210610_235534_ori	80.0
c4d_210917_022019_ori	50.0
c4d_210322_025243_ori	130.0
c4d_210328_032050_ori	30.0
c4d_210406_030205_ori	130.0
c4d_210415_024707_ori	130.0
c4d_210418_015657_ori	130.0
c4d_210518_003544_ori	90.0
c4d_210917_044130_ori	50.0
c4d_210917_032453_ori	130.0
c4d_210918_075155_ori	240.0
c4d_210920_032600_ori	130.0
c4d_210920_035937_ori	50.0
c4d_210920_050734_ori	50.0
c4d_210920_073406_ori	50.0
c4d_210921_075406_ori	50.0
c4d_210923_021559_ori	60.0
c4d_210923_005347_ori	50.0
c4d_210923_041404_ori	50.0
c4d_210923_062853_ori	50.0
c4d_210926_044339_ori	86.0
c4d_210926_063823_ori	50.0
c4d_210917_025857_ori	15.0
c4d_210918_083123_ori	30.0
c4d_210920_073145_ori	15.0
c4d_210923_015451_ori	15.0
c4d_210924_070033_ori	15.0
c4d_210926_042326_ori	15.0
c4d_210929_041802_ori	15.0
c4d_210929_070129_ori	15.0
c4d_210929_044553_ori	130.0
c4d_210929_055148_ori	50.0
c4d_211002_045753_ori	86.0
c4d_211002_054906_ori	50.0
c4d_211002_064948_ori	50.0
c4d_211005_050036_ori	86.0
c4d_211005_054934_ori	50.0
c4d_211005_065116_ori	50.0
c4d_211002_042346_ori	25.0
c4d_211002_065955_ori	15.0
c4d_211002_073924_ori	15.0
c4d_211005_043012_ori	15.0
c4d_211005_070704_ori	15.0
c4d_211005_080632_ori	15.0
c4d_211011_044310_ori	60.0
c4d_211011_050859_ori	86.0
c4d_211011_042705_ori	50.0
c4d_211011_062750_ori	50.0
c4d_211011_064641_ori	50.0
c4d_210610_235724_ori	80.0
