            id             |       ra        |        dec        |otype_txt
"ESIS 59079"               |9.100833333333334|-43.29194444444444 |"AGN"    
"ESIS 59465"               |8.710416666666665|-43.280833333333334|"AGN"    
"ESIS 59588"               |9.055083333333332|-43.281083333333335|"AGN"    
"ESIS 59605"               |8.902083333333334|-43.27916666666667 |"AGN"    
"ESIS 59707"               |8.850000000000001|-43.27722222222222 |"AGN"    
"ESIS 59785"               |9.042375         |-43.27758333333334 |"AGN"    
"ESIS 60145"               |8.768333333333333|-43.269444444444446|"AGN"    
"ESIS 60215"               |8.685833333333333|-43.265            |"AGN"    
"ESIS 61337"               |8.951845588260001|-43.24568699919    |"QSO"    
"ESIS 61399"               |8.610416666666667|-43.24             |"AGN"    
"ESIS 61593"               |8.675541666666668|-43.23927777777778 |"AGN"    
"ESIS 61824"               |9.166666666666666|-43.235            |"AGN"    
"ESIS 62061"               |9.129583333333333|-43.22916666666667 |"AGN"    
"ESIS 62785"               |8.921666666666667|-43.21277777777778 |"AGN"    
"ESIS 63643"               |9.095416666666665|-43.19694444444444 |"AGN"    
"ESIS 64142"               |8.988666666666667|-43.188027777777776|"AGN"    
"ESIS 64307"               |8.612208333333335|-43.18827777777778 |"AGN"    
"ESIS 64779"               |8.921666666666667|-43.172777777777775|"AGN"    
"ESIS 64798"               |8.594583333333333|-43.17111111111111 |"AGN"    
"ESIS 64914"               |8.985            |-43.169999999999995|"AGN"    
"ESIS 65179"               |9.032083333333333|-43.165277777777774|"AGN"    
"ESIS 65983"               |8.89625          |-43.147777777777776|"AGN"    
"ESIS 66004"               |9.046249999999999|-43.14805555555556 |"AGN"    
"ESIS 66486"               |8.78375          |-43.136944444444445|"AGN"    
"ESIS 66570"               |9.11025242857    |-43.13909725138999 |"QSO"    
"ESIS 68611"               |8.947498537359998|-43.09969875592    |"QSO"    
"ESIS 79443"               |8.916666666666666|-43.848888888888894|"AGN"    
"ESIS 79835"               |8.82625          |-43.84027777777778 |"AGN"    
"ESIS 80078"               |8.61125          |-43.83361111111111 |"AGN"    
"ESIS 81115"               |9.06125          |-43.81666666666666 |"AGN"    
"ESIS 81643"               |8.764166666666666|-43.801111111111105|"AGN"    
"ESIS 82411"               |8.710374999999999|-43.78572222222222 |"AGN"    
"ESIS 82799"               |8.649166666666666|-43.775277777777774|"AGN"    
"ESIS 83100"               |8.717584         |-43.77056          |"QSO"    
"ESIS 84780"               |8.8625           |-43.73305555555556 |"AGN"    
"ESIS 84850"               |8.912500000000001|-43.731388888888894|"AGN"    
"ESIS 85132"               |8.686791666666664|-43.72477777777778 |"AGN"    
"ESIS 86059"               |8.766250000000001|-43.7025           |"AGN"    
"ESIS 86665"               |8.63125          |-43.68666666666666 |"AGN"    
"ESIS 86805"               |8.768833         |-43.68532999999999 |"QSO"    
"ESIS 86858"               |8.81375          |-43.68611111111111 |"AGN"    
"ESIS 87022"               |8.72844057794    |-43.68068442286    |"QSO"    
"ESIS 87108"               |9.145833333333332|-43.68358333333333 |"AGN"    
"ESIS 88029"               |9.083749999999998|-43.65694444444444 |"AGN"    
"ESIS 88049"               |9.049583333333333|-43.655833333333334|"AGN"    
"ESIS 88062"               |9.156041666666667|-43.656083333333335|"AGN"    
"ESIS 88085"               |9.168333333333331|-43.657222222222224|"QSO"    
"ESIS 88105"               |8.79             |-43.65472222222222 |"AGN"    
"ESIS 88144"               |9.06875          |-43.655            |"AGN"    
"ESIS 88407"               |8.653333333333334|-43.645833333333336|"AGN"    
"ESIS 88604"               |8.864792         |-43.64325          |"QSO"    
"ESIS 89163"               |8.685574603300001|-43.63031629523    |"QSO"    
"ESIS 89714"               |9.126666666666665|-43.61944444444445 |"AGN"    
"ESIS 90291"               |8.903333333333334|-43.60416666666667 |"AGN"    
"ESIS 90324"               |8.872083333333334|-43.60305555555556 |"AGN"    
"ESIS 90747"               |8.729583333333332|-43.59583333333334 |"AGN"    
"ESIS 91176"               |8.629166666666666|-43.583333333333336|"AGN"    
"ESIS 91530"               |9.0125           |-43.57805555555556 |"AGN"    
"ESIS 91805"               |8.760416666666668|-43.57222222222222 |"QSO"    
"ESIS 91880"               |8.975416666666668|-43.57166666666667 |"AGN"    
"ESIS 92373"               |8.81502147972    |-43.56603188943    |"Sy1"    
"ESIS 92634"               |8.605416666666667|-43.55222222222222 |"AGN"    
"ESIS 93010"               |8.834999999999999|-43.54527777777778 |"QSO"    
"ESIS 94077"               |8.93698921653    |-43.52221261946    |"QSO"    
"ESIS 94953"               |8.900833333333335|-43.50194444444445 |"AGN"    
"ESIS 95079"               |8.8225           |-43.49722222222222 |"AGN"    
"ESIS 95973"               |8.372083333333334|-43.48361111111111 |"AGN"    
"ESIS 96655"               |8.231666666666666|-43.467777777777776|"QSO"    
"ESIS 97027"               |8.462083333333332|-43.46083333333333 |"AGN"    
"ESIS 97301"               |8.320208333333333|-43.45319444444445 |"AGN"    
"ESIS 97463"               |8.260833333333334|-43.448055555555555|"AGN"    
"ESIS 97490"               |8.287916666666666|-43.44777777777777 |"AGN"    
"ESIS 97706"               |8.496666666666668|-43.44444444444444 |"AGN"    
"ESIS 98000"               |8.35875          |-43.43694444444444 |"AGN"    
"ESIS 98182"               |8.557207999999997|-43.43344          |"QSO"    
"ESIS 98186"               |8.412916666666668|-43.431666666666665|"AGN"    
"ESIS 99640"               |8.219166666666666|-43.39527777777778 |"AGN"    
"ESIS 99911"               |8.390833333333333|-43.39111111111111 |"AGN"    
"ESIS J003252.20-433618.05"|8.217541666666666|-43.60497222222222 |"AGN"    
"ESIS J003252.68-432610.54"|8.219458333333334|-43.43622222222221 |"AGN"    
"ESIS J003255.25-430948.52"|8.230166         |-43.16344          |"QSO"    
"ESIS J003258.30-431407.16"|8.243333333333332|-43.235            |"AGN"    
