# Melissa Graham, nightly_epoch_magnitude_limits.ipynb 
# UTC = Mon, 11 Sep 2023 01:51:05 +0000 
# 
# Columns 
#  0 field 
#  1 calendar date 
#  2 MJD 
#  3 filter 
#  4 number of images combined 
#  5 limitng magnitude (mean of image magnitude limits) 
#  6 limitng magnitude uncertainty (std dev) 
# 
COSMOS    2021-05-26 59360.982692 r   8 23.119  0.010 
COSMOS    2021-05-26 59360.985204 i   8 23.224  0.018 
COSMOS    2021-05-29 59363.996672 g  12 21.503  1.328 
COSMOS    2021-05-30 59363.996672 g  12 21.503  1.328 
COSMOS    2021-05-29 59363.999556 r   8 23.432  0.229 
COSMOS    2021-05-30 59363.999556 r   8 23.432  0.229 
COSMOS    2021-05-30 59364.002067 i   8 23.039  0.239 
COSMOS    2021-05-29 59364.002067 i   8 23.039  0.239 
COSMOS    2021-06-01 59366.980843 g  12 23.469  0.681 
COSMOS    2021-06-01 59366.983741 r   8 23.535  0.121 
COSMOS    2021-06-01 59366.986269 i   8 23.029  0.028 
COSMOS    2021-06-04 59369.991919 g  12 23.748  0.667 
COSMOS    2021-06-05 59369.991919 g  12 23.748  0.667 
COSMOS    2021-06-04 59369.994818 r   8 23.689  0.152 
COSMOS    2021-06-05 59369.994818 r   8 23.689  0.152 
COSMOS    2021-06-04 59369.997336 i   8 23.233  0.067 
COSMOS    2021-06-05 59369.997336 i   8 23.233  0.067 
COSMOS    2021-06-07 59372.964667 g  12 23.546  0.697 
COSMOS    2021-06-07 59372.967643 r   8 23.729  0.080 
COSMOS    2021-06-07 59372.970154 i   8 23.245  0.091 
COSMOS    2021-06-11 59375.993546 g  12 23.469  0.639 
COSMOS    2021-06-10 59375.993546 g  12 23.469  0.639 
COSMOS    2021-06-10 59375.996441 r   8 23.598  0.017 
COSMOS    2021-06-11 59375.996441 r   8 23.598  0.017 
COSMOS    2021-06-10 59375.998959 i   8 23.139  0.031 
COSMOS    2021-06-11 59375.998959 i   8 23.139  0.031 
COSMOS    2021-11-17 59535.322524 g   2 21.366  0.006 
COSMOS    2021-11-17 59535.323501 r   2 21.816  0.040 
COSMOS    2021-11-17 59535.324510 i   2 21.821  0.006 
COSMOS    2022-01-03 59582.300591 g  12 24.038  0.093 
COSMOS    2022-01-03 59582.301766 r  12 24.034  0.073 
COSMOS    2022-01-03 59582.303342 i  12 23.653  0.060 
COSMOS    2022-01-06 59585.305379 g  12 24.042  0.041 
COSMOS    2022-01-06 59585.306565 r  12 24.098  0.076 
COSMOS    2022-01-06 59585.308150 i  12 23.696  0.126 
COSMOS    2022-01-09 59588.305995 g  12 23.236  0.247 
COSMOS    2022-01-09 59588.307177 r  12 23.338  0.298 
COSMOS    2022-01-09 59588.308770 i  12 23.123  0.122 
COSMOS    2022-01-13 59592.303933 g  12 23.852  0.079 
COSMOS    2022-01-13 59592.305111 r  12 23.898  0.173 
COSMOS    2022-01-13 59592.306704 i  12 23.879  0.102 
COSMOS    2022-01-16 59595.301613 g   8 22.478  0.123 
COSMOS    2022-01-16 59595.302798 r   8 22.836  0.178 
COSMOS    2022-01-16 59595.304384 i   8 22.826  0.404 
COSMOS    2022-01-18 59597.305602 i  10 21.842  0.549 
COSMOS    2022-01-18 59597.305771 g  12 21.570  0.079 
COSMOS    2022-01-18 59597.306949 r  12 21.786  0.367 
COSMOS    2022-01-23 59602.324400 g  12 22.882  0.027 
COSMOS    2022-01-23 59602.325589 r  12 23.320  0.016 
COSMOS    2022-01-23 59602.327177 i  12 23.383  0.029 
COSMOS    2022-01-24 59603.313950 g   8 22.860  0.068 
COSMOS    2022-01-24 59603.315132 r   8 23.289  0.063 
COSMOS    2022-01-24 59603.316711 i   8 23.289  0.120 
COSMOS    2022-04-21 59690.089049 g  20 22.608  0.317 
COSMOS    2022-04-21 59690.090222 r  20 22.831  0.187 
COSMOS    2022-04-21 59690.091805 i  20 22.861  0.146 
COSMOS    2022-04-24 59693.081841 g  20 24.043  0.049 
COSMOS    2022-04-24 59693.083020 r  20 23.878  0.048 
COSMOS    2022-04-24 59693.084604 i  20 23.644  0.049 
COSMOS    2022-04-30 59699.074419 g  18 23.549  0.126 
COSMOS    2022-04-30 59699.075599 r  18 23.399  0.162 
COSMOS    2022-04-30 59699.077183 i  18 23.201  0.067 
COSMOS    2022-05-03 59702.073907 g  20 23.155  0.095 
COSMOS    2022-05-03 59702.075083 r  20 23.067  0.124 
COSMOS    2022-05-03 59702.076665 i  20 22.810  0.100 
COSMOS    2022-05-06 59705.070773 g  20 23.316  0.237 
COSMOS    2022-05-06 59705.071953 r  20 23.271  0.227 
COSMOS    2022-05-06 59705.073542 i  20 23.058  0.172 
COSMOS    2022-05-09 59708.077351 g  20 22.045  0.125 
COSMOS    2022-05-09 59708.078529 r  20 21.747  0.199 
COSMOS    2022-05-09 59708.080114 i  20 21.407  0.288 
COSMOS    2022-05-12 59711.080622 g  20 22.338  0.131 
COSMOS    2022-05-12 59711.081798 r  20 22.649  0.118 
COSMOS    2022-05-12 59711.083377 i  20 22.792  0.207 
COSMOS    2022-05-15 59714.059176 g  20 21.896  0.226 
COSMOS    2022-05-15 59714.060356 r  20 22.455  0.179 
COSMOS    2022-05-15 59714.061939 i  20 22.736  0.169 
COSMOS    2022-05-18 59717.057181 g  20 21.894  0.226 
COSMOS    2022-05-18 59717.058357 r  20 22.458  0.184 
COSMOS    2022-05-18 59717.059947 i  20 22.653  0.226 
COSMOS    2022-05-21 59720.100353 g   4 22.404  0.140 
COSMOS    2022-05-21 59720.101524 r   4 22.749  0.165 
COSMOS    2022-05-21 59720.103102 i   4 22.638  0.131 
COSMOS    2022-05-24 59723.041071 g  10 23.464  0.240 
COSMOS    2022-05-24 59723.042249 r  10 23.382  0.184 
COSMOS    2022-05-24 59723.043829 i  10 23.121  0.149 
COSMOS    2023-01-03 59947.261885 g  20 22.983  0.267 
COSMOS    2023-01-03 59947.263068 r  20 23.335  0.170 
COSMOS    2023-01-03 59947.264658 i  20 23.385  0.087 
COSMOS    2023-01-04 59948.287390 g   8 22.737  0.102 
COSMOS    2023-01-04 59948.288568 r   8 23.087  0.090 
COSMOS    2023-01-04 59948.290147 i   8 23.149  0.065 
COSMOS    2023-01-06 59950.242037 g  17 20.955  1.123 
COSMOS    2023-01-06 59950.242505 r  18 21.103  0.921 
COSMOS    2023-01-06 59950.243852 i  12 21.400  0.968 
COSMOS    2023-01-18 59962.274559 i  16 23.285  0.052 
COSMOS    2023-01-18 59962.275061 g  18 23.452  0.086 
COSMOS    2023-01-18 59962.276243 r  18 23.499  0.074 
COSMOS    2023-01-21 59965.274360 g  20 23.821  0.077 
COSMOS    2023-01-21 59965.275536 r  20 23.828  0.087 
COSMOS    2023-01-21 59965.277238 i  20 23.604  0.110 
COSMOS    2023-01-24 59968.261922 g  20 23.716  0.043 
COSMOS    2023-01-24 59968.263099 r  20 23.663  0.055 
COSMOS    2023-01-24 59968.264682 i  20 23.323  0.080 
COSMOS    2023-01-27 59971.246564 g  20 23.700  0.044 
COSMOS    2023-01-27 59971.247744 r  20 23.773  0.075 
COSMOS    2023-01-27 59971.249333 i  20 23.578  0.053 
COSMOS    2023-01-30 59974.249329 g  20 23.796  0.065 
COSMOS    2023-01-30 59974.250507 r  20 23.871  0.061 
COSMOS    2023-01-30 59974.252092 i  20 23.701  0.055 
COSMOS    2023-02-02 59977.243449 g  14 22.788  0.259 
COSMOS    2023-02-02 59977.244621 r  14 23.038  0.156 
COSMOS    2023-02-02 59977.246201 i  14 23.048  0.104 
COSMOS    2023-02-05 59980.239235 g  14 21.701  0.074 
COSMOS    2023-02-05 59980.240415 r  14 21.850  0.121 
COSMOS    2023-02-05 59980.243064 i  13 21.365  0.671 
COSMOS    2023-02-11 59986.271515 g  20 22.067  0.131 
COSMOS    2023-02-11 59986.272692 r  20 22.475  0.103 
COSMOS    2023-02-11 59986.274277 i  20 22.706  0.082 
COSMOS    2023-02-14 59989.294423 g  20 23.089  0.104 
COSMOS    2023-02-14 59989.295610 r  20 23.386  0.096 
COSMOS    2023-02-14 59989.297200 i  20 23.336  0.096 
COSMOS    2023-02-17 59992.139939 g  20 23.684  0.094 
COSMOS    2023-02-17 59992.141126 r  20 23.712  0.097 
COSMOS    2023-02-17 59992.142723 i  20 23.510  0.107 
COSMOS    2023-02-23 59998.113443 g  20 23.572  0.067 
COSMOS    2023-02-23 59998.114629 r  20 23.695  0.075 
COSMOS    2023-02-23 59998.116226 i  20 23.477  0.055 
COSMOS    2023-02-26 60001.274151 g  20 23.525  0.071 
COSMOS    2023-02-26 60001.275341 r  20 23.551  0.090 
COSMOS    2023-02-26 60001.276943 i  20 23.447  0.069 
COSMOS    2023-03-01 60004.145675 g  20 23.019  0.090 
COSMOS    2023-03-01 60004.146865 r  20 23.342  0.084 
COSMOS    2023-03-01 60004.148471 i  20 23.360  0.062 
COSMOS    2023-03-04 60007.117923 g  20 22.335  0.030 
COSMOS    2023-03-04 60007.119114 r  20 22.666  0.024 
COSMOS    2023-03-04 60007.120706 i  20 22.834  0.045 
COSMOS    2023-03-05 60008.119153 g  20 21.868  0.070 
COSMOS    2023-03-05 60008.120350 r  20 21.927  0.127 
COSMOS    2023-03-05 60008.121948 i  20 21.031  0.865 
COSMOS    2023-03-10 60013.179651 g  20 22.603  0.044 
COSMOS    2023-03-10 60013.180834 r  20 23.068  0.040 
COSMOS    2023-03-10 60013.182429 i  20 23.171  0.247 
COSMOS    2023-03-13 60016.168993 g  20 23.045  0.097 
COSMOS    2023-03-13 60016.170200 r  20 23.373  0.089 
COSMOS    2023-03-13 60016.171810 i  20 23.379  0.045 
COSMOS    2023-03-16 60019.150406 g  20 23.583  0.086 
COSMOS    2023-03-16 60019.151594 r  20 23.596  0.100 
COSMOS    2023-03-16 60019.153188 i  20 23.440  0.066 
COSMOS    2023-03-22 60025.162289 g  20 23.487  0.100 
COSMOS    2023-03-22 60025.163471 r  20 23.603  0.070 
COSMOS    2023-03-22 60025.165068 i  20 23.465  0.082 
COSMOS    2023-03-28 60031.139406 g  20 23.582  0.086 
COSMOS    2023-03-28 60031.140605 r  20 23.653  0.087 
COSMOS    2023-03-28 60031.142196 i  20 23.489  0.081 
COSMOS    2023-03-31 60034.100452 g  20 22.295  0.100 
COSMOS    2023-03-31 60034.101648 r  20 22.492  0.144 
COSMOS    2023-03-31 60034.103245 i  20 22.517  0.217 
COSMOS    2023-04-03 60037.125506 i  48 21.274  0.577 
COSMOS    2023-04-08 60042.124924 i  40 22.977  0.086 
COSMOS    2023-04-09 60043.121910 i  48 23.181  0.057 
COSMOS    2023-04-12 60046.099659 i  48 23.486  0.109 
COSMOS    2023-04-18 60052.146346 g  20 23.219  0.127 
COSMOS    2023-04-18 60052.147546 r  20 23.143  0.131 
COSMOS    2023-04-18 60052.149136 i  20 22.924  0.140 
COSMOS    2023-04-24 60058.104602 g  20 23.209  0.113 
COSMOS    2023-04-24 60058.105789 r  20 23.087  0.158 
COSMOS    2023-04-24 60058.107380 i  20 22.919  0.115 
COSMOS    2023-04-27 60061.062406 g  20 23.096  0.070 
COSMOS    2023-04-27 60061.063596 r  20 23.192  0.081 
COSMOS    2023-04-27 60061.065204 i  20 23.102  0.084 
COSMOS    2023-04-28 60062.062577 g  14 22.692  0.055 
COSMOS    2023-04-28 60062.063761 r  14 22.816  0.077 
COSMOS    2023-04-28 60062.065353 i  14 22.730  0.086 
