# Melissa Graham, PQLD_create_candidate_coords_list.ipynb 
# UTC = Sun, 12 Nov 2023 20:19:26 +0000 
# 
# Columns 
#  0 id -- candidate identifier 
#  1 Right Ascension [decimal degrees] 
#  2 Declination [decimal degrees] 
# 
DC21b                  149.86707359886501     1.35745796621413 
DC21ba                 149.21158264216299     1.31912509115986 
DC21baa                148.51682482894799     2.21403434066513 
DC21baar               150.06290609878300     2.88905739998184 
DC21baav               150.05043726036700     2.87849646017490 
DC21baay               148.80601472515499     1.54219882988042 
DC21babk               150.23429085820001     2.97251636780826 
DC21babx               149.91572373761201     1.21570357661092 
DC21bac                151.11403062346500     2.27520940554694 
DC21bad                149.63456016613901     2.35239636072099 
DC21badi               149.69341999921301     1.32852216951408 
DC21badl               149.31850048367201     2.86007311815560 
DC21badn               149.28144184708401     2.81326560329840 
DC21badp               149.26881601962501     2.80900477995389 
DC21bads               149.92901737633500     1.65750284017383 
DC21baec               149.20781427278800     2.81938317993862 
DC21baef               149.17794889047801     2.82826937093595 
DC21baf                151.19051358553801     2.71031983192681 
DC21bafb               149.74509374131401     1.68510517750326 
DC21bafu               149.83179648843600     2.43956695090152 
DC21bag                150.85739634677500     1.84123755486533 
DC21bagh               149.00113677030001     1.38963356909442 
DC21bagm               149.82124470658400     2.12410901287044 
DC21baii               149.89063980914599     1.45654796463210 
DC21bain               150.13450921368201     1.72152052802513 
DC21baj                149.75818896818799     1.07993838683809 
DC21baje               150.91518786458201     1.22649527514768 
DC21bajf               150.41343867362900     0.98743186184885 
DC21bajy               150.87119487585500     1.82034995427587 
DC21baka               150.50449979540599     1.53544552137062 
DC21bal                150.12508663725600     1.55724758200346 
DC21balb               150.62687754375301     2.03010624849655 
DC21balq               148.88531422097199     1.02936165290521 
DC21balx               150.08221742293199     1.43708401389685 
DC21bam                150.73716694191799     2.46393641836625 
DC21bamf               150.07852667826600     1.32246741804509 
DC21baml               149.36915685967600     1.76654333820444 
DC21bamt               149.19590197127900     1.48231004907263 
DC21bane               148.56392949253299     1.93676474686706 
DC21bant               149.20133764895999     2.09717580261302 
DC21banx               149.89008575309799     1.56256910461650 
DC21bao                149.92057785626400     1.79909738612823 
DC21baob               149.29068246153099     1.89227525586992 
DC21bap                149.86777416230100     1.66044046312417 
DC21bapn               149.00537825928700     2.22394447772111 
DC21bapp               149.02825013282700     2.00114481263177 
DC21bapq               148.20911745753500     1.64751249790489 
DC21baq                150.60028957509900     1.31879031073362 
DC21bar                151.22213344495700     2.03959735280601 
DC21bart               150.89437475120499     1.80746307153512 
DC21bas                148.41420304486400     1.69354823190713 
DC21basa               150.79924596626299     1.72547387925123 
DC21basr               151.27728657569401     2.08501952146770 
DC21bata               151.76353224439501     1.72886443054713 
DC21baue               149.97715994595401     2.00490380032621 
DC21bauj               150.53399640879400     2.62763939227104 
DC21baut               150.81839354839499     1.88428568236833 
DC21bauz               150.81244461788700     1.18978088509979 
DC21bavj               151.12820685054601     1.04611759537722 
DC21bavw               148.48480343882699     1.79482609703855 
DC21bavx               151.56804584406001     1.26925639374875 
DC21baw                151.28610816450399     2.47195433725306 
DC21bawf               150.96507946887201     2.25235593452911 
DC21bawj               150.76397327207101     2.46088831794039 
DC21baxo               151.51073056818800     1.38651512240298 
DC21baxw               150.49540883597899     3.46111567761682 
DC21bayu               150.56471725870099     2.49182378793939 
DC21bayx               150.40746839738199     3.81915050122898 
DC21bazd               150.41793013209499     2.65263429893818 
DC21bazg               149.32893532456700     3.46155938588450 
DC21bba                149.31509655843499     1.65420042494564 
DC21bbao               149.09407524432800     3.16881036427567 
DC21bbb                149.30159946991199     1.78441225738214 
DC21bbc                150.08751897871699     2.09703440949833 
DC21bbcr               149.30160636457299     1.13423428216205 
DC21bbd                149.45882572853401     1.81257857270967 
DC21bbe                150.04644800791601     1.32926388428875 
DC21bbf                149.17337079603101     1.29256539748089 
DC21bbfh               148.90805398806700     2.26049401598972 
DC21bbgb               150.58683613846901     3.54469399948755 
DC21bbhd               150.85653452220001     1.40379095049778 
DC21bbi                149.31456816542399     1.15982043657149 
DC21bbj                149.82392343643500     2.52306300904772 
DC21bbja               150.38463473263599     2.29462411444739 
DC21bbjp               149.95159947084699     3.06407210711088 
DC21bbk                150.63329808877700     2.01211355912439 
DC21bbl                149.15302005727600     1.97689004608858 
DC21bbm                148.91564010140399     2.66735155040054 
DC21bbmf               151.43565997856899     1.37645242303804 
DC21bbn                149.37924214236801     1.93031649874611 
DC21bbo                148.40749724682399     1.77881446741056 
DC21bbpv               150.41723272396999     2.64988405322392 
DC21bbq                148.50564252858800     2.15562343467335 
DC21bbr                149.77022476060199     1.98467384333960 
DC21bbrd               150.96366705317200     1.23706097882216 
DC21bbrf               149.29589943013499     1.64927319901643 
DC21bbrt               148.97340517781100     2.28214392423547 
DC21bbs                148.93299873082401     2.34612675018536 
DC21bbsu               148.52277340479699     2.17242858277799 
DC21bbsy               149.07890385125000     1.54812332717600 
DC21bbt                151.10647026911701     2.38029222590548 
DC21bbv                151.50856783407099     1.32765684247847 
DC21bbvg               149.47405613131701     1.23509933898379 
DC21bbwe               149.55566325802599     2.64330072011595 
DC21bbwi               149.98815530283500     1.82304189981044 
DC21bbxn               150.69628500427399     0.98713507552655 
DC21bbxv               150.87929176270700     1.73356489490159 
DC21bbxz               150.63135985794699     2.69609773047175 
DC21bby                150.08668654775900     1.92270248375256 
DC21bbyv               150.70628556775600     1.27325612859820 
DC21bbz                150.70258271367200     2.43256883678791 
DC21bbzn               151.00487977348601     1.93042043414841 
