         id    agn_type  
   DC21koka   "QSO"      
   DC21kokx   "QSO"      
   DC21kopb   "QSO"      
   DC21koqo   "QSO"      
   DC21koso   "QSO"      
   DC21koss   "QSO"      
   DC21kplk   "QSO"      
   DC21kprh   "QSO"      
   DC21kprl   "QSO"      
   DC21kpxs   "AGN"      
   DC21kqbn   "QSO"      
   DC21kqfu   "QSO"      
   DC21kqhc   "AGN"      
   DC21kqun   "QSO"      
   DC21kqwp   "QSO"      
    DC21kqy   "QSO"      
   DC21kree   "QSO"      
   DC21krik   "QSO"      
   DC21krxt   "QSO"      
   DC21ksfn   "AGN"      
   DC21ksgv   "QSO"      
   DC21ksow   "QSO"      
   DC21kszd   "QSO"      
   DC21kszt   "QSO"      
   DC21ktdc   "AGN"      
   DC21ktfq   "QSO"      
   DC21ktsz   "QSO"      
   DC21ktzo   "QSO"      
   DC21kubh   "QSO"      
   DC21kufh   "QSO"      
   DC21kuim   "QSO"      
   DC21kupn   "QSO"      
   DC21kvum   "QSO"      
   DC21kvzu   "QSO"      
    DC21kwx   "QSO"      
   DC21kxho   "AGN"      
   DC21kxlc   "QSO"      
    DC21kzt   "QSO"      
   DC21lbmp   "QSO"      
   DC21lcvl   "QSO"      
   DC21ldqk   "QSO"      
   DC21ldst   "QSO"      
   DC21ldsw   "QSO"      
   DC21lhbd   "AGN"      
    DC21lkx   "QSO"      
    DC21lnm   "QSO"      
   DC21lqtw   "QSO"      
   DC21lsof   "QSO"      
   DC21ltch   "QSO"      
   DC21lumj   "QSO"      
   DC21lunt   "QSO"      
   DC21luzx   "QSO"      
   DC21lwgr   "QSO"      
     DC21lx   "QSO"      
   DC21lxfv   "QSO"      
   DC21lynm   "QSO"      
   DC21mbrw   "AGN"      
   DC21mcmm   "AGN"      
     DC21mk   "QSO"      
    DC21mnk   "AGN"      
    DC21mou   "QSO"      
    DC21mtc   "QSO"      
   DC21mval   "Sy1"      
   DC21nccs   "QSO"      
   DC21ndju   "AGN"      
    DC21nkc   "AGN"      
   DC21nlhi   "QSO"      
    DC21nuu   "QSO"      
    DC21nzd   "QSO"      
    DC21ocr   "QSO"      
    DC21oja   "QSO"      
    DC21olj   "QSO"      
    DC21ovc   "QSO"      
    DC21pcn   "QSO"      
    DC21pfr   "QSO"      
    DC21pit   "AGN"      
    DC21pjq   "QSO"      
    DC21poa   "AGN"      
    DC21pra   "QSO"      
    DC21pul   "QSO"      
    DC21qcv   "AGN"      
    DC21qdh   "AGN"      
    DC21qdr   "QSO"      
    DC21qos   "QSO"      
    DC21qwg   "QSO"      
    DC21rcr   "Sy1"      
    DC21rmv   "Sy2"      
    DC21rpq   "Sy1"      
    DC21rpw   "QSO"      
    DC21rvk   "QSO"      
    DC21san   "AGN"      
    DC21sbf   "QSO"      
    DC21sek   "AGN"      
    DC21sey   "QSO"      
    DC21sra   "AGN"      
    DC21srg   "AGN"      
    DC21syd   "QSO"      
    DC21syx   "QSO"      
    DC21szz   "AGN"      
    DC21thq   "AGN"      
    DC21tii   "QSO"      
    DC21tmp   "QSO"      
    DC21tpq   "QSO"      
    DC21ttg   "QSO"      
    DC21ttx   "QSO"      
    DC21tuh   "AGN"      
    DC21tyi   "AGN"      
    DC21tzp   "AGN"      
    DC21tzu   "AGN"      
     DC21ub   "QSO"      
