            main_id             |        ra        |        dec        |otype_txt
"ESIS 129562"                   |8.489166666666668 |-43.60027777777778 |"AGN"    
"ESIS 129766"                   |8.469166666666668 |-43.593333333333334|"AGN"    
"ESIS 131779"                   |8.318333333333333 |-43.525277777777774|"AGN"    
"ESIS 131906"                   |8.412500000000001 |-43.52111111111111 |"AGN"    
"ESIS 132116"                   |8.305666666666667 |-43.51425000000001 |"AGN"    
"ESIS 132486"                   |8.397499999999999 |-43.50416666666667 |"AGN"    
"ESIS 50580"                    |8.73125           |-43.45777777777778 |"AGN"    
"ESIS 52460"                    |8.83825           |-43.41952777777779 |"AGN"    
"ESIS 52790"                    |8.817083147220002 |-43.41441087526    |"QSO"    
"ESIS 53587"                    |8.618333333333332 |-43.39361111111111 |"AGN"    
"ESIS 56711"                    |8.833874999999999 |-43.335972222222225|"AGN"    
"ESIS 59465"                    |8.710416666666665 |-43.280833333333334|"AGN"    
"ESIS 59605"                    |8.902083333333334 |-43.27916666666667 |"AGN"    
"ESIS 60215"                    |8.685833333333333 |-43.265            |"AGN"    
"ESIS 62785"                    |8.921666666666667 |-43.21277777777778 |"AGN"    
"ESIS 64142"                    |8.988666666666667 |-43.188027777777776|"AGN"    
"ESIS 64307"                    |8.612208333333335 |-43.18827777777778 |"AGN"    
"ESIS 64779"                    |8.921666666666667 |-43.172777777777775|"AGN"    
"ESIS 68611"                    |8.947498537359998 |-43.09969875592    |"QSO"    
"ESIS 79443"                    |8.916666666666666 |-43.848888888888894|"AGN"    
"ESIS 79835"                    |8.82625           |-43.84027777777778 |"AGN"    
"ESIS 81643"                    |8.764166666666666 |-43.801111111111105|"AGN"    
"ESIS 82411"                    |8.710374999999999 |-43.78572222222222 |"AGN"    
"ESIS 84780"                    |8.8625            |-43.73305555555556 |"AGN"    
"ESIS 85132"                    |8.686791666666664 |-43.72477777777778 |"AGN"    
"ESIS 86805"                    |8.76875           |-43.68527777777778 |"AGN"    
"ESIS 86858"                    |8.81375           |-43.68611111111111 |"AGN"    
"ESIS 88062"                    |9.156041666666667 |-43.656083333333335|"AGN"    
"ESIS 89163"                    |8.685574603300001 |-43.63031629523    |"QSO"    
"ESIS 90747"                    |8.729583333333332 |-43.59583333333334 |"AGN"    
"ESIS 92634"                    |8.605416666666667 |-43.55222222222222 |"AGN"    
"ESIS 94953"                    |8.900833333333335 |-43.50194444444445 |"AGN"    
"ESIS 95079"                    |8.8225            |-43.49722222222222 |"AGN"    
"ESIS 95973"                    |8.372083333333334 |-43.48361111111111 |"AGN"    
"ESIS 96655"                    |8.231666666666666 |-43.467777777777776|"QSO"    
"ESIS 97301"                    |8.320208333333333 |-43.45319444444445 |"AGN"    
"ESIS 97463"                    |8.260833333333334 |-43.448055555555555|"AGN"    
"ESIS 97490"                    |8.287916666666666 |-43.44777777777777 |"AGN"    
"ESIS 97706"                    |8.496666666666668 |-43.44444444444444 |"AGN"    
"ESIS 98182"                    |8.557083333333335 |-43.43333333333333 |"AGN"    
"ESIS 98186"                    |8.412916666666668 |-43.431666666666665|"AGN"    
"ESIS 99640"                    |8.219166666666666 |-43.39527777777778 |"AGN"    
"ESIS J003252.20-433618.05"     |8.217541666666666 |-43.60497222222222 |"AGN"    
"ESIS J003252.68-432610.54"     |8.219458333333334 |-43.43622222222221 |"AGN"    
"ESIS J003303.79-432848.33"     |8.26575           |-43.480138888888895|"AGN"    
"ESIS J003313.67-432120.81"     |8.306958333333334 |-43.35577777777778 |"AGN"    
"ESIS J003314.39-431728.16"     |8.309833333333335 |-43.29122222222222 |"AGN"    
"ESIS J003318.31-433323.97"     |8.326333333333332 |-43.717            |"AGN"    
"ESIS J003318.40-433818.82"     |8.32675           |-43.63852777777777 |"AGN"    
"ESIS J003321.18-433742.72"     |8.338291666666668 |-43.628527777777784|"AGN"    
"ESIS J003323.92-432423.43"     |8.349583333333333 |-43.40647222222222 |"AGN"    
"ESIS J003329.94-433625.92"     |8.374750000000002 |-43.60719444444445 |"AGN"    
"ESIS J003331.41-433032.96"     |8.380666666666668 |-43.50913888888889 |"AGN"    
"ESIS J003331.97-435051.22"     |8.383208333333332 |-43.84755555555556 |"AGN"    
"ESIS J003333.27-431303.85"     |8.388625000000003 |-43.8335           |"AGN"    
"ESIS J003333.62-434931.93"     |8.390083333333335 |-43.866194444444446|"AGN"    
"ESIS J003333.63-435158.29"     |8.390083333333335 |-43.825472222222224|"AGN"    
"ESIS J003334.58-434123.27"     |8.39375           |-43.689722222222215|"AGN"    
"ESIS J003334.82-435158.63"     |8.395041666666668 |-43.866277777777775|"AGN"    
"ESIS J003336.23-434033.00"     |8.400833333333335 |-43.67583333333333 |"AGN"    
"ESIS J003348.13-431218.39"     |8.4505            |-43.20511111111111 |"AGN"    
"ESIS J003349.78-433326.53"     |8.457416666666669 |-43.557444444444435|"AGN"    
"ESIS J003349.95-433229.43"     |8.458166666666667 |-43.541500000000006|"AGN"    
"ESIS J003351.95-432925.31"     |8.466458333333334 |-43.7055           |"AGN"    
"ESIS J003352.53-432452.77"     |8.468708333333336 |-43.41463888888889 |"AGN"    
"ESIS J003354.24-432215.11"     |8.475958333333335 |-43.37083333333334 |"AGN"    
"ESIS J003356.92-432446.45"     |8.487166666666669 |-43.412916666666675|"AGN"    
"ESIS J003401.22-434832.30"     |8.505041666666667 |-43.80888888888889 |"AGN"    
"ESIS J003402.11-431848.06"     |8.508791666666664 |-43.313361111111114|"AGN"    
"ESIS J003403.32-432831.18"     |8.513625          |-43.47522222222222 |"AGN"    
"ESIS J003407.63-431744.55"     |8.531708333333333 |-43.29572222222222 |"AGN"    
"ESIS J003417.70-432804.66"     |8.573625          |-43.46794444444444 |"AGN"    
"ESIS J003419.58-432458.92"     |8.581583333333333 |-43.41625          |"AGN"    
"ESIS J003425.33-434026.81"     |8.6055            |-43.67411111111111 |"AGN"    
"ESIS J003425.39-432513.08"     |8.60576           |-43.55305          |"AGN"    
"ESIS J003425.39-433311.11"     |8.60575           |-43.42033333333333 |"AGN"    
"ESIS J003428.77-431511.88"     |8.619791666666666 |-43.25330555555556 |"AGN"    
"ESIS J003438.94-431002.75"     |8.66225           |-43.86069444444445 |"AGN"    
"ESIS J003439.63-434908.90"     |8.665083333333333 |-43.81916666666667 |"AGN"    
"ESIS J003444.52-434741.29"     |8.685416666666667 |-43.794777777777774|"AGN"    
"ESIS J003446.66-433337.35"     |8.694458333333335 |-43.434861111111104|"AGN"    
"ESIS J003447.18-432446.23"     |8.696458333333334 |-43.41277777777778 |"AGN"    
"ESIS J003452.70-430959.62"     |8.7195            |-43.16652777777777 |"AGN"    
"ESIS J003510.04-434717.99"     |8.791833333333333 |-43.788361111111115|"AGN"    
"ESIS J003513.64-433638.41"     |8.806833333333335 |-43.61061111111111 |"AGN"    
"ESIS J003517.77-435138.12"     |8.824000000000002 |-43.860611111111105|"AGN"    
"ESIS J003518.71-433905.14"     |8.827791666666668 |-43.65138888888889 |"AGN"    
"ESIS J003526.99-434347.52"     |8.862541666666667 |-43.72986111111111 |"AGN"    
"ESIS J003529.85-434328.57"     |8.874458333333335 |-43.72463888888888 |"AGN"    
"ESIS J003532.70-430725.72"     |8.886208333333334 |-43.123805555555556|"AGN"    
"ESIS J003533.42-433522.52"     |8.889375000000001 |-43.58958333333334 |"AGN"    
"ESIS J003544.18-430746.73"     |8.934083333333334 |-43.12963888888889 |"AGN"    
"ESIS J003552.01-434745.62"     |8.966666666666669 |-43.796055555555554|"AGN"    
"ESIS J003552.95-431834.71"     |8.97075           |-43.30963888888889 |"AGN"    
"ESIS J003600.79-433645.07"     |9.00325           |-43.61258333333334 |"AGN"    
"ESIS J003601.28-434050.42"     |9.005291666666668 |-43.680722222222215|"AGN"    
"ESIS J003607.76-430955.57"     |9.032083333333333 |-43.165277777777774|"AGN"    
"ESIS J003613.16-432511.36"     |9.054833333333335 |-43.41983333333333 |"AGN"    
"ESIS J003616.41-431309.35"     |9.06825           |-43.21930555555556 |"AGN"    
"ESIS J003619.25-433628.31"     |9.080041666666668 |-43.60791666666666 |"AGN"    
"ESIS J003630.63-433926.11"     |9.127583333333332 |-43.657250000000005|"AGN"    
"ESIS J003631.03-434107.31"     |9.129249999999999 |-43.68538888888888 |"AGN"    
"ESIS J003631.91-431657.88"     |9.132958333333331 |-43.282777777777774|"AGN"    
"ESIS J003639.13-431817.80"     |9.163041666666667 |-43.30497222222221 |"AGN"    
"ESIS J003640.23-433711.30"     |9.167625          |-43.61980555555556 |"AGN"    
"ESIS J003643.72-431914.95"     |9.181583333333332 |-43.32130555555556 |"AGN"    
"ESIS J003644.17-432154.28"     |9.184041666666666 |-43.663916666666665|"AGN"    
"ESIS J003648.49-432434.04"     |9.201958333333332 |-43.40972222222223 |"AGN"    
"ESIS J003657.39-433207.91"     |9.239083333333332 |-43.53552777777777 |"AGN"    
"LEDA 2822314"                  |10.5374           |-44.2335           |"Sy2"    
"PKS 0039-440"                  |10.3734           |-43.7963           |"rG"     
"QSO B0027-426"                 |7.57288638079     |-42.412911730729995|"QSO"    
"SWIRE J002802.79-425957.0"     |7.0116249999999996|-42.99916666666667 |"AGN"    
"SWIRE J002927.72-431614.4"     |7.365458333333334 |-43.27061111111111 |"AGN"    
"SWIRE J003144.63-434834.1"     |7.935958333333334 |-43.809472222222226|"AGN"    
"SWIRE J003151.28-425347.3"     |7.963666666666665 |-42.89647222222222 |"AGN"    
"SWIRE J003224.37-424211.0"     |8.101541666666668 |-42.70305555555556 |"AGN"    
"SWIRE J003255.25-430948.3"     |8.230416666666665 |-43.163333333333334|"AGN"    
"SWIRE J003258.33-431407.0"     |8.243333333333332 |-43.235            |"AGN"    
"SWIRE J003258.79-433038.7"     |8.245             |-43.510555555555555|"AGN"    
"SWIRE J003304.37-434920.8"     |8.267916666666666 |-43.82222222222222 |"AGN"    
"SWIRE J003305.90-432052.4"     |8.274583333333334 |-43.34777777777778 |"AGN"    
"SWIRE J003310.04-432106.4"     |8.292083333333334 |-43.35138888888889 |"AGN"    
"SWIRE J003314.61-432300.3"     |8.310875000000001 |-43.38341666666667 |"AGN"    
"SWIRE J003314.77-433154.5"     |8.311666666666667 |-43.53138888888889 |"AGN"    
"SWIRE J003315.33-433301.6"     |8.314166666666667 |-43.55027777777777 |"AGN"    
"SWIRE J003320.68-433716.6"     |8.336166666666667 |-43.62130555555556 |"AGN"    
"SWIRE J003325.45-432208.6"     |8.356250000000001 |-43.369166666666665|"AGN"    
"SWIRE J003326.12-432613.1"     |8.35875           |-43.43694444444444 |"AGN"    
"SWIRE J003328.66-433230.9"     |8.369166666666667 |-43.54194444444444 |"AGN"    
"SWIRE J003328.73-433138.6"     |8.369583333333335 |-43.52722222222222 |"AGN"    
"SWIRE J003330.62-435127.3"     |8.3775            |-43.8575           |"AGN"    
"SWIRE J003331.64-433313.3"     |8.381666666666668 |-43.55361111111111 |"AGN"    
"SWIRE J003336.05-433143.7"     |8.400416666666667 |-43.528888888888886|"AGN"    
"SWIRE J003339.05-434412.6"     |8.412500000000001 |-43.736666666666665|"AGN"    
"SWIRE J003341.70-423938.9"     |8.423750000000002 |-42.660805555555555|"AGN"    
"SWIRE J003344.97-434352.2"     |8.4375            |-43.73111111111111 |"AGN"    
"SWIRE J003345.40-433930.5"     |8.439166666666665 |-43.65861111111111 |"AGN"    
"SWIRE J003346.34-431109.0"     |8.442916666666667 |-43.18583333333333 |"AGN"    
"SWIRE J003347.45-433511.2"     |8.447708333333335 |-43.586444444444446|"AGN"    
"SWIRE J003349.32-432307.3"     |8.455833333333334 |-43.38527777777778 |"AGN"    
"SWIRE J003350.87-432108.6"     |8.462083333333332 |-43.352222222222224|"AGN"    
"SWIRE J003350.93-432739.5"     |8.462083333333332 |-43.46083333333333 |"AGN"    
"SWIRE J003402.15-433613.8"     |8.50875           |-43.60388888888889 |"AGN"    
"SWIRE J003404.40-435200.9"     |8.51833333333333  |-43.86694444444444 |"AGN"    
"SWIRE J003413.32-431847.0"     |8.555416666666666 |-43.31305555555555 |"AGN"    
"SWIRE J003413.64-434650.6"     |8.556666666666667 |-43.78055555555555 |"AGN"    
"SWIRE J003414.98-433846.8"     |8.5625            |-43.646388888888886|"AGN"    
"SWIRE J003416.02-433338.2"     |8.566666666666666 |-43.56027777777778 |"AGN"    
"SWIRE J003416.88-433709.8"     |8.570416666666667 |-43.619166666666665|"AGN"    
"SWIRE J003419.55-430151.7"     |8.5815            |-43.03072222222222 |"AGN"    
"SWIRE J003422.71-431016.6"     |8.594583333333333 |-43.17111111111111 |"AGN"    
"SWIRE J003424.32-432037.2"     |8.60125           |-43.343611111111116|"AGN"    
"SWIRE J003426.51-431424.7"     |8.610416666666667 |-43.24             |"AGN"    
"SWIRE J003429.30-432409.5"     |8.622083333333334 |-43.402499999999996|"AGN"    
"SWIRE J003430.97-433500.6"     |8.629166666666666 |-43.583333333333336|"AGN"    
"SWIRE J003431.20-431654.9"     |8.63              |-43.28191666666667 |"AGN"    
"SWIRE J003431.44-434112.5"     |8.63125           |-43.68666666666666 |"AGN"    
