# Melissa Graham & Midori Rollins, fit_potential_snia_sncosmos.ipynb 
# UTC = Mon, 10 Jul 2023 04:14:36 +0000 
# 
# Columns 
#  0 id -- candidate identifier 
#  1 estimated redshift 
#  2 redshift lower boundry intput to fit 
#  3 redshift upper boundry intput to fit 
#  4 fit redshift 
#  5 error in fit redshift 
#  6 fit t0 
#  7 error in fit t0 
#  8 fit x0 
#  9 error in fit x0 
# 10 fit x1 
# 11 error in fit x1 
# 12 fit c 
# 13 error in fit c 
# 14 fit peak magnitude in bessel B 
# 15 fit peak magnitude in sdss g 
# 16 fit peak magnitude in sdss r 
# 17 fit peak magnitude in sdss i 
# 
DC21edhi       0.204 0.054 0.354   0.252 0.008 59346.68  0.35   4.7272E-05   1.7793E-06     7.0600     0.5395    -0.3869     0.0299    21.1736    21.3624    22.0943    22.7092 
DC21emxv       0.111 0.050 0.350   0.244 0.004 59352.47  0.18   1.0520E-04   2.3426E-06     3.6728     0.1980     0.4485     0.0313    20.4158    20.3316    19.9812    20.4033 
DC21eoo        0.138 0.050 0.350   0.205 0.008 59306.76  0.35   1.5591E-04   4.5434E-06     8.1536     0.4270     0.3061     0.0379    19.8365    19.8062    19.7563    20.0146 
DC21eqq        0.404 0.254 0.554   0.326 0.022 59292.29  3.00   2.1376E-05   1.6249E-06     0.7500     1.4072    -0.0143     0.0915    22.1754    22.2353    22.3547    22.9479 
DC21eqtm       0.462 0.312 0.612   0.369 0.016 59329.71  0.90   1.3313E-05   7.2668E-07     2.6116     1.0621     0.1620     0.0460    22.6806    22.6848    22.6362    23.1743 
DC21eyf        0.342 0.192 0.492   0.370 0.064 59350.22  0.79   2.4891E-05   1.5677E-06     1.4222     0.8169     0.6292     0.4232    21.9851    21.8479    21.2369    21.5688 
DC21fber       0.322 0.172 0.472   0.282 0.020 59331.90  0.40   3.0226E-05   1.1275E-06     0.4099     0.4350     0.0243     0.0387    21.7998    21.8483    21.9156    22.4881 
DC21fchc       0.204 0.054 0.354   0.165 0.004 59334.33  0.26   4.4985E-05   1.7396E-06    13.9190     0.9423     0.1349     0.0368    20.8909    20.8949    21.0845    21.3311 
DC21frjc       0.369 0.219 0.519   0.314 0.010 59961.53  0.24   2.9461E-05   9.0888E-07     2.9259     0.4523    -0.2792     0.0130    21.8161    21.9520    22.4314    23.1621 
DC21gbza       0.084 0.050 0.350   0.223 0.001 59334.32  0.04   1.2596E-04   1.2302E-06    34.2680     0.4023     1.0118     0.0102    18.9577    18.6807    17.9182    17.7411 
DC21gocx       0.087 0.050 0.350   0.325 0.001 59337.40  0.04   1.9889E-04   1.3176E-06    26.3823     0.2464     0.5684     0.0131    18.7430    18.6033    18.3241    18.3434 
DC21grk        0.170 0.050 0.350   0.300 0.010 59326.53  0.22   7.6663E-05   2.4152E-06     1.2203     0.2944    -0.8131     0.0213    20.7605    21.0514    22.1537    23.0990 
DC21hpdc       0.368 0.218 0.518   0.330 0.006 59334.39  0.94   2.3505E-05   8.8463E-07     9.3538     1.1062    -0.1100     0.0323    21.8342    21.9325    22.3877    22.7822 
DC21ijs        0.202 0.052 0.352   0.218 0.003 59323.24  0.17   3.4085E-05   8.0303E-07    14.0925     0.5155     0.6119     0.0153    21.1624    21.0160    20.6653    20.7086 
