# archfnmbase            ra         dec        mjd          filt  airm  object       expt  seqid                     class                type   moonsep moonill medpixval  
c4d_211219_051606_ori    116.320004 -26.250000 59567.219525 i      1.05 DECaPS-West   30.0 DECaPSWest-DDF-A          DECaPS-West          GAL      59.76   1.000       2403 
c4d_211224_021353_ori      7.874596 -43.009600 59572.092982 r      1.29 ELAIS-E1      86.0 ELAIS-DDF-SEQ-A           ELAIS                EGAL    140.34   0.791          0 
c4d_210926_082003_ori    116.320004 -26.250000 59483.347259 g      1.55 DECaPS-West   96.0 DECaPSWest-DDF-B          DECaPS-West          GAL      71.47   0.748          0 
c4d_210324_015154_ori    149.220000   1.750000 59297.077717 i      1.20 COSMOS-2     130.0 COSMOS-DDF-SEQ-A          COSMOS               EGAL     32.59   0.739       3854 
c4d_210917_084814_ori    116.320004 -26.250000 59474.366835 r      1.60 DECaPS-West   50.0 DECaPSWest-DDF-A          DECaPS-West          GAL     129.52   0.855          0 
c4d_210328_032613_ori    150.000000   3.100000 59301.143217 r      1.24 COSMOS-1      30.0 COSMOS-DDF-SEQ-B          COSMOS-MOON          EGAL     30.81   0.992       3203 
c4d_210412_022040_ori    150.780000   1.750000 59316.097687 i      1.21 COSMOS-3     130.0 COSMOS-DDF-SEQ-B          COSMOS               EGAL    128.99   0.001          0 
c4d_210515_075407_ori    270.889996 -29.530000 59349.329258 i      1.01 DECaPS-East   30.0 DECaPSEast-DDF-A          DECaPS-East          GAL     175.43   0.109          0 
c4d_220103_054409_ori    116.320004 -26.250000 59582.238995 i      1.00 DECaPS-West   30.0 DECaPSWest-DDF-B          DECaPS-West          GAL     128.46   0.004          0 
c4d_210527_085835_ori      9.499996 -43.998000 59361.374027 g      1.53 ELAIS-E2      60.0 ELAIS-DDF-SEQ-A           ELAIS                EGAL     88.57   0.988          0 
c4d_220103_072852_ori    150.000000   3.100000 59582.311723 r      1.20 COSMOS-1      86.0 COSMOS-DDF-SEQ-A          COSMOS               EGAL    138.17   0.006          0 
c4d_210331_005545_ori    149.220000   1.750000 59304.038720 i      1.24 COSMOS-2     130.0 COSMOS-DDF-SEQ-C          COSMOS               EGAL     72.69   0.926          0 
c4d_210506_084945_ori    270.889996 -29.530000 59340.367882 g      1.03 DECaPS-East   96.0 DECaPSEast-DDF-B          DECaPS-East          GAL      75.44   0.251          0 
c4d_211116_073557_ori    116.320004 -26.250000 59534.316643 r      1.04 DECaPS-West   50.0 DECaPSWest-DDF-A          DECaPS-West          GAL      98.63   0.916          0 
c4d_210425_091002_ori    270.889996 -29.530000 59329.381973 r      1.01 DECaPS-East   50.0 DECaPSEast-DDF-A          DECaPS-East          GAL      82.17   0.952          0 
c4d_210412_074449_ori    270.889996 -29.530000 59316.322792 z      1.08 DECaPS-East   30.0 DECaPSEast-DDF-A          DECaPS-East          GAL     113.96   0.002          0 
c4d_211104_050322_ori      9.499996 -43.998000 59522.210682 i      1.20 ELAIS-E2     130.0 ELAIS-DDF-SEQ-B           ELAIS                EGAL    123.24   0.007          0 
c4d_211119_064041_ori    116.320004 -26.250000 59537.278255 z      1.11 DECaPS-West   30.0 DECaPSWest-DDF-A          DECaPS-West          GAL      76.38   1.000          0 
c4d_211101_043732_ori      9.499996 -43.998000 59519.192733 i      1.12 ELAIS-E2     130.0 ELAIS-DDF-SEQ-A           ELAIS                EGAL    142.34   0.179          0 
c4d_210412_013104_ori    150.000000   3.100000 59316.063241 i      1.19 COSMOS-1     130.0 COSMOS-DDF-SEQ-A          COSMOS               EGAL    128.52   0.001          0 
c4d_211011_085037_ori    116.320004 -26.250000 59498.368490 i      1.16 DECaPS-West   30.0 DECaPSWest-DDF-B          DECaPS-West          GAL     120.47   0.304          0 
c4d_211216_015743_ori      9.499996 -43.998000 59564.081752 i      1.15 ELAIS-E2     130.0 ELAIS-DDF-SEQ-A           ELAIS                EGAL     71.08   0.917          0 
c4d_210403_004640_ori    150.000000   3.100000 59307.032411 i      1.26 COSMOS-1     130.0 COSMOS-DDF-SEQ-C          COSMOS               EGAL    114.60   0.654          0 
c4d_210412_001104_ori    150.780000   1.750000 59316.007686 r      1.24 COSMOS-3      86.0 COSMOS-DDF-SEQ-C          COSMOS               EGAL    130.26   0.001          0 
c4d_220124_073737_ori    150.000000   3.100000 59603.317799 g      1.25 COSMOS-1      60.0 COSMOS-DDF-SEQ-A          COSMOS               EGAL     48.96   0.637       2155 
c4d_210917_031250_ori      9.499996 -43.998000 59474.133920 i      1.17 ELAIS-E2     130.0 ELAIS-DDF-SEQ-A           ELAIS                EGAL     52.92   0.836       3770 
c4d_211011_083835_ori    116.320004 -26.250000 59498.360131 r      1.20 DECaPS-West   50.0 DECaPSWest-DDF-A          DECaPS-West          GAL     120.39   0.303          0 
c4d_210923_002915_ori    270.889996 -29.530000 59480.020314 i      1.09 DECaPS-East   30.0 DECaPSEast-DDF-A          DECaPS-East          GAL     113.07   0.958          0 
c4d_211128_045941_ori      7.874596 -43.009600 59546.208117 r      1.59 ELAIS-E1      86.0 ELAIS-DDF-SEQ-A           ELAIS                EGAL    144.14   0.430          0 
c4d_210920_000615_ori    270.889996 -29.530000 59477.004351 i      1.04 DECaPS-East   30.0 DECaPSEast-DDF-B          DECaPS-East          GAL      74.66   0.987          0 
c4d_210322_031353_ori    150.000000   3.100000 59295.134643 g      1.20 COSMOS-1      60.0 COSMOS-DDF-SEQ-B          COSMOS               EGAL     55.38   0.552       1881 
c4d_211023_035721_ori      9.499996 -43.998000 59510.164836 i      1.04 ELAIS-E2     130.0 ELAIS-DDF-SEQ-B           ELAIS                EGAL     76.81   0.942          0 
c4d_211020_083051_ori    116.320004 -26.250000 59507.354763 z      1.13 DECaPS-West   30.0 DECaPSWest-DDF-A          DECaPS-West          GAL      96.36   0.999          0 
c4d_210412_002313_ori    149.220000   1.750000 59316.016133 r      1.21 COSMOS-2      86.0 COSMOS-DDF-SEQ-C          COSMOS               EGAL    128.61   0.001          0 
c4d_210409_005010_ori    150.780000   1.750000 59313.034841 r      1.20 COSMOS-3      86.0 COSMOS-DDF-SEQ-C          COSMOS               EGAL    161.45   0.090          0 
c4d_211110_044156_ori      7.874596 -43.009600 59528.195792 r      1.22 ELAIS-E1      86.0 ELAIS-DDF-SEQ-A           ELAIS                EGAL     55.90   0.355       1893 
c4d_210923_022806_ori      9.499996 -43.998000 59480.102851 g      1.23 ELAIS-E2      60.0 ELAIS-DDF-SEQ-B           ELAIS                EGAL     52.82   0.954       2673 
c4d_210917_035544_ori      7.874596 -43.009600 59474.163709 i      1.09 ELAIS-E1     130.0 ELAIS-DDF-SEQ-B           ELAIS                EGAL     51.55   0.839       3336 
c4d_211222_003503_ori     24.034592 -29.907499 59570.024342 r      1.00 pointing       5.0 None                      None                 None    111.17   0.928          0 
c4d_210428_235126_ori    150.000000   3.100000 59332.994054 g      1.20 COSMOS-1      60.0 COSMOS-DDF-SEQ-C          COSMOS               EGAL     94.73   0.949          0 
c4d_211025_044716_ori      7.874596 -43.009600 59512.199497 g      1.10 ELAIS-E1      60.0 ELAIS-DDF-SEQ-A           ELAIS                EGAL     96.27   0.822          0 
c4d_220124_072532_ori    149.220000   1.750000 59603.309399 g      1.22 COSMOS-2      60.0 COSMOS-DDF-SEQ-A          COSMOS               EGAL     49.50   0.637       2167 
c4d_210425_090425_ori    270.889996 -29.530000 59329.378067 r      1.01 DECaPS-East   50.0 DECaPSEast-DDF-A          DECaPS-East          GAL      82.22   0.952          0 
c4d_211213_071630_ori    116.320004 -26.250000 59561.303128 g      1.00 DECaPS-West   96.0 DECaPSWest-DDF-A          DECaPS-West          GAL     100.56   0.719          0 
c4d_210319_023945_ori    150.000000   3.100000 59292.110947 g      1.20 COSMOS-1      60.0 COSMOS-DDF-SEQ-A          COSMOS               EGAL     90.46   0.272          0 
c4d_210328_073215_ori    270.889996 -29.530000 59301.314069 r      1.25 DECaPS-East   50.0 DECaPSEast-DDF-A          DECaPS-East          GAL      91.06   0.995          0 
c4d_220113_015114_ori      7.874596 -43.009600 59592.077251 r      1.54 ELAIS-E1      86.0 ELAIS-DDF-SEQ-A           ELAIS                EGAL     77.78   0.799          0 
c4d_211014_084520_ori    116.320004 -26.250000 59501.364819 g      1.15 DECaPS-West   96.0 DECaPSWest-DDF-B          DECaPS-West          GAL     129.62   0.635          0 
c4d_210530_065105_ori    270.889996 -29.530000 59364.285480 g      1.01 DECaPS-East   96.0 DECaPSEast-DDF-A          DECaPS-East          GAL      30.88   0.804       6779 
c4d_211219_052009_ori    116.320004 -26.250000 59567.222336 r      1.05 DECaPS-West   50.0 DECaPSWest-DDF-A          DECaPS-West          GAL      59.76   1.000       2817 
c4d_210429_005821_ori    150.780000   1.750000 59333.040531 r      1.19 COSMOS-3      86.0 COSMOS-DDF-SEQ-A          COSMOS               EGAL     94.22   0.946          0 
c4d_210527_081711_ori    270.889996 -29.530000 59361.345271 i      1.09 DECaPS-East   30.0 DECaPSEast-DDF-A          DECaPS-East          GAL      14.07   0.988       9422 
c4d_210926_082947_ori    116.320004 -26.250000 59483.354027 z      1.49 DECaPS-West   30.0 DECaPSWest-DDF-B          DECaPS-West          GAL      71.45   0.748          0 
c4d_211210_074850_ori    116.320004 -26.250000 59558.325581 i      1.01 DECaPS-West   30.0 DECaPSWest-DDF-B          DECaPS-West          GAL     120.96   0.424          0 
c4d_210524_070008_ori    270.889996 -29.530000 59358.291769 r      1.00 DECaPS-East   50.0 DECaPSEast-DDF-A          DECaPS-East          GAL      60.16   0.929          0 
c4d_210412_002918_ori    150.780000   1.750000 59316.020349 r      1.21 COSMOS-3      86.0 COSMOS-DDF-SEQ-C          COSMOS               EGAL    130.09   0.001          0 
c4d_220118_074055_ori    149.220000   1.750000 59597.320091 g      1.21 COSMOS-2      60.0 COSMOS-DDF-SEQ-A          COSMOS               EGAL     33.31   0.997       5326 
c4d_211222_054126_ori    116.320004 -26.250000 59570.237114 z      1.02 DECaPS-West   30.0 DECaPSWest-DDF-A          DECaPS-West          GAL      51.93   0.917       2192 
c4d_210530_100610_ori      7.874596 -43.009600 59364.420952 g      1.20 ELAIS-E1      60.0 ELAIS-DDF-SEQ-A           ELAIS                EGAL     53.87   0.792       2317 
c4d_210518_072704_ori    270.889996 -29.530000 59352.310463 i      1.00 DECaPS-East   30.0 DECaPSEast-DDF-B          DECaPS-East          GAL     141.94   0.349          0 
c4d_211023_031507_ori      7.874596 -43.009600 59510.135501 i      1.03 ELAIS-E1     130.0 ELAIS-DDF-SEQ-A           ELAIS                EGAL     76.70   0.943          0 
c4d_210425_012324_ori    150.000000   3.100000 59329.057921 r      1.23 COSMOS-1      86.0 COSMOS-DDF-SEQ-A          COSMOS               EGAL     37.13   0.934       3727 
c4d_210917_001742_ori    270.889996 -29.530000 59474.012295 g      1.04 DECaPS-East   96.0 DECaPSEast-DDF-A          DECaPS-East          GAL      34.22   0.826       3715 
c4d_220116_055534_ori    116.320004 -26.250000 59595.246926 g      1.04 DECaPS-West   96.0 DECaPSWest-DDF-A          DECaPS-West          GAL      56.48   0.972       3498 
c4d_210923_004515_ori    270.889996 -29.530000 59480.031426 i      1.12 DECaPS-East   30.0 DECaPSEast-DDF-B          DECaPS-East          GAL     113.20   0.957          0 
c4d_210512_084336_ori    270.889996 -29.530000 59346.363618 g      1.04 DECaPS-East   96.0 DECaPSEast-DDF-B          DECaPS-East          GAL     146.92   0.003          0 
c4d_210421_012326_ori    150.000000   3.100000 59325.057946 i      1.21 COSMOS-1     130.0 COSMOS-DDF-SEQ-A          COSMOS               EGAL     25.47   0.580       6126 
c4d_210512_021312_ori    149.220000   1.750000 59346.092503 g      1.62 COSMOS-2      60.0 COSMOS-DDF-SEQ-A          COSMOS               EGAL     96.30   0.001          0 
c4d_211029_081139_ori    116.320004 -26.250000 59516.341429 r      1.09 DECaPS-West   50.0 DECaPSWest-DDF-A          DECaPS-West          GAL      52.56   0.451       2257 
c4d_210418_014255_ori    149.220000   1.750000 59322.071476 r      1.20 COSMOS-2      86.0 COSMOS-DDF-SEQ-A          COSMOS               EGAL     59.68   0.289       1994 
c4d_211119_044336_ori      7.874596 -43.009600 59537.196947 r      1.34 ELAIS-E1      86.0 ELAIS-DDF-SEQ-A           ELAIS                EGAL     74.43   1.000          0 
c4d_211216_053217_ori    116.320004 -26.250000 59564.230764 i      1.05 DECaPS-West   30.0 DECaPSWest-DDF-A          DECaPS-West          GAL      78.62   0.925          0 
c4d_210923_000327_ori    270.889996 -29.530000 59480.002405 z      1.05 DECaPS-East   30.0 DECaPSEast-DDF-B          DECaPS-East          GAL     112.85   0.958          0 
c4d_211222_053508_ori    116.320004 -26.250000 59570.232733 i      1.02 DECaPS-West   30.0 DECaPSWest-DDF-A          DECaPS-West          GAL      51.93   0.917       2115 
c4d_211029_044142_ori      7.874596 -43.009600 59516.195627 g      1.12 ELAIS-E1      60.0 ELAIS-DDF-SEQ-A           ELAIS                EGAL    131.83   0.466          0 
c4d_211231_062054_ori    116.320004 -26.250000 59579.264516 z      1.01 DECaPS-West   30.0 DECaPSWest-DDF-B          DECaPS-West          GAL     110.16   0.092          0 
c4d_220103_052342_ori    116.320004 -26.250000 59582.224796 z      1.00 DECaPS-West   30.0 DECaPSWest-DDF-A          DECaPS-West          GAL     128.41   0.004          0 
c4d_211025_083054_ori    116.320004 -26.250000 59512.354799 z      1.09 DECaPS-West   30.0 DECaPSWest-DDF-B          DECaPS-West          GAL      61.44   0.810          0 
c4d_211224_054250_ori    116.320004 -26.250000 59572.238088 z      1.01 DECaPS-West   30.0 DECaPSWest-DDF-B          DECaPS-West          GAL      56.42   0.780       2152 
c4d_211017_032116_ori      9.499996 -43.998000 59504.139772 i      1.03 ELAIS-E2     130.0 ELAIS-DDF-SEQ-B           ELAIS                EGAL     38.65   0.880       4194 
c4d_210923_001832_ori    270.889996 -29.530000 59480.012880 i      1.07 DECaPS-East   30.0 DECaPSEast-DDF-A          DECaPS-East          GAL     112.98   0.958          0 
c4d_210522_093911_ori      7.874596 -43.009600 59356.402212 i      1.40 ELAIS-E1     130.0 ELAIS-DDF-SEQ-A           ELAIS                EGAL    140.05   0.774          0 
