# Matched DECam DDF candidates to the Legacy Survey DR10. 
# Melissa Graham, October 2023 
# Legacy Surveys: https://datalab.noirlab.edu/ls/ls.php 
# For more info on DR10 columns, units, etc: 
#  - https://datalab.noirlab.edu/query.php?name=ls_dr10.tractor 
#  - https://www.legacysurvey.org/dr10/catalogs/ 
# 
# Columns 
#  0 : DECam DDF candidate identifier (string) 
#  1 : DECam DDF candidate Right Ascension (deg; float) 
#  2 : DECam DDF candidate Declination (deg; float) 
#  3 : Number of DR10 sources within 0.02 deg radius (72") to attempt match (int) 
#  4 : Flag: 1 if matched to a star; 0 if matched to a galaxy; -1 if unmatched (int) 
#  5 : Flag: 1 if matched to the core of the galaxy; 0 otherwise (int) 
#  6 : Flag: 1 if a star AND galaxy met constraints; 0 if one or the other; -1 if unmatched (int) 
#  7 : Separation between candidate and matched DR10 object (arcsec; float) 
#  8 : Matched LS DR10 object Right Ascension (deg; float) 
#  9 : Matched LS DR10 object Declination (deg; float) 
# 10 : Matched LS DR10 object MW E(B-V) value (mag; float) 
# 11 : Matched LS DR10 object ls_id identifier (unique; long integer) 
# 12 : Matched LS DR10 object g-band apparent magnitude (mag; float) 
# 13 : Matched LS DR10 object r-band apparent magnitude (mag; float) 
# 14 : Matched LS DR10 object i-band apparent magnitude (mag; float) 
# 15 : Matched LS DR10 object type (str) 
# 16 : Matched LS DR10 object sersic index (float) 
# 17 : Matched LS DR10 object shape e1 (float) 
# 18 : Matched LS DR10 object shape e2 (float) 
# 19 : Matched LS DR10 object shape r (half-light radius; float) 
# 20 : Matched LS DR10 object g-band psf size (arcsec; float) 
# 21 : Matched LS DR10 object r-band psf size (arcsec; float) 
# 22 : Matched LS DR10 object i-band psf size (arcsec; float) 
# 23 : Matched LS DR9 object photoz mean (float) 
# 24 : Matched LS DR9 object photoz std (float) 
# 25 : Matched LS DR9 object specz (float) 
# 
DC21bacz   149.810148943367   1.307548237822   609  0  1  0   0.1 149.810169   1.307575   0.023    10995470871564787  19.208  17.856  17.405   SER   5.36   0.177260   0.069907   2.415036   1.165890   1.203900   1.292955    0.2332    0.0081  -99.0000 
DC21bada   149.809830681731   1.270997772806   494  0  1  1   0.1 149.809828   1.270967   0.024    10995470871564755  20.478  19.593  19.225   SER   3.16  -0.032736  -0.052232   0.964445   1.166890   1.246805   1.252403    0.1305    0.0444  -99.0000 
DC21badb   149.757866928507   1.273889374718   397  0  1  0   0.2 149.757833   1.273850   0.024    10995470871561005  19.606  18.718  18.354   SER   2.05  -0.068020   0.391662   1.344623   1.169515   1.238776   1.253683    0.1026    0.0170  -99.0000 
DC21bade   149.736971799864   1.283790048858   401  1  0  0   0.2 149.736905   1.283773   0.024    10995470870524589  21.471  20.344  19.920   PSF   0.00   0.000000   0.000000   0.000000   1.063424   1.253684   1.255870  -99.0000  -99.0000  -99.0000 
DC21bads   149.929017376335   1.657502840174   449  1  0  1   0.3 149.929064   1.657422   0.018    10995473891472427  21.440  19.933  18.447   PSF   0.00   0.000000   0.000000   0.000000   1.287392   1.171727   1.278659  -99.0000  -99.0000  -99.0000 
DC21badz   149.212498424980   2.845890966798   380  1  0  1   0.4 149.212598   2.845876   0.024    10995479928122729  21.052  19.786  19.336   PSF   0.00   0.000000   0.000000   0.000000   1.382791   1.228203   1.233717  -99.0000  -99.0000  -99.0000 
DC21bae    150.105272423341   1.980964288073   419  0  1  1   0.3 150.105211   1.980909   0.018    10995475402464173  22.329  23.858  22.102   EXP   1.00  -0.734921  -0.267522   0.745634   1.270668   1.247507   1.251936    0.6704    0.3436  -99.0000 
DC21baec   149.207814272788   2.819383179939   390  1  0  0   0.3 149.207907   2.819401   0.023    10995479928122402  21.377  19.961  18.615   PSF   0.00   0.000000   0.000000   0.000000   1.332890   1.211222   1.231891  -99.0000  -99.0000  -99.0000 
DC21baej   149.129320599776   2.856130133910   367  0  1  0   0.1 149.129351   2.856103   0.026    10995479928117596  21.404  19.704  19.132   SER   6.00  -0.027402  -0.017528   0.562340   1.388748   1.235359   1.248211    0.3558    0.0232  -99.0000 
DC21baet   149.094235494255   2.783437666396   267  1  0  1   0.1 149.094261   2.783457   0.026    10995479928115661  21.571  20.764  20.579   PSF   0.00   0.000000   0.000000   0.000000   1.324494   1.245187   1.199399  -99.0000  -99.0000  -99.0000 
DC21bafn   149.371864240754   1.211789364583   328  1  0  0   0.3 149.371773   1.211787   0.020    10995470869469725  18.862  18.348  18.217   PSF   0.00   0.000000   0.000000   0.000000   1.505374   1.233061   1.335603  -99.0000  -99.0000  -99.0000 
DC21bafq   149.833049640324   1.016273130787   273  1  0  0   0.3 149.833142   1.016296   0.025    10995469361615307  18.230  17.385  17.164   PSF   0.00   0.000000   0.000000   0.000000   1.317759   1.250671   1.494349  -99.0000  -99.0000  -99.0000 
DC21bafu   149.831796488436   2.439566950902   453  1  0  0   0.2 149.831756   2.439537   0.019    10995478421313208  19.371  18.723  18.483   PSF   0.00   0.000000   0.000000   0.000000   1.358944   1.227616   1.167684  -99.0000  -99.0000  -99.0000 
DC21bajg   151.345536136318   2.086667385076   249  1  0  0   0.2 151.345559   2.086625   0.034    10995475407705342  20.153  19.661  19.567   PSF   0.00   0.000000   0.000000   0.000000   1.299249   1.310607   1.121833  -99.0000  -99.0000  -99.0000 
DC21bamg   148.438417669207   1.714289450567   330  1  0  0   0.5 148.438437   1.714425   0.025    10995473885178347  19.832  19.745  19.551   PSF   0.00   0.000000   0.000000   0.000000   1.258669   1.261628   1.348354  -99.0000  -99.0000  -99.0000 
DC21banc   148.856098299747   1.017316463257   462  1  0  1   0.0 148.856109   1.017308   0.026    10995469357421931  20.678  19.495  19.090   PSF   0.00   0.000000   0.000000   0.000000   1.423986   1.258152   1.371443  -99.0000  -99.0000  -99.0000 
DC21baou   148.530773360371   1.931232339384   390  1  0  1   0.2 148.530810   1.931178   0.035    10995475396167551  21.293  19.786  18.702   PSF   0.00   0.000000   0.000000   0.000000   1.272074   1.232022   1.258238  -99.0000  -99.0000  -99.0000 
DC21bap    149.867774162301   1.660440463124   421  1  0  1   0.2 149.867718   1.660452   0.020    10995473891468167  19.192  17.822  17.050   PSF   0.00   0.000000   0.000000   0.000000   1.287392   1.172183   1.241829  -99.0000  -99.0000  -99.0000 
DC21bapn   149.005378259287   2.223944477721   353  1  0  0   0.3 149.005450   2.223911   0.020    10995476908212893  21.139  19.569  17.869   PSF   0.00   0.000000   0.000000   0.000000   1.366897   1.169668   1.309672  -99.0000  -99.0000  -99.0000 
DC21baqp   150.928433935579   1.726304502787   366  1  0  0   0.7 150.928269   1.726228   0.023    10995473895666029  20.368  18.948  18.137   PSF   0.00   0.000000   0.000000   0.000000   1.221572   1.098308   1.272461  -99.0000  -99.0000  -99.0000 
DC21basf   150.649236210973   1.263079670596   310  1  0  0   0.3 150.649235   1.263153   0.026    10995470874716726  19.808  19.193  19.005   PSF   0.00   0.000000   0.000000   0.000000   1.326494   1.303685   1.257505  -99.0000  -99.0000  -99.0000 
DC21baw    151.286108164504   2.471954337253   372  1  0  1   0.5 151.286215   2.472058   0.031    10995478427600971  18.890  18.588  18.521   PSF   0.00   0.000000   0.000000   0.000000   1.338740   1.255656   1.223759  -99.0000  -99.0000  -99.0000 
DC21baym   151.577190969608   1.590925877059   257  1  0  0   0.1 151.577166   1.590902   0.032    10995472388853760  18.899  17.736  17.343   PSF   0.00   0.000000   0.000000   0.000000   1.476518   1.351201   1.307262  -99.0000  -99.0000  -99.0000 
DC21baz    149.183375332573   2.533425750814   530  1  0  0   0.2 149.183402   2.533381   0.021    10995478418174191  20.621  20.203  20.083   PSF   0.00   0.000000   0.000000   0.000000   1.438416   1.126383   1.191270  -99.0000  -99.0000  -99.0000 
DC21bbao   149.094075244328   3.168810364276   360  1  0  1   0.9 149.094181   3.168592   0.027    10995482946972175  18.941  18.587  18.498   PSF   0.00   0.000000   0.000000   0.000000   1.345005   1.237684   1.145503  -99.0000  -99.0000  -99.0000 
DC21bbc    150.087518978717   2.097034409498   355  1  0  0   0.4 150.087533   2.097151   0.018    10995475402462984  18.701  18.191  18.010   PSF   0.00   0.000000   0.000000   0.000000   1.270998   1.304750   1.179121  -99.0000  -99.0000  -99.0000 
DC21bbfh   148.908053988067   2.260494015990   310  1  0  0   0.1 148.908048   2.260460   0.029    10995476907172447  20.732  19.361  18.737   PSF   0.00   0.000000   0.000000   0.000000   1.436451   1.131772   1.252979  -99.0000  -99.0000  -99.0000 
DC21bbfs   150.434840704381   3.704246875796   382  0  1  0   0.3 150.434777   3.704208   0.024    10995485967923588  18.949  17.954  17.541   SER   2.60   0.152799   0.131148   1.511611   1.244948   1.207995   1.080296    0.1515    0.0206  -99.0000 
DC21bbgj   149.844115391608   3.393902727039   434  1  0  0   0.2 149.844083   3.393862   0.022    10995484457969911  20.516  19.194  18.520   PSF   0.00   0.000000   0.000000   0.000000   1.148710   1.193379   1.087845  -99.0000  -99.0000  -99.0000 
DC21bbh    148.818463162892   1.015673530304   329  1  0  0   0.1 148.818426   1.015689   0.026    10995469357419936  20.001  18.771  18.268   PSF   0.00   0.000000   0.000000   0.000000   1.423672   1.258012   1.371443  -99.0000  -99.0000  -99.0000 
DC21bbir   150.008678262556   3.080442380890   461  0  1  0   0.5 150.008576   3.080540   0.026    10995481442255834  19.530  18.166  17.684   SER   2.16   0.305272   0.142789   1.974796   1.425725   1.284237   1.053470    0.2249    0.0118  -99.0000 
DC21bbj    149.823923436435   2.523063009048   355  0  1  0   0.0 149.823933   2.523067   0.019    10995478421312735  19.608  18.370  17.916   SER   1.99  -0.200380  -0.311958   1.325289   1.325213   1.171346   1.089774    0.2113    0.0106  -99.0000 
DC21bbme   150.372983284646   3.301997445722   393  1  0  1   0.1 150.372997   3.302012   0.021    10995482952214620  21.323  19.827  18.742   PSF   0.00   0.000000   0.000000   0.000000   1.278754   1.141119   1.091337  -99.0000  -99.0000  -99.0000 
DC21bbmk   149.019774858680   2.723240076041   307  1  0  0   0.4 149.019691   2.723167   0.027    10995479928112171  20.562  19.169  17.986   PSF   0.00   0.000000   0.000000   0.000000   1.573308   1.283513   1.215280  -99.0000  -99.0000  -99.0000 
DC21bbms   149.743591365897   2.906887489101   423  0  1  0   0.1 149.743573   2.906881   0.021    10995481440173289  21.076  19.670  19.239   REX   1.00   0.000000   0.000000   0.307944   1.421355   1.277396   1.088772    0.3710    0.0365  -99.0000 
DC21bbn    149.379242142368   1.930316498746   424  1  0  0   0.4 149.379286   1.930212   0.021    10995475399322034  18.420  17.502  17.200   PSF   0.00   0.000000   0.000000   0.000000   1.270835   1.287142   1.385782  -99.0000  -99.0000  -99.0000 
DC21bbnh   151.730152695192   1.620067331550   487  1  0  1   0.2 151.730109   1.620047   0.034    10995472388861751  19.954  19.062  18.755   PSF   0.00   0.000000   0.000000   0.000000   1.296919   1.194531   1.196176  -99.0000  -99.0000  -99.0000 
DC21bbnr   149.742225298475   2.912804553792   436  1  0  1   0.1 149.742216   2.912838   0.021    10995481440173206  20.912  20.463  20.340   PSF   0.00   0.000000   0.000000   0.000000   1.421355   1.284131   1.088772  -99.0000  -99.0000  -99.0000 
DC21bbqw   148.783417246116   1.019299569970   338  1  0  1   0.1 148.783402   1.019329   0.025    10995469357418143  20.057  19.665  19.559   PSF   0.00   0.000000   0.000000   0.000000   1.423672   1.258012   1.371443  -99.0000  -99.0000  -99.0000 
DC21bbrt   148.973405177811   2.282143924235   356  1  0  0   0.6 148.973518   2.282020   0.023    10995476907175984  20.791  19.310  18.464   PSF   0.00   0.000000   0.000000   0.000000   1.449957   1.262878   1.308707  -99.0000  -99.0000  -99.0000 
DC21bbrx   149.642401063645   2.253373178129   492  1  0  1   2.0 149.642033   2.253793   0.019    10995476910320302  18.936  17.573  16.716   PSF   0.00   0.000000   0.000000   0.000000   1.432255   1.229684   1.272396  -99.0000  -99.0000  -99.0000 
