# Matched DECam DDF candidates to the Legacy Survey DR10. 
# Melissa Graham, October 2023 
# Legacy Surveys: https://datalab.noirlab.edu/ls/ls.php 
# For more info on DR10 columns, units, etc: 
#  - https://datalab.noirlab.edu/query.php?name=ls_dr10.tractor 
#  - https://www.legacysurvey.org/dr10/catalogs/ 
# 
# Columns 
#  0 : DECam DDF candidate identifier (string) 
#  1 : DECam DDF candidate Right Ascension (deg; float) 
#  2 : DECam DDF candidate Declination (deg; float) 
#  3 : Number of DR10 sources within 0.02 deg radius (72") to attempt match (int) 
#  4 : Flag: 1 if matched to a star; 0 if matched to a galaxy; -1 if unmatched (int) 
#  5 : Flag: 1 if matched to the core of the galaxy; 0 otherwise (int) 
#  6 : Flag: 1 if a star AND galaxy met constraints; 0 if one or the other; -1 if unmatched (int) 
#  7 : Separation between candidate and matched DR10 object (arcsec; float) 
#  8 : Matched LS DR10 object Right Ascension (deg; float) 
#  9 : Matched LS DR10 object Declination (deg; float) 
# 10 : Matched LS DR10 object MW E(B-V) value (mag; float) 
# 11 : Matched LS DR10 object ls_id identifier (unique; long integer) 
# 12 : Matched LS DR10 object g-band apparent magnitude (mag; float) 
# 13 : Matched LS DR10 object r-band apparent magnitude (mag; float) 
# 14 : Matched LS DR10 object i-band apparent magnitude (mag; float) 
# 15 : Matched LS DR10 object type (str) 
# 16 : Matched LS DR10 object sersic index (float) 
# 17 : Matched LS DR10 object shape e1 (float) 
# 18 : Matched LS DR10 object shape e2 (float) 
# 19 : Matched LS DR10 object shape r (half-light radius; float) 
# 20 : Matched LS DR10 object g-band psf size (arcsec; float) 
# 21 : Matched LS DR10 object r-band psf size (arcsec; float) 
# 22 : Matched LS DR10 object i-band psf size (arcsec; float) 
# 23 : Matched LS DR9 object photoz mean (float) 
# 24 : Matched LS DR9 object photoz std (float) 
# 25 : Matched LS DR9 object specz (float) 
# 
DC21bdqm   149.090595889471   3.413604979936   464  1  0  1   0.3 149.090616   3.413680   0.025    10995484454823634  21.666  20.221  19.053   PSF   0.00   0.000000   0.000000   0.000000   1.065960   1.296423   1.076130  -99.0000  -99.0000  -99.0000 
DC21bdz    149.389667112473   2.690240840257   478  1  0  0   0.3 149.389721   2.690305   0.019    10995479929169487  21.134  19.734  18.410   PSF   0.00   0.000000   0.000000   0.000000   1.345210   1.198400   1.231390  -99.0000  -99.0000  -99.0000 
DC21bef    149.604561316854   2.265671536417   477  1  0  1   0.1 149.604539   2.265638   0.019    10995476910317350  19.593  19.386  19.359   PSF   0.00   0.000000   0.000000   0.000000   1.353252   1.175075   1.262248  -99.0000  -99.0000  -99.0000 
DC21bepb   149.657191803091   2.094657472068   477  1  0  1   0.6 149.657197   2.094820   0.019    10995475400372926  21.927  20.466  19.171   PSF   0.00   0.000000   0.000000   0.000000   1.266835   1.304718   1.268711  -99.0000  -99.0000  -99.0000 
DC21bepm   151.007801502194   1.561050307432   322  1  0  0   0.6 151.007888   1.560911   0.029    10995472386753066  19.999  18.836  18.387   PSF   0.00   0.000000   0.000000   0.000000   1.212174   1.123995   1.203156  -99.0000  -99.0000  -99.0000 
DC21bfcy   148.243790899801   1.773107012927   348  1  0  0   0.4 148.243692   1.773070   0.035    10995473884129641  21.204  19.795  19.071   PSF   0.00   0.000000   0.000000   0.000000   1.252747   1.166046   1.272002  -99.0000  -99.0000  -99.0000 
DC21bfnl   150.175671934742   1.537750290384   445  1  0  1   0.3 150.175595   1.537768   0.019    10995472382570902  20.370  18.969  17.851   PSF   0.00   0.000000   0.000000   0.000000   1.160338   1.123544   1.358532  -99.0000  -99.0000  -99.0000 
DC21bgbc   150.452059769872   3.152908478552   398  1  0  1   0.5 150.452163   3.153002   0.022    10995482952220125  20.828  19.772  19.416   PSF   0.00   0.000000   0.000000   0.000000   1.392445   1.245325   1.104394  -99.0000  -99.0000  -99.0000 
DC21bgbq   150.448335754944   3.150848180810   385  0  1  0   0.0 150.448343   3.150859   0.022    10995482952219847  20.340  19.150  18.715   SER   6.00  -0.059805   0.196372   0.769050   1.426444   1.245325   1.096978    0.1935    0.0207  -99.0000 
DC21bgit   148.359889811271   1.408840258945   278  1  0  1   0.6 148.359998   1.408960   0.027    10995472375223498  21.929  20.480  19.037   PSF   0.00   0.000000   0.000000   0.000000   1.472438   1.336299   1.380688  -99.0000  -99.0000  -99.0000 
