# Matched DECam DDF candidates to the Legacy Survey DR10. 
# Melissa Graham, October 2023 
# Legacy Surveys: https://datalab.noirlab.edu/ls/ls.php 
# For more info on DR10 columns, units, etc: 
#  - https://datalab.noirlab.edu/query.php?name=ls_dr10.tractor 
#  - https://www.legacysurvey.org/dr10/catalogs/ 
# 
# Columns 
#  0 : DECam DDF candidate identifier (string) 
#  1 : DECam DDF candidate Right Ascension (deg; float) 
#  2 : DECam DDF candidate Declination (deg; float) 
#  3 : Number of DR10 sources within 0.02 deg radius (72") to attempt match (int) 
#  4 : Flag: 1 if matched to a star; 0 if matched to a galaxy; -1 if unmatched (int) 
#  5 : Flag: 1 if matched to the core of the galaxy; 0 otherwise (int) 
#  6 : Flag: 1 if a star AND galaxy met constraints; 0 if one or the other; -1 if unmatched (int) 
#  7 : Separation between candidate and matched DR10 object (arcsec; float) 
#  8 : Matched LS DR10 object Right Ascension (deg; float) 
#  9 : Matched LS DR10 object Declination (deg; float) 
# 10 : Matched LS DR10 object MW E(B-V) value (mag; float) 
# 11 : Matched LS DR10 object ls_id identifier (unique; long integer) 
# 12 : Matched LS DR10 object g-band apparent magnitude (mag; float) 
# 13 : Matched LS DR10 object r-band apparent magnitude (mag; float) 
# 14 : Matched LS DR10 object i-band apparent magnitude (mag; float) 
# 15 : Matched LS DR10 object type (str) 
# 16 : Matched LS DR10 object sersic index (float) 
# 17 : Matched LS DR10 object shape e1 (float) 
# 18 : Matched LS DR10 object shape e2 (float) 
# 19 : Matched LS DR10 object shape r (half-light radius; float) 
# 20 : Matched LS DR10 object g-band psf size (arcsec; float) 
# 21 : Matched LS DR10 object r-band psf size (arcsec; float) 
# 22 : Matched LS DR10 object i-band psf size (arcsec; float) 
# 23 : Matched LS DR9 object photoz mean (float) 
# 24 : Matched LS DR9 object photoz std (float) 
# 25 : Matched LS DR9 object specz (float) 
# 
DC21baec   149.207814272788   2.819383179939   390  1  0  0   0.3 149.207907   2.819401   0.023    10995479928122402  21.377  19.961  18.615   PSF   0.00   0.000000   0.000000   0.000000   1.332890   1.211222   1.231891  -99.0000  -99.0000  -99.0000 
DC21baef   149.177948890478   2.828269370936   348  0  1  0   0.5 149.178046   2.828363   0.024    10995479928120406  20.645  19.898  19.383   SER   0.79   0.009928   0.386953   0.713618   1.388748   1.235359   1.223391    0.2206    0.0346  -99.0000 
DC21baf    151.190513585538   2.710319831927   365  1  0  0   0.5 151.190565   2.710441   0.029    10995479936509847  16.891  16.316  16.155   PSF   0.00   0.000000   0.000000   0.000000   1.319256   1.306117   1.235290  -99.0000  -99.0000  -99.0000 
DC21bafb   149.745093741314   1.685105177503   443  1  0  1   0.7 149.744927   1.685228   0.022    10995473890428535  18.695  18.388  18.311   PSF   0.00   0.000000   0.000000   0.000000   1.361759   1.183639   1.311562  -99.0000  -99.0000  -99.0000 
DC21bafu   149.831796488436   2.439566950902   453  1  0  0   0.2 149.831756   2.439537   0.019    10995478421313208  19.371  18.723  18.483   PSF   0.00   0.000000   0.000000   0.000000   1.358944   1.227616   1.167684  -99.0000  -99.0000  -99.0000 
DC21bag    150.857396346775   1.841237554865   489  1  0  1   1.1 150.857130   1.841107   0.022    10995473895661001  18.225  17.200  16.869   PSF   0.00   0.000000   0.000000   0.000000   1.280245   1.214723   1.303761  -99.0000  -99.0000  -99.0000 
DC21bagh   149.001136770300   1.389633569094   328  1  0  0   0.5 149.001051   1.389740   0.024    10995472378364085  19.565  19.246  19.151   PSF   0.00   0.000000   0.000000   0.000000   1.300874   1.117806   1.304429  -99.0000  -99.0000  -99.0000 
DC21bagm   149.821244706584   2.124109012870   525  1  0  1   0.2 149.821294   2.124084   0.021    10995475401414813  19.405  18.003  17.036   PSF   0.00   0.000000   0.000000   0.000000   1.331011   1.254189   1.263616  -99.0000  -99.0000  -99.0000 
DC21baii   149.890639809146   1.456547964632   420  1  0  1   1.3 149.890661   1.456897   0.020    10995472381520953  17.119  16.733  16.572   PSF   0.00   0.000000   0.000000   0.000000   1.311934   1.166588   1.270655  -99.0000  -99.0000  -99.0000 
DC21bain   150.134509213682   1.721520528025   319  1  0  1   1.4 150.134838   1.721734   0.018    10995473892517201  18.220  17.236  16.972   PSF   0.00   0.000000   0.000000   0.000000   1.288702   1.175356   1.257726  -99.0000  -99.0000  -99.0000 
DC21baj    149.758188968188   1.079938386838   300  1  0  0   0.5 149.758283   1.079829   0.025    10995469361611333  19.541  18.259  17.746   PSF   0.00   0.000000   0.000000   0.000000   1.318584   1.210864   1.394565  -99.0000  -99.0000  -99.0000 
DC21baje   150.915187864582   1.226495275148   319  1  0  0   0.2 150.915244   1.226458   0.026    10995470875763573  18.796  18.484  18.407   PSF   0.00   0.000000   0.000000   0.000000   1.286154   1.120624   1.182727  -99.0000  -99.0000  -99.0000 
DC21bajf   150.413438673629   0.987431861849   285  1  0  1   0.1 150.413399   0.987442   0.023    10995469363716130  20.040  18.847  18.319   PSF   0.00   0.000000   0.000000   0.000000   1.246386   1.045850   1.272051  -99.0000  -99.0000  -99.0000 
DC21bajy   150.871194875855   1.820349954276   526  1  0  0   0.2 150.871239   1.820336   0.022    10995473895662029  18.896  18.611  18.536   PSF   0.00   0.000000   0.000000   0.000000   1.288917   1.188191   1.295233  -99.0000  -99.0000  -99.0000 
DC21baka   150.504499795406   1.535445521371   468  1  0  1   0.8 150.504356   1.535617   0.022    10995472384655933  18.057  17.084  16.770   PSF   0.00   0.000000   0.000000   0.000000   1.139784   1.079834   1.265391  -99.0000  -99.0000  -99.0000 
DC21bal    150.125086637256   1.557247582003   411  1  0  1   1.0 150.124953   1.557486   0.019    10995472382567261  17.240  16.453  16.162   PSF   0.00   0.000000   0.000000   0.000000   1.233544   1.085542   1.363649  -99.0000  -99.0000  -99.0000 
DC21balb   150.626877543753   2.030106248497   394  1  0  1   1.0 150.626933   2.030389   0.018    10995475404564128  17.400  16.835  16.630   PSF   0.00   0.000000   0.000000   0.000000   1.315045   1.148876   1.326818  -99.0000  -99.0000  -99.0000 
DC21balq   148.885314220972   1.029361652905   351  1  0  0   0.6 148.885268   1.029210   0.026    10995469357423625  18.765  17.671  17.281   PSF   0.00   0.000000   0.000000   0.000000   1.421659   1.257338   1.371443  -99.0000  -99.0000  -99.0000 
DC21balx   150.082217422932   1.437084013897   361  0  0  0   2.7 150.082586   1.436438   0.020    10995472382564604  17.707  17.070  16.777   SER   0.71   0.125575  -0.283454   2.213355   1.214000   1.163507   1.315335    0.0675    0.0173    0.0826 
DC21bam    150.737166941918   2.463936418366   522  1  0  1   0.8 150.737141   2.463708   0.021    10995478424471299  18.558  17.311  16.841   PSF   0.00   0.000000   0.000000   0.000000   1.341589   1.210551   1.211305  -99.0000  -99.0000  -99.0000 
DC21bamf   150.078526678266   1.322467418045   332  1  0  1   0.8 150.078455   1.322669   0.020    10995470872613502  21.450  20.044  18.955   PSF   0.00   0.000000   0.000000   0.000000   1.158323   1.235729   1.191660  -99.0000  -99.0000  -99.0000 
DC21baml   149.369156859676   1.766543338204   184 -1  0 -1 -99.0 -99.000000 -99.000000 -99.000                  -99 -99.000 -99.000 -99.000   xxx -99.00 -99.000000 -99.000000 -99.000000 -99.000000 -99.000000 -99.000000  -99.0000  -99.0000  -99.0000 
DC21bamt   149.195901971279   1.482310049073   424  1  0  0   0.7 149.196045   1.482170   0.022    10995472378374786  22.099  20.540  19.000   PSF   0.00   0.000000   0.000000   0.000000   1.312971   1.219935   1.302795  -99.0000  -99.0000  -99.0000 
DC21bane   148.563929492533   1.936764746867   280  0  1  0   0.2 148.563887   1.936731   0.034    10995475396169188  18.644  17.705  17.311   SER   2.94   0.052982  -0.070846   0.957519   1.302137   1.217821   1.273351    0.0949    0.0099    0.1000 
DC21bant   149.201337648960   2.097175802613   604  1  0  1   0.9 149.201374   2.096942   0.021    10995475398277945  20.776  19.308  18.159   PSF   0.00   0.000000   0.000000   0.000000   1.328463   1.251917   1.344095  -99.0000  -99.0000  -99.0000 
DC21banx   149.890085753098   1.562569104617   389  1  0  1   0.5 149.890014   1.562685   0.020    10995472381520894  20.704  19.283  18.060   PSF   0.00   0.000000   0.000000   0.000000   1.257753   1.223720   1.287422  -99.0000  -99.0000  -99.0000 
DC21bao    149.920577856264   1.799097386128   414  1  0  1   0.8 149.920720   1.799278   0.021    10995473891471818  16.916  16.097  15.841   PSF   0.00   0.000000   0.000000   0.000000   1.337139   1.288984   1.347412  -99.0000  -99.0000  -99.0000 
DC21baob   149.290682461531   1.892275255870   502  1  0  1   0.3 149.290754   1.892285   0.021    10995475399315344  16.438  16.034  15.943   PSF   0.00   0.000000   0.000000   0.000000   1.211677   1.228049   1.384402  -99.0000  -99.0000  -99.0000 
DC21bap    149.867774162301   1.660440463124   421  1  0  1   0.2 149.867718   1.660452   0.020    10995473891468167  19.192  17.822  17.050   PSF   0.00   0.000000   0.000000   0.000000   1.287392   1.172183   1.241829  -99.0000  -99.0000  -99.0000 
DC21bapn   149.005378259287   2.223944477721   353  1  0  0   0.3 149.005450   2.223911   0.020    10995476908212893  21.139  19.569  17.869   PSF   0.00   0.000000   0.000000   0.000000   1.366897   1.169668   1.309672  -99.0000  -99.0000  -99.0000 
DC21bapp   149.028250132827   2.001144812632   512  1  0  0   0.8 149.028375   2.001341   0.019    10995475398264711  19.100  17.701  16.855   PSF   0.00   0.000000   0.000000   0.000000   1.308621   1.241640   1.280982  -99.0000  -99.0000  -99.0000 
DC21bapq   148.209117457535   1.647512497905   418  1  0  1   0.6 148.209154   1.647341   0.034    10995473884127724  20.062  18.591  17.661   PSF   0.00   0.000000   0.000000   0.000000   1.280214   1.248204   1.268159  -99.0000  -99.0000  -99.0000 
DC21baq    150.600289575099   1.318790310734   466  1  0  1   1.1 150.600477   1.318545   0.026    10995470874713624  18.668  17.215  16.430   PSF   0.00   0.000000   0.000000   0.000000   1.190110   1.260120   1.278688  -99.0000  -99.0000  -99.0000 
DC21bar    151.222133444957   2.039597352806   397  1  0  0   0.5 151.222226   2.039499   0.033    10995475406668147  18.804  17.518  17.027   PSF   0.00   0.000000   0.000000   0.000000   1.233944   1.293940   1.188158  -99.0000  -99.0000  -99.0000 
DC21bart   150.894374751205   1.807463071535   533  1  0  0   0.9 150.894217   1.807643   0.023    10995473895663734  19.813  18.424  17.423   PSF   0.00   0.000000   0.000000   0.000000   1.314913   1.167434   1.303038  -99.0000  -99.0000  -99.0000 
