"ID","Name","RA","DEC","Obj. Type","Repeater of Primary Burst","DM","DM-Err","DM-Units","Gal. DM Limit","Gal. DM Model","Barycentric Datetime","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s"
"83458","SN 2021lyi","10:14:58.109","-03:32:21.11","SN Ia","","","","","","","","0.07632","WISEA J101458.40-033218.5","0.076324","ALeRCE, ATLAS, AMPEL, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","ZTF","ATLAS; Pan-STARRS; ZTF","ZTF21abaiicy","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS1 - GPC1","P200 - DBSP","1","1","","20.0423","g-ZTF","2021-05-08 05:57:43.004","ALeRCE","","2021TNSTR1547....1M","2021TNSCR1984....1D",""
"82843","SN 2021law","09:24:08.320","+03:56:06.96","SN Ia","","","","","","","","0.057679","SDSS J092408.53+035605.5","0.0576505","SGLF, Fink, ATLAS, AMPEL","ZTF, ATLAS","ZTF","ATLAS; SGLF; ZTF","ZTF21aaydbtk","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.746","r-ZTF","2021-05-02 05:00:23.000","Perez-Fournon","","2021TNSTR1452....1A","2021TNSCR1592....1S",""
"82684","SN 2021kut","10:31:29.773","+06:14:33.51","SN Ia","","","","","","","","0.0313620009","2MASX J10312956+0614383","0.031362","ALeRCE, ATLAS","ZTF, ATLAS","ZTF","ATLAS; ZTF","ZTF21aaxwytv","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.4724","r-ZTF","2021-05-01 04:05:46.000","ALeRCE","","2021TNSTR1412....1F","2021TNSCR1502....1S",""
"82520","SN 2021kom","10:24:50.280","+03:33:43.49","SN Ia","","","","","","","","0.04505","","","ATLAS, Pan-STARRS, GaiaAlerts","ATLAS, Pan-STARRS, GaiaAlerts","SCAT","ATLAS; GaiaAlerts; Pan-STARRS","ATLAS21nlz","ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, PS2 - GPC2","UH88 - SNIFS","1","1","","17.978","orange-ATLAS","2021-04-28 08:51:21.600","ATLAS_Bot1","","2021TNSTR1370....1T","2021TNSCR1459....1H",""
"82120","SN 2021jze","10:19:53.370","-03:44:07.44","SN Ia","","","","","","","","0.0471","","","YSE, GaiaAlerts, Pan-STARRS","Pan-STARRS, GaiaAlerts","UCSC","GaiaAlerts; Pan-STARRS","PS21din","Gaia - Gaia-photometric, PS1 - GPC1, PS2 - GPC2","Lick-3m - KAST","1","1","","19.19","g-Sloan","2021-04-16 06:02:52.800","YSE_Bot1","","2021TNSTR1247....1J","2021TNSCR1309....1T",""
"81475","SN 2021jao","10:20:52.910","+06:09:24.12","SN Ib","","","","","","","","0.028","SDSS J102053.36+060922.2","0.02845307","ALeRCE, ATLAS, GaiaAlerts, Fink, Pan-STARRS","ZTF, ATLAS, GaiaAlerts, Pan-STARRS","SCAT","ATLAS; GaiaAlerts; Pan-STARRS; ZTF","ZTF21aaufwyh","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1, PS2 - GPC2","UH88 - SNIFS","1","1","","20.2468","g-ZTF","2021-04-11 04:41:02.999","ALeRCE","","2021TNSTR1148....1F","2021TNSCR1308....1T",""
"81428","SN 2021iyt","10:18:44.410","+00:03:19.43","SN Ibn","","","","","","","","0.0712","","","YSE, ALeRCE, Pan-STARRS, ATLAS","Pan-STARRS, ZTF, ATLAS","YSE, UCSC","ATLAS; Pan-STARRS; ZTF","PS21dau","ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS1 - GPC1, PS2 - GPC2","Keck1 - LRIS, NOT - ALFOSC","1","1","","19.97","r-Sloan","2021-04-09 08:39:50.400","YSE_Bot1","","2021TNSTR1145....1J","2021TNSCR1206....1A, 2021TNSCR1615....1S",""
"80861","SN 2021idh","10:23:18.646","-00:25:45.95","SN Ia","","","","","","","","0.095","SDSS J102318.59-002545.4","0.09488674","ALeRCE, ATLAS, YSE","ZTF, ATLAS, Pan-STARRS","YSE","ATLAS; Pan-STARRS; ZTF","ZTF21aasgrpw","ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS1 - GPC1","SOAR - Goodman","1","1","","20.0811","g-ZTF","2021-04-02 07:28:48.003","ALeRCE","","2021TNSTR1034....1F","2021TNSCR1224....1D",""
"80835","SN 2021ich","10:19:29.620","-03:19:57.94","SN II","","","","","","","","0.05","","","ATLAS, Pan-STARRS, GaiaAlerts","ATLAS, Pan-STARRS, GaiaAlerts","SCAT","ATLAS; GaiaAlerts; Pan-STARRS","ATLAS21jni","ATLAS-HKO - ATLAS-02, Gaia - Gaia-photometric, PS1 - GPC1, PS2 - GPC2","UH88 - SNIFS","1","1","","18.976","orange-ATLAS","2021-04-02 10:01:55.200","ATLAS_Bot1","","2021TNSTR1036....1T","2021TNSCR1308....1T",""
"80748","SN 2021hyz","09:27:36.506","+04:27:10.98","SN Ic-BL","","","","","","","","0.0461","WISEA J092736.91+042710.3","0.046169","ALeRCE, Fink, ATLAS","ZTF, ATLAS","ZTF","ATLAS; ZTF","ZTF21aartgiv","ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","P60 - SEDM","1","1","","20.2949","g-ZTF","2021-04-03 03:43:21.003","ALeRCE","","2021TNSTR1011....1F","2021TNSCR1403....1D",""
"80595","SN 2021htf","10:13:46.560","-00:54:30.97","SN IIP","","","","","","","","0.0424","SDSS J101346.81-005451.3","0.0424378","SGLF, Pan-STARRS, ATLAS","ZTF, Pan-STARRS, ATLAS","ePESSTO+","ATLAS; Pan-STARRS; SGLF; ZTF","ZTF21aarbhhp","ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS1 - GPC1, PS2 - GPC2","ESO-NTT - EFOSC2-NTT","1","1","","19.577","r-ZTF","2021-03-29 05:46:59.000","Perez-Fournon","","2021TNSTR1024....1P","2021TNSCR1178....1P",""
"80516","SN 2021hqe","09:41:30.959","+10:38:22.83","SN II-pec","","","","","","","","0.0185","","","ATLAS, ZTF, Pan-STARRS","ATLAS, ZTF, Pan-STARRS","ePESSTO+","ATLAS; Pan-STARRS; ZTF","ATLAS21jmk","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS2 - GPC2","ESO-NTT - EFOSC2-NTT","1","1","","19.05","orange-ATLAS","2021-04-02 09:05:45.600","ATLAS_Bot1","","2021TNSTR.993....1T","2021TNSCR1261....1D",""
"79811","SN 2021gqm","10:15:02.676","+03:47:47.51","SN Ia","","","","","","","","0.082","SDSS J101502.66+034747.4","","ALeRCE, Fink, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","ePESSTO+","ATLAS; Pan-STARRS; ZTF","ZTF21aaqgrrf","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS1 - GPC1","ESO-NTT - EFOSC2-NTT","1","1","","20.2284","r-ZTF","2021-03-18 05:40:30.999","ALeRCE","","2021TNSTR.835....1F","2021TNSCR1045....1P",""
"79566","SN 2021ghc","09:56:32.990","+00:45:08.24","SN Ia","","","","","","","","0.046217","","","ATLAS, ALeRCE, Pan-STARRS, Fink, GaiaAlerts","ATLAS, ZTF, Pan-STARRS, GaiaAlerts","SIRAH, ZTF","ATLAS; GaiaAlerts; Pan-STARRS; ZTF","ATLAS21ipw","ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1, PS2 - GPC2","P60 - SEDM, SALT - RSS","1","1","","19.669","orange-ATLAS","2021-03-19 08:44:09.600","ATLAS_Bot1","","2021TNSTR.816....1T","2021TNSCR.846....1J, 2021TNSCR.922....1D",""
"79171","SN 2021fsb","10:20:56.665","-00:22:25.25","SN IIb","","","","","","","","0.0535","","","Pan-STARRS, YSE","Pan-STARRS","YSE","Pan-STARRS","PS21bsq","PS1 - GPC1","NOT - ALFOSC","1","1","","20.36","w-P1","2021-03-15 08:41:16.800","PS1_Bot1","","2021TNSTR.777....1C","2021TNSCR1049....1A",""
"79105","SN 2021fpn","10:13:47.640","-00:54:55.08","SN IIn","","","","","","","","0.0424","","","ATLAS, ZTF, Pan-STARRS, GaiaAlerts","ATLAS, ZTF, Pan-STARRS, GaiaAlerts","ePESSTO+","ATLAS; GaiaAlerts; Pan-STARRS; ZTF","ATLAS21iaq","ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1, PS2 - GPC2","ESO-NTT - EFOSC2-NTT","1","1","","19.227","orange-ATLAS","2021-03-15 08:28:19.200","ATLAS_Bot1","","2021TNSTR.771....1T","2021TNSCR1178....1P",""
"78344","SN 2021eng","10:22:52.877","-00:37:57.89","SN Ia","","","","","","","","0.079","","","ATLAS, YSE, Pan-STARRS","ATLAS, Pan-STARRS","UCSC","ATLAS; Pan-STARRS","ATLAS21hjy","ATLAS-MLO - ATLAS-01, PS1 - GPC1, PS2 - GPC2","SOAR - Goodman","1","1","","18.864","orange-ATLAS","2021-03-03 10:40:48.000","ATLAS_Bot1","","2021TNSTR.686....1T","2021TNSCR.716....1D",""
"78245","SN 2021ejn","10:37:14.432","+04:33:07.61","SN II","","","","","","","","0.025","","","ATLAS, MASTER, GOTO, Pan-STARRS","ATLAS, MASTER, GOTO, Pan-STARRS","SCAT","ATLAS; GOTO; MASTER; Pan-STARRS","ATLAS21hhc","ATLAS-MLO - ATLAS-01, GOTO-N - GOTO-1, Other - Other, PS1 - GPC1, PS2 - GPC2","UH88 - SNIFS","1","1","","18.976","orange-ATLAS","2021-03-03 10:55:12.000","ATLAS_Bot1","","2021TNSTR.667....1T","2021TNSCR.865....1T",""
"77508","SN 2021dic","10:16:19.775","+00:39:07.71","SN Ia","","","","","","","","0.079358","WISEA J101619.78+003907.0","0.079358","ALeRCE, Pan-STARRS","ZTF, Pan-STARRS","ZTF","Pan-STARRS; ZTF","ZTF21aalgqsv","P48 - ZTF-Cam, PS2 - GPC2","P60 - SEDM","1","1","","19.9731","g-ZTF","2021-02-17 07:34:47.997","ALeRCE","","2021TNSTR.513....1F","2021TNSCR.665....1D",""
"76659","SN 2021cca","10:16:19.308","-01:47:14.88","SN Ia","","","","","","","","0.085","SDSS J101619.35-014715.5","","ALeRCE, YSE, ATLAS, Pan-STARRS","ZTF, Pan-STARRS, ATLAS","UCSC","ATLAS; Pan-STARRS; ZTF","ZTF21aagxmcs","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS1 - GPC1, PS2 - GPC2","Lick-3m - KAST","1","1","","20.2741","g-ZTF","2021-02-04 10:10:28.001","ALeRCE","","2021TNSTR.375....1F","2021TNSCR.434....1D",""
"76287","SN 2021bnv","09:58:01.239","+03:48:35.27","SN Ia","","","","","","","","0.078866","","","ZTF, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","ZTF","ATLAS; Pan-STARRS; ZTF","ZTF21aagrjag","ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam, PS1 - GPC1, PS2 - GPC2","P60 - SEDM","1","1","","18.57","r-ZTF","2021-02-03 09:17:16.800","ZTF_Bot1","","2021TNSTR.326....1F","2021TNSCR.405....1D",""
"75755","SN 2021aul","10:29:10.063","+05:08:34.31","SN II","","","","","","","","0.04","CGCG 037-048","0.040002","ALeRCE, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","ePESSTO+","ATLAS; Pan-STARRS; ZTF","ZTF21aagbeah","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS1 - GPC1, PS2 - GPC2","ESO-NTT - EFOSC2-NTT","1","1","","18.9834","g-ZTF","2021-01-18 10:29:49.001","ALeRCE","","2021TNSTR.180....1M","2021TNSCR.215....1D",""
"73510","SN 2020adkc","10:16:19.620","-01:30:58.73","SN Ia","","","","","","","","0.0917","WISEA J101620.03-013055.7","0.0917","ALeRCE, YSE, Pan-STARRS, ATLAS","ZTF, Pan-STARRS, ATLAS","UCSC, ZTF","ATLAS; Pan-STARRS; ZTF","ZTF20acyxrez","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS1 - GPC1, PS2 - GPC2","Lick-3m - KAST, P60 - SEDM","1","1","","19.4969","g-ZTF","2020-12-21 11:06:52.004","ALeRCE","","2020TNSTR3860....1M","2021TNSCR.111....1H, 2021TNSCR.502....1D",""
"127260","SN 2018men","09:49:06.431","+10:58:11.92","SN I","","","","","","","","0.106026","","","ZTF","ZTF","ZTF","ZTF","ZTF18aahpouv","P48 - ZTF-Cam","P60 - SEDM","1","1","","19","r-ZTF","2018-04-09 04:48:00.000","ZTF_Bot1","","2023TNSTR.775....1F","2023TNSCR1007....1J",""
