"ID","Name","RA","DEC","Obj. Type","Repeater of Primary Burst","DM","DM-Err","DM-Units","Gal. DM Limit","Gal. DM Model","Barycentric Datetime","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s"
"109573","SN 2022lew","09:52:54.134","+07:15:13.28","SN IIn","","","","","","","","0.07","","","ATLAS","ATLAS","SCAT","ATLAS","ATLAS22pjn","ATLAS-MLO - ATLAS-01, ATLAS-STH - ATLAS-03","UH88 - SNIFS","1","1","","18.87","orange-ATLAS","2022-05-25 17:30:21.888","ATLAS_Bot1","","2022TNSTR1462....1T","2022TNSCR1476....1D, 2022TNSCR1530....1T",""
"108867","SN 2022kej","10:17:13.188","+06:32:06.00","SN Ia","","","","","","","","0.049","","","ATLAS","ATLAS","YSE","ATLAS","ATLAS22odi","ATLAS-CHL - ATLAS-04, ATLAS-HKO - ATLAS-02","NOT - ALFOSC","1","1","","18.452","orange-ATLAS","2022-05-20 01:34:45.120","ATLAS_Bot1","","2022TNSTR1356....1T","2022TNSCR1398....1A",""
"107906","SN 2022jcb","09:43:09.728","+03:51:51.49","SN Ia","","","","","","","","0.063233","","","ZTF, Fink","ZTF","Global SN Project","Fink; ZTF","ZTF22aaikzzr","P48 - ZTF-Cam","FTS - FLOYDS-S","1","1","","20.44","r-ZTF","2022-04-28 04:10:33.600","ZTF_Bot1","","2022TNSTR1150....1F","2022TNSCR1234....1G",""
"107370","SN 2022ihz","09:42:48.220","-03:36:25.45","SN Ia-91bg-like","","","","","","","","0.006","","","ATLAS, ZTF, GaiaAlerts","ATLAS, ZTF, GaiaAlerts","SCAT","ATLAS; GaiaAlerts; ZTF","ATLAS22mvf","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, P48 - ZTF-Cam","UH88 - SNIFS","1","1","","18.045","orange-ATLAS","2022-04-25 07:27:59.904","ATLAS_Bot1","","2022TNSTR1058....1T","2022TNSCR1121....1A",""
"107217","SN 2022icd","10:02:05.740","+10:01:10.77","SN IIb","","","","","","","","0.056","","","ATLAS, ZTF","ATLAS, ZTF","ZTF","ATLAS; ZTF","ATLAS22mpe","ATLAS-CHL - ATLAS-04, ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam","P200 - DBSP","1","1","","19.088","orange-ATLAS","2022-04-22 02:00:04.896","ATLAS_Bot1","","2022TNSTR1043....1T","2022TNSCR1684....1F",""
"107018","SN 2022huw","09:56:46.790","+11:54:31.36","SN Ia","","","","","","","","0.044607","","","ZTF, ATLAS, Fink, GaiaAlerts","ZTF, ATLAS, GaiaAlerts","ZTF","ATLAS; Fink; GaiaAlerts; ZTF","ZTF22aagyrlp","ATLAS-HKO - ATLAS-02, Gaia - Gaia-photometric, P48 - ZTF-Cam","P60 - SEDM","1","1","","18.32","g-ZTF","2022-04-19 06:10:04.800","ZTF_Bot1","","2022TNSTR1017....1F","2022TNSCR1084....1S",""
"105273","SN 2022fie","10:30:09.080","-01:40:03.79","SN Ia","","","","","","","","0.037","","","Pan-STARRS, ATLAS, ZTF, GaiaAlerts","Pan-STARRS, ATLAS, ZTF, GaiaAlerts","ZTF","ATLAS; GaiaAlerts; Pan-STARRS; ZTF","PS22cnc","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS2 - GPC2","P60 - SEDM","1","1","","19.24","w-P1","2022-03-27 07:17:09.312","PS2_Bot1","","2022TNSTR.806....1C","2022TNSCR.885....1S",""
"105268","SN 2022fhz","10:16:00.609","+06:08:25.15","SN Ia","","","","","","","","0.069","","","YSE, ATLAS","Pan-STARRS, ATLAS","YSE","ATLAS; Pan-STARRS; YSE","PS22cmx","ATLAS-CHL - ATLAS-04, ATLAS-HKO - ATLAS-02, PS2 - GPC2","NOT - ALFOSC","1","1","","19.14","i-P1","2022-03-27 07:01:57.792","YSE_Bot1","","2022TNSTR.807....1J","2022TNSCR.834....1A",""
"104978","SN 2022exo","10:34:45.478","-02:21:38.68","SN Ia","","","","","","","","0.06","","","ATLAS, Pan-STARRS","ATLAS, Pan-STARRS","ePESSTO+","ATLAS; Pan-STARRS","ATLAS22jis","ATLAS-CHL - ATLAS-04, ATLAS-MLO - ATLAS-01, PS2 - GPC2","ESO-NTT - EFOSC2-NTT","1","1","","18.687","orange-ATLAS","2022-03-21 04:59:02.688","ATLAS_Bot1","","2022TNSTR.743....1T","2022TNSCR.753....1S",""
"101924","SN 2022dwu","10:02:40.355","+05:39:48.26","SN Ia","","","","","","","","0.0792","","","ZTF, ATLAS, YSE","ZTF, ATLAS, Pan-STARRS","UCSC","ATLAS; Pan-STARRS; YSE; ZTF","ZTF22aacgyip","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS2 - GPC2","SOAR - Goodman","1","1","","20.81","g-ZTF","2022-02-26 05:35:31.200","ZTF_Bot1","","2022TNSTR.581....1F","2022TNSCR.619....1D",""
